cross1,cross2,rel
GBPJPY,AUDJPY,0.579335204757912
JPYUSD,AUDJPY,-0.488119896893795
JPYNZD,AUDJPY,-0.909306518738898
NZDUSD,AUDJPY,0.570412235923775
YAHOO.INDEX_GDAXI,AUDJPY,0.673885072198873
YAHOO.INDEX_FTSE,AUDJPY,0.827482787105972
YAHOO.INDEX_AORD,AUDJPY,0.86469378580074
NIKKEI.INDEX,AUDJPY,0.758214799198254
YAHOO.INDEX_GSPTSE,AUDJPY,0.777967675534383
OFDP.SILVER_5,AUDJPY,-0.00643954534658249
WGC.GOLD_DAILY_USD,AUDJPY,-0.0706093367658708
WSJ.COPPER,AUDJPY,0.502591593648755
WSJ.CORN_2,AUDJPY,0.0885160623844971
WSJ.PL_MKT,AUDJPY,0.404589621054173
OFDP.FUTURE_B1,AUDJPY,0.399142536081161
FED.JRXWTFB_N_B,AUDJPY,0.297464144775109
AUDUSD,AUDGBP,0.876400241124189
AUDNZD,AUDGBP,0.646649121901449
AUDJPY,AUDGBP,-0.0875779208379459
AUDEUR,AUDGBP,0.873128486810571
AUDCHF,AUDGBP,-0.0249977344051461
AUDCAD,AUDGBP,0.822568495383248
CADUSD,AUDGBP,0.714129499671495
CADNZD,AUDGBP,-0.202289460303104
CADJPY,AUDGBP,-0.585077351567311
CADGBP,AUDGBP,0.945677982020395
CADEUR,AUDGBP,0.647161987535461
CADCHF,AUDGBP,-0.644714541745739
CHFUSD,AUDGBP,0.859780322281484
CHFNZD,AUDGBP,0.451788094205846
CHFJPY,AUDGBP,-0.0738456924733946
CHFGBP,AUDGBP,0.921551414610768
CHFEUR,AUDGBP,0.874392516576161
EURUSD,AUDGBP,0.0980378332865139
EURNZD,AUDGBP,-0.530094509093897
EURJPY,AUDGBP,-0.770976167890693
EURGBP,AUDGBP,0.735018680627364
GBPUSD,AUDGBP,-0.715894182745983
GBPNZD,AUDGBP,-0.927988625634903
GBPJPY,AUDGBP,-0.853202591801098
JPYUSD,AUDGBP,0.85421768931966
JPYNZD,AUDGBP,0.334364563602148
NZDUSD,AUDGBP,0.631911354725494
YAHOO.INDEX_GDAXI,AUDGBP,0.372471706027038
YAHOO.INDEX_FTSE,AUDGBP,0.176532976418237
YAHOO.INDEX_AORD,AUDGBP,-0.236171417268225
NIKKEI.INDEX,AUDGBP,-0.561853449155448
YAHOO.INDEX_GSPTSE,AUDGBP,0.254899937487604
OFDP.SILVER_5,AUDGBP,0.890084637954401
WGC.GOLD_DAILY_USD,AUDGBP,0.955207686960482
WSJ.COPPER,AUDGBP,0.513682158062472
WSJ.CORN_2,AUDGBP,0.706809435982119
WSJ.PL_MKT,AUDGBP,0.430555678313206
OFDP.FUTURE_B1,AUDGBP,0.712401417978555
FED.JRXWTFB_N_B,AUDGBP,-0.591959185593976
AUDUSD,AUDEUR,0.879178352495605
AUDNZD,AUDEUR,0.451525705316918
AUDJPY,AUDEUR,0.157061848766806
AUDGBP,AUDEUR,0.873128486810571
AUDCHF,AUDEUR,0.289307096011932
AUDCAD,AUDEUR,0.851322196932665
CADUSD,AUDEUR,0.698229404773637
CADNZD,AUDEUR,-0.407201690384999
CADJPY,AUDEUR,-0.35230209790109
CADGBP,AUDEUR,0.736337686987985
CADEUR,AUDEUR,0.84433246940349
CADCHF,AUDEUR,-0.409820804759162
CHFUSD,AUDEUR,0.699640494244509
CHFNZD,AUDEUR,0.0517341897692527
CHFJPY,AUDEUR,0.000217785768359328
CHFGBP,AUDEUR,0.688229077680432
CHFEUR,AUDEUR,0.824854740149219
EURUSD,AUDEUR,-0.140557317181437
EURNZD,AUDEUR,-0.807014734898618
EURJPY,AUDEUR,-0.672594000759321
EURGBP,AUDEUR,0.313091076448561
GBPUSD,AUDEUR,-0.439803854689744
GBPNZD,AUDEUR,-0.83273936748987
GBPJPY,AUDEUR,-0.589620530110037
JPYUSD,AUDEUR,0.676977042000536
JPYNZD,AUDEUR,0.0229273048746889
NZDUSD,AUDEUR,0.746422773831974
YAHOO.INDEX_GDAXI,AUDEUR,0.441578757811159
YAHOO.INDEX_FTSE,AUDEUR,0.402910176136126
YAHOO.INDEX_AORD,AUDEUR,-0.0439086795447492
NIKKEI.INDEX,AUDEUR,-0.308582141439166
YAHOO.INDEX_GSPTSE,AUDEUR,0.373315749589959
OFDP.SILVER_5,AUDEUR,0.825266525700155
WGC.GOLD_DAILY_USD,AUDEUR,0.829826260763096
WSJ.COPPER,AUDEUR,0.659251416791983
WSJ.CORN_2,AUDEUR,0.731177635950638
WSJ.PL_MKT,AUDEUR,0.480579366185725
OFDP.FUTURE_B1,AUDEUR,0.693629506887063
FED.JRXWTFB_N_B,AUDEUR,-0.162870121879688
AUDUSD,AUDCHF,0.251589224247147
AUDNZD,AUDCHF,0.159567014989333
AUDJPY,AUDCHF,0.456339585035799
AUDGBP,AUDCHF,-0.0249977344051461
AUDEUR,AUDCHF,0.289307096011932
AUDCAD,AUDCHF,0.103152997329127
CADUSD,AUDCHF,0.363314281445826
CADNZD,AUDCHF,-0.00342083600556375
CADJPY,AUDCHF,0.395523847546129
CADGBP,AUDCHF,-0.111470968171023
CADEUR,AUDCHF,0.407595670619607
CADCHF,AUDCHF,0.669916354078625
CHFUSD,AUDCHF,-0.306594724244772
CHFNZD,AUDCHF,-0.698512698900075
CHFJPY,AUDCHF,-0.24269945658715
CHFGBP,AUDCHF,-0.407004151849097
CHFEUR,AUDCHF,-0.298046324697113
EURUSD,AUDCHF,-0.024608009689402
EURNZD,AUDCHF,-0.27389835906465
EURJPY,AUDCHF,0.150492125764806
EURGBP,AUDCHF,-0.45751585135293
GBPUSD,AUDCHF,0.458345354379213
GBPNZD,AUDCHF,0.132191747053121
GBPJPY,AUDCHF,0.327159495980767
JPYUSD,AUDCHF,-0.0991101982845021
JPYNZD,AUDCHF,-0.315882960182554
NZDUSD,AUDCHF,0.168158191170244
YAHOO.INDEX_GDAXI,AUDCHF,-0.041078488979365
YAHOO.INDEX_FTSE,AUDCHF,0.269217865520055
YAHOO.INDEX_AORD,AUDCHF,0.398949504175709
NIKKEI.INDEX,AUDCHF,0.212292809570626
YAHOO.INDEX_GSPTSE,AUDCHF,0.247415368210047
OFDP.SILVER_5,AUDCHF,0.0266687326217187
WGC.GOLD_DAILY_USD,AUDCHF,-0.118356718714972
WSJ.COPPER,AUDCHF,0.586869989467322
WSJ.CORN_2,AUDCHF,0.248010397648697
WSJ.PL_MKT,AUDCHF,0.497296897712451
