,cross1,cross2,rel
208,CADUSD,AUDCHF,0.648522687953795
209,CADNZD,AUDCHF,0.605808799827322
210,CADJPY,AUDCHF,-0.540884953439994
211,CADGBP,AUDCHF,0.765849007195104
212,CADEUR,AUDCHF,0.851329811471941
213,CADCHF,AUDCHF,0.860461844359381
214,CHFUSD,AUDCHF,-0.549148286987877
215,CHFNZD,AUDCHF,-0.273832238138628
216,CHFJPY,AUDCHF,-0.811939216413794
217,CHFGBP,AUDCHF,-0.299557257052842
218,CHFEUR,AUDCHF,-0.233080301027065
219,EURUSD,AUDCHF,-0.501910353673324
220,EURNZD,AUDCHF,-0.0471311828780481
221,EURJPY,AUDCHF,-0.765802207794949
222,EURGBP,AUDCHF,-0.12898053101668
223,GBPUSD,AUDCHF,-0.540719266074543
224,GBPNZD,AUDCHF,0.0302698100247014
225,GBPJPY,AUDCHF,-0.734443773427717
226,JPYUSD,AUDCHF,0.631855468437342
227,JPYNZD,AUDCHF,0.622683754134194
228,NZDUSD,AUDCHF,-0.348487765052004
229,YAHOO.INDEX_GDAXI,AUDCHF,-0.61290150416783
230,YAHOO.INDEX_FTSE,AUDCHF,-0.518042502963854
231,YAHOO.INDEX_AORD,AUDCHF,-0.589956314632699
232,NIKKEI.INDEX,AUDCHF,-0.69564244138361
233,YAHOO.INDEX_GSPTSE,AUDCHF,-0.541884217451157
234,OFDP.SILVER_5,AUDCHF,0.432917832119935
235,WGC.GOLD_DAILY_USD,AUDCHF,0.517508858729858
236,WSJ.COPPER,AUDCHF,0.381029187104974
237,WSJ.CORN_2,AUDCHF,0.584935152060735
238,WSJ.PL_MKT,AUDCHF,0.34537699335102
239,OFDP.FUTURE_B1,AUDCHF,-0.108318668203956
240,FED.JRXWTFB_N_B,AUDCHF,-0.71954182458377
241,AUDUSD,AUDCAD,0.813043955341466
242,AUDNZD,AUDCAD,0.384082222052886
243,AUDJPY,AUDCAD,0.018198544383939
244,AUDGBP,AUDCAD,0.706565452791922
245,AUDEUR,AUDCAD,0.70957573504974
246,AUDCHF,AUDCAD,0.476799637482759
248,CADUSD,AUDCAD,0.381092844581304
249,CADNZD,AUDCAD,-0.116602516261272
250,CADJPY,AUDCAD,-0.390396688444214
251,CADGBP,AUDCAD,0.279591752843094
252,CADEUR,AUDCAD,0.303476737981862
253,CADCHF,AUDCAD,-0.0358665221986135
254,CHFUSD,AUDCAD,0.295477912232215
255,CHFNZD,AUDCAD,-0.107751351989207
256,CHFJPY,AUDCAD,-0.265389095940625
257,CHFGBP,AUDCAD,0.359358284849999
258,CHFEUR,AUDCAD,0.462534133658666
259,EURUSD,AUDCAD,-0.0276724402710029
260,EURNZD,AUDCAD,-0.393937083674856
261,EURJPY,AUDCAD,-0.405325996379652
262,EURGBP,AUDCAD,-0.0339517518887779
263,GBPUSD,AUDCAD,-0.00361733376701915
264,GBPNZD,AUDCAD,-0.487178221293715
265,GBPJPY,AUDCAD,-0.389318469663939
266,JPYUSD,AUDCAD,0.441459108086484
267,JPYNZD,AUDCAD,0.187601391449903
268,NZDUSD,AUDCAD,0.427026500078214
269,YAHOO.INDEX_GDAXI,AUDCAD,-0.258056702621078
270,YAHOO.INDEX_FTSE,AUDCAD,-0.214418146767364
271,YAHOO.INDEX_AORD,AUDCAD,-0.367431922370515
272,NIKKEI.INDEX,AUDCAD,-0.40522018837548
273,YAHOO.INDEX_GSPTSE,AUDCAD,-0.117853972952964
274,OFDP.SILVER_5,AUDCAD,0.595161740851269
275,WGC.GOLD_DAILY_USD,AUDCAD,0.744284492499957
276,WSJ.COPPER,AUDCAD,0.238066625536793
277,WSJ.CORN_2,AUDCAD,0.576529128311353
278,WSJ.PL_MKT,AUDCAD,0.263095687975192
279,OFDP.FUTURE_B1,AUDCAD,0.44503354334362
280,FED.JRXWTFB_N_B,AUDCAD,0.268611027944112
281,AUDUSD,CADUSD,0.847937566305618
282,AUDNZD,CADUSD,0.822036576977542
283,AUDJPY,CADUSD,-0.390433039395855
284,AUDGBP,CADUSD,0.804702261952229
285,AUDEUR,CADUSD,0.653865589525902
286,AUDCHF,CADUSD,0.648522687953795
287,AUDCAD,CADUSD,0.381092844581304
289,CADNZD,CADUSD,0.677359856163522
290,CADJPY,CADUSD,-0.514997024115198
291,CADGBP,CADUSD,0.834340169251181
292,CADEUR,CADUSD,0.640633009105977
293,CADCHF,CADUSD,0.518450542539169
294,CHFUSD,CADUSD,0.104719684264051
295,CHFNZD,CADUSD,0.31744731140911
296,CHFJPY,CADUSD,-0.640714029139934
297,CHFGBP,CADUSD,0.273236937145359
298,CHFEUR,CADUSD,0.0510740895620201
299,EURUSD,CADUSD,0.097292257986494
300,EURNZD,CADUSD,0.224537133978607
301,EURJPY,CADUSD,-0.6705175261279
302,EURGBP,CADUSD,0.31479054117087
303,GBPUSD,CADUSD,-0.232287518005526
304,GBPNZD,CADUSD,0.0551191742891226
305,GBPJPY,CADUSD,-0.748733438246938
306,JPYUSD,CADUSD,0.728245011351753
307,JPYNZD,CADUSD,0.629857463789805
308,NZDUSD,CADUSD,-0.190077506803575
309,YAHOO.INDEX_GDAXI,CADUSD,-0.615595861505901
310,YAHOO.INDEX_FTSE,CADUSD,-0.547817855845275
311,YAHOO.INDEX_AORD,CADUSD,-0.569719224215269
312,NIKKEI.INDEX,CADUSD,-0.70190109194147
313,YAHOO.INDEX_GSPTSE,CADUSD,-0.355461449137967
314,OFDP.SILVER_5,CADUSD,0.833996630036502
315,WGC.GOLD_DAILY_USD,CADUSD,0.625472730051617
316,WSJ.COPPER,CADUSD,0.776241137899412
317,WSJ.CORN_2,CADUSD,0.734284039067894
318,WSJ.PL_MKT,CADUSD,0.732600329319154
319,OFDP.FUTURE_B1,CADUSD,0.250719239685949
320,FED.JRXWTFB_N_B,CADUSD,-0.822768255198304
321,AUDUSD,CADNZD,0.356776738621823
322,AUDNZD,CADNZD,0.871401259079587
323,AUDJPY,CADNZD,-0.711401145628256
324,AUDGBP,CADNZD,0.384712592537357
325,AUDEUR,CADNZD,0.340363514993833
326,AUDCHF,CADNZD,0.605808799827322
327,AUDCAD,CADNZD,-0.116602516261272
328,CADUSD,CADNZD,0.677359856163522
330,CADJPY,CADNZD,-0.614045502100629
331,CADGBP,CADNZD,0.676394920922515
332,CADEUR,CADNZD,0.545720706665477
333,CADCHF,CADNZD,0.763627857641497
334,CHFUSD,CADNZD,-0.393011034060589
335,CHFNZD,CADNZD,0.443250087575337
336,CHFJPY,CADNZD,-0.81477814516331
337,CHFGBP,CADNZD,-0.172920779007966
338,CHFEUR,CADNZD,-0.4667672359591
339,EURUSD,CADNZD,-0.0866242224544232
340,EURNZD,CADNZD,0.673273645697652
341,EURJPY,CADNZD,-0.700597073886919
342,EURGBP,CADNZD,0.300887891966802
343,GBPUSD,CADNZD,-0.463668144910835
344,GBPNZD,CADNZD,0.645590163745795
345,GBPJPY,CADNZD,-0.776928036988778
346,JPYUSD,CADNZD,0.694055935002828
347,JPYNZD,CADNZD,0.859531968276972
348,NZDUSD,CADNZD,-0.848619223481246
349,YAHOO.INDEX_GDAXI,CADNZD,-0.776408734029016
350,YAHOO.INDEX_FTSE,CADNZD,-0.725055529493607
351,YAHOO.INDEX_AORD,CADNZD,-0.602063277895285
352,NIKKEI.INDEX,CADNZD,-0.73695885245566
353,YAHOO.INDEX_GSPTSE,CADNZD,-0.477838222575951
354,OFDP.SILVER_5,CADNZD,0.443447208919602
355,WGC.GOLD_DAILY_USD,CADNZD,0.202681896538608
356,WSJ.COPPER,CADNZD,0.610173354583508
357,WSJ.CORN_2,CADNZD,0.340462262000572
358,WSJ.PL_MKT,CADNZD,0.554028379688664
359,OFDP.FUTURE_B1,CADNZD,-0.313269072043814
360,FED.JRXWTFB_N_B,CADNZD,-0.535686191433615
361,AUDUSD,CADJPY,-0.54679581403987
362,AUDNZD,CADJPY,-0.764102014219278
363,AUDJPY,CADJPY,0.912775790585916
364,AUDGBP,CADJPY,-0.472504611048542
365,AUDEUR,CADJPY,-0.543572956183348
366,AUDCHF,CADJPY,-0.540884953439994
367,AUDCAD,CADJPY,-0.390396688444214
368,CADUSD,CADJPY,-0.514997024115198
369,CADNZD,CADJPY,-0.614045502100629
371,CADGBP,CADJPY,-0.406638912646885
372,CADEUR,CADJPY,-0.484860101005889
373,CADCHF,CADJPY,-0.397158396779981
374,CHFUSD,CADJPY,0.0796482902642224
375,CHFNZD,CADJPY,-0.386438840877931
376,CHFJPY,CADJPY,0.885211691192375
377,CHFGBP,CADJPY,-0.0174644079296012
378,CHFEUR,CADJPY,-0.0399776826021159
379,EURUSD,CADJPY,0.142629850325723
380,EURNZD,CADJPY,-0.28712497452126
381,EURJPY,CADJPY,0.920552102892729
382,EURGBP,CADJPY,0.0201134296762698
383,GBPUSD,CADJPY,0.18492612082446
384,GBPNZD,CADJPY,-0.382037295554473
385,GBPJPY,CADJPY,0.904703903897796
386,JPYUSD,CADJPY,-0.960493242382446
387,JPYNZD,CADJPY,-0.929169312822149
388,NZDUSD,CADJPY,0.455926977138528
389,YAHOO.INDEX_GDAXI,CADJPY,0.865610610479954
390,YAHOO.INDEX_FTSE,CADJPY,0.906907478741058
391,YAHOO.INDEX_AORD,CADJPY,0.879846027667001
392,NIKKEI.INDEX,CADJPY,0.939886061081086
393,YAHOO.INDEX_GSPTSE,CADJPY,0.537541131501062
394,OFDP.SILVER_5,CADJPY,-0.610772824970193
395,WGC.GOLD_DAILY_USD,CADJPY,-0.631758619754845
396,WSJ.COPPER,CADJPY,-0.440891453274386
397,WSJ.CORN_2,CADJPY,-0.383418902827805
398,WSJ.PL_MKT,CADJPY,-0.434285798610151
399,OFDP.FUTURE_B1,CADJPY,0.104945015749351
400,FED.JRXWTFB_N_B,CADJPY,-0.464248291030275
401,AUDUSD,CADGBP,0.685157261988872
402,AUDNZD,CADGBP,0.820454636107564
403,AUDJPY,CADGBP,-0.378770236165811
404,AUDGBP,CADGBP,0.865432971130736
405,AUDEUR,CADGBP,0.720988795495894
406,AUDCHF,CADGBP,0.765849007195104
407,AUDCAD,CADGBP,0.279591752843094
408,CADUSD,CADGBP,0.834340169251181
409,CADNZD,CADGBP,0.676394920922515
410,CADJPY,CADGBP,-0.406638912646885
412,CADEUR,CADGBP,0.796669807493419
413,CADCHF,CADGBP,0.657273931046772
414,CHFUSD,CADGBP,-0.235318332561357
415,CHFNZD,CADGBP,0.104488283836614
416,CHFJPY,CADGBP,-0.651465784346358
417,CHFGBP,CADGBP,0.198620211643316
418,CHFEUR,CADGBP,-0.0482226460291999
419,EURUSD,CADGBP,-0.266943457187837
420,EURNZD,CADGBP,0.148184027149732
421,EURJPY,CADGBP,-0.708180132990306
422,EURGBP,CADGBP,0.325679680351543
423,GBPUSD,CADGBP,-0.729453507492904
424,GBPNZD,CADGBP,-0.0460584076662895
425,GBPJPY,CADGBP,-0.796170093567307
426,JPYUSD,CADGBP,0.638095920698703
427,JPYNZD,CADGBP,0.569530289257346
428,NZDUSD,CADGBP,-0.397669364732023
429,YAHOO.INDEX_GDAXI,CADGBP,-0.712301068529628
430,YAHOO.INDEX_FTSE,CADGBP,-0.563430411093888
431,YAHOO.INDEX_AORD,CADGBP,-0.644676599941093
432,NIKKEI.INDEX,CADGBP,-0.663418564128016
433,YAHOO.INDEX_GSPTSE,CADGBP,-0.650454093595979
434,OFDP.SILVER_5,CADGBP,0.597829549219799
435,WGC.GOLD_DAILY_USD,CADGBP,0.546735807982668
436,WSJ.COPPER,CADGBP,0.528455152273228
437,WSJ.CORN_2,CADGBP,0.714709411827198
438,WSJ.PL_MKT,CADGBP,0.482585424480421
439,OFDP.FUTURE_B1,CADGBP,0.0226775778210725
440,FED.JRXWTFB_N_B,CADGBP,-0.625687834526889
441,AUDUSD,CADEUR,0.576705414116948
442,AUDNZD,CADEUR,0.656442373261872
443,AUDJPY,CADEUR,-0.392339783299286
444,AUDGBP,CADEUR,0.739098210512378
445,AUDEUR,CADEUR,0.886511714748591
446,AUDCHF,CADEUR,0.851329811471941
447,AUDCAD,CADEUR,0.303476737981862
448,CADUSD,CADEUR,0.640633009105977
449,CADNZD,CADEUR,0.545720706665477
450,CADJPY,CADEUR,-0.484860101005889
451,CADGBP,CADEUR,0.796669807493419
453,CADCHF,CADEUR,0.787285600651314
454,CHFUSD,CADEUR,-0.464396755271493
455,CHFNZD,CADEUR,-0.248610475174158
456,CHFJPY,CADEUR,-0.740042832267488
457,CHFGBP,CADEUR,-0.155240334878373
458,CHFEUR,CADEUR,0.0928094086806491
459,EURUSD,CADEUR,-0.701115524670838
460,EURNZD,CADEUR,-0.249967906930421
461,EURJPY,CADEUR,-0.784428902269624
462,EURGBP,CADEUR,-0.311438356510617
463,GBPUSD,CADEUR,-0.60789481368137
464,GBPNZD,CADEUR,-0.0932170799674656
465,GBPJPY,CADEUR,-0.710903219850784
466,JPYUSD,CADEUR,0.592286419141588
467,JPYNZD,CADEUR,0.55928307607628
468,NZDUSD,CADEUR,-0.284654996153107
469,YAHOO.INDEX_GDAXI,CADEUR,-0.573571249177529
470,YAHOO.INDEX_FTSE,CADEUR,-0.508710526987613
471,YAHOO.INDEX_AORD,CADEUR,-0.669848121917412
472,NIKKEI.INDEX,CADEUR,-0.633391811658447
473,YAHOO.INDEX_GSPTSE,CADEUR,-0.701801957347898
474,OFDP.SILVER_5,CADEUR,0.393398234833186
475,WGC.GOLD_DAILY_USD,CADEUR,0.56955325467715
476,WSJ.COPPER,CADEUR,0.25546661369103
477,WSJ.CORN_2,CADEUR,0.6514327799739
