OFDP.FUTURE_B1 - Open,OFDP.SILVER_5 - USD,0.4850712972
QUANDL.AUDGBP - Rate,WSJ.PL_MKT - Value,0.4841855876
QUANDL.CADGBP - Rate,WSJ.PL_MKT - Value,0.4808230442
QUANDL.GBPUSD - Rate,YAHOO.INDEX_GDAXI - Close,0.4788943241
QUANDL.JPYNZD - Rate,WGC.GOLD_DAILY_USD - Value,0.4776874879
QUANDL.AUDCAD - Rate,QUANDL.CHFEUR - Rate,0.4755496736
OFDP.FUTURE_B1 - Open,WGC.GOLD_DAILY_USD - Value,0.4753206979
QUANDL.EURUSD - Rate,WSJ.PL_MKT - Value,0.4731722449
QUANDL.NZDUSD - Rate,NIKKEI.INDEX - Close Price,0.4714720539
QUANDL.AUDCHF - Rate,QUANDL.AUDCAD - Rate,0.4692545945
QUANDL.GBPUSD - Rate,QUANDL.NZDUSD - Rate,0.4688600645
QUANDL.CHFNZD - Rate,OFDP.SILVER_5 - USD,0.4672651162
QUANDL.CHFGBP - Rate,QUANDL.EURUSD - Rate,0.465628681
QUANDL.AUDCAD - Rate,OFDP.FUTURE_B1 - Open,0.4646476131
QUANDL.EURNZD - Rate,WSJ.COPPER - Value,0.4646417421
WSJ.ZINC - Value,YAHOO.INDEX_GSPTSE - Close,0.4642411285
QUANDL.AUDGBP - Rate,QUANDL.JPYNZD - Rate,0.4573903011
QUANDL.GBPUSD - Rate,QUANDL.GBPJPY - Rate,0.4559073903
QUANDL.CADCHF - Rate,QUANDL.JPYUSD - Rate,0.454906612
QUANDL.EURJPY - Rate,QUANDL.NZDUSD - Rate,0.4512951798
OFDP.FUTURE_B1 - Open,WSJ.CORN_2 - Value,0.4499098893
QUANDL.AUDCAD - Rate,QUANDL.NZDUSD - Rate,0.4495584117
QUANDL.CHFNZD - Rate,QUANDL.JPYNZD - Rate,0.446680852
WSJ.CORN_2 - Value,WSJ.COPPER - Value,0.445570382
QUANDL.CHFGBP - Rate,QUANDL.NZDUSD - Rate,0.4442558248
QUANDL.CADJPY - Rate,QUANDL.NZDUSD - Rate,0.4413704589
QUANDL.CHFJPY - Rate,QUANDL.GBPUSD - Rate,0.4406944536
QUANDL.AUDCAD - Rate,QUANDL.JPYUSD - Rate,0.4391771779
QUANDL.CHFUSD - Rate,QUANDL.CHFJPY - Rate,0.4376110847
QUANDL.AUDUSD - Rate,OFDP.FUTURE_B1 - Open,0.4314344367
QUANDL.CADNZD - Rate,QUANDL.CHFNZD - Rate,0.4284090949
QUANDL.CHFUSD - Rate,OFDP.SILVER_5 - USD,0.4230433318
QUANDL.AUDCHF - Rate,OFDP.SILVER_5 - USD,0.422868649
QUANDL.CHFGBP - Rate,WGC.GOLD_DAILY_USD - Value,0.4228430598
QUANDL.EURGBP - Rate,WSJ.COPPER - Value,0.4201109319
QUANDL.CADNZD - Rate,OFDP.SILVER_5 - USD,0.4198407933
QUANDL.AUDNZD - Rate,QUANDL.EURNZD - Rate,0.4195991546
