Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Thu Mar 01,06:45,GMT,chf,CHF Gross Domestic Product (YoY),Medium,1.3%,1.1%,1.6%
Thu Mar 01,07:00,GMT,gbp,GBP Nationwide House Prices s.a. (MoM),Low,0.6%,0.3%,-0.3%
Thu Mar 01,07:00,GMT,gbp,GBP Nationwide House Prices n.s.a. (YoY),Medium,0.9%,0.3%,0.6%
Thu Mar 01,08:30,GMT,chf,CHF SVME-Purchasing Managers Index,Medium,49.9,48.5,47.3
Thu Mar 01,08:45,GMT,eur,EUR Italian Purchasing Manager Index Manufacturing,Low,47.8,47.1,46.8
Thu Mar 01,08:50,GMT,eur,EUR French Purchasing Manager Index Manufacturing,Low,50.0,50.2,50.2
Thu Mar 01,08:55,GMT,eur,EUR German Purchasing Manager Index Manufacturing,Medium,50.2,50.1,50.1
Thu Mar 01,09:00,GMT,eur,EUR Italian Unemployment Rate s.a.,Low,9.2%,8.9%,8.9%
Thu Mar 01,09:00,GMT,eur,EUR Euro-Zone Purchasing Manager Index Manufacturing,Medium,49.0,49.0,49.0
Thu Mar 01,09:30,GMT,gbp,GBP Purchasing Manager Index Manufacturing,Medium,51.2,52,52.1
Thu Mar 01,10:00,GMT,eur,EUR Euro-Zone Consumer Price Index Estimate (YoY),High,2.7%,2.6%,2.7%
Thu Mar 01,10:00,GMT,eur,EUR Euro-Zone Unemployment Rate,Medium,10.7%,10.4%,10.4%
Thu Mar 01,13:30,GMT,cad,CAD Current Account (BoP) (Canadian dollar),Medium,-$10.3B,-$9.6B,-$12.3B
Thu Mar 01,13:30,GMT,cad,CAD Industrial Product Price (MoM),Low,0.3%,0.3%,-0.9%
Thu Mar 01,13:30,GMT,cad,CAD Raw Materials Price Index (MoM),Low,0.1%,0.5%,-2.5%
Thu Mar 01,13:30,GMT,usd,USD Personal Income,Medium,0.3%,0.5%,0.5%
Thu Mar 01,13:30,GMT,usd,USD Personal Spending,Medium,0.2%,0.4%,0.0%
Thu Mar 01,13:30,GMT,usd,USD Personal Consumption Expenditure Deflator (YoY),Low,2.4%,2.3%,2.5%
Thu Mar 01,13:30,GMT,usd,USD Personal Consumption Expenditure Core (MoM),Medium,0.2%,0.2%,0.1%
Thu Mar 01,13:30,GMT,usd,USD Personal Consumption Expenditure Core (YoY),High,1.9%,1.8%,1.9%
Thu Mar 01,13:30,GMT,usd,USD Initial Jobless Claims,Low,351K,355K,353K
Thu Mar 01,13:30,GMT,usd,USD Continuing Claims,Low,3402K,3418K,3404K
Thu Mar 01,15:00,GMT,usd,USD Construction Spending (MoM),Medium,-0.1%,1.0%,1.4%
Thu Mar 01,15:00,GMT,usd,USD ISM Manufacturing,High,52.4,54.5,54.1
Thu Mar 01,15:00,GMT,usd,USD ISM Prices Paid,Medium,61.5,56.3,55.5
Thu Mar 01,15:30,GMT,usd,USD EIA Natural Gas Storage Change,Low,-82,,-166
Thu Mar 01,17:30,GMT,usd,USD Fed's Lockhart Speaks on Economy and Banking in Atlanta,Low,,,
Thu Mar 01,18:00,GMT,EUR,EUR Italian Budget Balance (euros) (YTD),LOW,,,-3.3B
Thu Mar 01,18:00,GMT,eur,EUR Italian Budget Balance (euros),Low,-7.4B,,-3.3B
Thu Mar 01,22:00,GMT,usd,USD Total Vehicle Sales,Low,15.03M,14.00M,14.13M
Thu Mar 01,22:00,GMT,usd,USD Domestic Vehicle Sales,Low,11.70M,11.00M,11.05M
Thu Mar 01,23:30,GMT,jpy,JPY Job-To-Applicant Ratio,Low,0.73,0.72,0.71
Thu Mar 01,23:30,GMT,jpy,JPY Tokyo Consumer Price Index Ex Food, Energy (YoY),Low,-1.1%,-1.1%,-1.1%
Thu Mar 01,23:30,GMT,jpy,JPY Household Spending (YoY),Medium,-2.3%,-0.9%,0.5%
Thu Mar 01,23:30,GMT,jpy,JPY Jobless Rate,Medium,4.6%,4.5%,4.5%
Thu Mar 01,23:30,GMT,jpy,JPY Tokyo Consumer Price Index (YoY),Low,-0.2%,-0.2%,-0.2%
Thu Mar 01,23:30,GMT,jpy,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY),Low,-0.3%,-0.4%,-0.4%
Thu Mar 01,23:30,GMT,jpy,JPY National Consumer Price Index (YoY),Medium,0.1%,-0.1%,-0.2%
Thu Mar 01,23:30,GMT,jpy,JPY National Consumer Price Index Ex-Fresh Food (YoY),Medium,-0.1%,-0.2%,-0.1%
Thu Mar 01,23:30,GMT,jpy,JPY National Consumer Price Index Ex Food, Energy (YoY),Medium,-0.9%,-1.1%,-1.1%
Thu Mar 01,23:50,GMT,jpy,JPY Monetary Base (YoY),Low,11.3%,,15.0%
Fri Mar 02,00:00,GMT,nzd,NZD ANZ Commodity Price,Low,0.0%,,1.1%
Fri Mar 02,,,USD,USD ICSC Chain Store Sales (YoY),Medium,,,4.8%
Fri Mar 02,01:00,GMT,USD,USD Fed's Bullard Speaks on U.S. Economy in Vancouver,LOW,,,
Fri Mar 02,01:00,GMT,CNY,CNY China Non-manufacturing PMI,Medium,,,52.9
Fri Mar 02,04:30,GMT,USD,USD Fed's Williams Speaks in Honolulu, HI,LOW,,,
Fri Mar 02,07:00,GMT,eur,EUR German Retail Sales (MoM),Low,-1.6%,0.5%,0.1%
Fri Mar 02,07:00,GMT,eur,EUR German Retail Sales (YoY),Medium,1.6%,0.2%,0.3%
Fri Mar 02,09:30,GMT,gbp,GBP Purchasing Manager Index Construction,Medium,54.3,51.3,51.4
Fri Mar 02,10:00,GMT,eur,EUR Euro-Zone Producer Price Index (MoM),Medium,0.7%,0.5%,-0.2%
Fri Mar 02,10:00,GMT,eur,EUR Euro-Zone Producer Price Index (YoY),High,3.7%,3.5%,4.3%
Fri Mar 02,10:00,GMT,eur,EUR Italian Deficit to GDP,Low,3.9%,4.0%,4.6%
Fri Mar 02,10:00,GMT,eur,EUR Italian Annual Gross Domestic Product,Low,0.4%,0.3%,1.8%
Fri Mar 02,13:30,GMT,cad,CAD Gross Domestic Product (MoM),High,0.4%,0.3%,-0.1%
Fri Mar 02,13:30,GMT,cad,CAD Gross Domestic Product (YoY),High,1.8%,1.9%,2.1%
Fri Mar 02,13:30,GMT,cad,CAD Quarterly Gross Domestic Product Annualized,High,1.8%,1.8%,4.2%
