cross1,cross2,rel
CADJPY,EURGBP,0.1545697433
CADJPY,GBPUSD,0.1585748121
CADEUR,CHFEUR,0.1668219679
CADNZD,CHFGBP,0.1679985242
CADGBP,CHFEUR,0.1680832409
AUDCAD,NZDUSD,0.1717742397
AUDNZD,CHFGBP,0.172127664
CHFEUR,EURUSD,0.1955867577
CADNZD,CHFEUR,0.1965946599
CHFGBP,JPYUSD,0.2048201491
EURJPY,EURGBP,0.2054130138
CHFEUR,GBPUSD,0.2066188697
AUDCAD,CADNZD,0.2077201284
CADNZD,GBPNZD,0.2091470078
AUDJPY,EURUSD,0.2129421378
CHFJPY,EURGBP,0.2172866338
CHFUSD,EURJPY,0.2215376117
CADGBP,EURGBP,0.2283402119
CADNZD,EURNZD,0.234164834
EURNZD,JPYNZD,0.2365222778
AUDUSD,CHFGBP,0.2438504362
AUDGBP,CHFGBP,0.2438913891
GBPNZD,JPYUSD,0.2456650757
AUDEUR,CHFEUR,0.2529821082
CADJPY,EURUSD,0.2580102993
AUDGBP,CHFEUR,0.2618256119
CADGBP,CHFGBP,0.2769163604
CADNZD,CHFNZD,0.2911845379
AUDNZD,CHFEUR,0.3037803616
AUDCAD,CHFEUR,0.3074097583
CADUSD,CHFGBP,0.313236717
AUDCAD,CADCHF,0.3207950845
CHFUSD,CHFJPY,0.3328293732
GBPUSD,GBPNZD,0.3358855975
CHFNZD,JPYUSD,0.3484544774
GBPNZD,JPYNZD,0.3635164562
CHFEUR,JPYNZD,0.3810459348
AUDCAD,CADGBP,0.384733022
CHFNZD,JPYNZD,0.384999259
EURJPY,GBPUSD,0.4043793336
EURUSD,GBPJPY,0.4143327875
AUDCAD,CADEUR,0.4273474522
CADUSD,CHFEUR,0.4356356637
CHFUSD,EURNZD,0.435751221
AUDUSD,CHFEUR,0.4397129669
CHFUSD,NZDUSD,0.4491885517
CHFJPY,GBPUSD,0.459129278
CADJPY,NZDUSD,0.4599318466
CHFUSD,EURGBP,0.4610616101
AUDCAD,CADUSD,0.4620308653
AUDCAD,JPYNZD,0.4651050562
EURUSD,NZDUSD,0.4793986409
CADCHF,JPYUSD,0.481956102
CHFEUR,JPYUSD,0.4888910362
GBPUSD,GBPJPY,0.4981142034
