Date,CURRFX.NZDCHF.1
2014-03-27,0.758251
2014-03-26,0.754617
2014-03-25,0.753989
2014-03-24,0.753849
2014-03-23,0.753849
2014-03-22,0.753948
2014-03-21,0.753163
2014-03-20,0.752045
2014-03-19,0.748982
2014-03-18,0.746412
2014-03-17,0.7455
2014-03-16,0.7455
2014-03-15,0.746653
2014-03-14,0.745275
2014-03-13,0.74334
2014-03-12,0.744179
2014-03-11,0.742888
2014-03-10,0.743953
2014-03-09,0.743953
2014-03-08,0.746343
2014-03-07,0.74742
2014-03-06,0.744038
2014-03-05,0.739383
2014-03-04,0.737177
2014-03-03,0.739757
2014-03-02,0.739757
2014-03-01,0.742685
2014-02-28,0.741425
2014-02-27,0.739574
2014-02-26,0.738506
2014-02-25,0.736023
2014-02-24,0.73514
2014-02-23,0.73609
2014-02-22,0.736906
2014-02-21,0.736657
2014-02-20,0.739293
2014-02-19,0.743447
2014-02-18,0.746133
2014-02-17,0.746539
2014-02-16,0.746386
2014-02-15,0.74618
2014-02-14,0.747674
2014-02-13,0.747555
2014-02-12,0.743875
2014-02-11,0.743528
2014-02-10,0.744075
2014-02-09,0.744075
2014-02-08,0.743328
2014-02-07,0.74335
2014-02-06,0.739726
2014-02-05,0.734526
2014-02-04,0.733431
2014-02-03,0.733467
2014-02-02,0.733467
2014-02-01,0.734427
2014-01-31,0.737579
2014-01-30,0.742249
2014-01-29,0.740021
2014-01-28,0.736391
2014-01-27,0.734836
2014-01-26,0.737375
2014-01-25,0.745258
2014-01-24,0.754111
2014-01-23,0.757816
2014-01-22,0.755683
2014-01-21,0.751463
2014-01-20,0.751679
2014-01-19,0.751679
2014-01-18,0.753431
2014-01-17,0.756138
2014-01-16,0.756573
2014-01-15,0.754315
2014-01-14,0.75114
2014-01-13,0.748792
2014-01-12,0.748792
2014-01-11,0.749002
2014-01-10,0.752276
2014-01-09,0.752425
2014-01-08,0.749788
2014-01-07,0.74891
2014-01-06,0.749062
2014-01-05,0.747143
2014-01-04,0.740403
2014-01-03,0.733704
2014-01-02,0.731708
2014-01-01,0.729475
2013-12-31,0.726707
2013-12-30,0.727012
2013-12-29,0.727012
2013-12-28,0.729559
2013-12-27,0.732596
2013-12-26,0.733431
2013-12-25,0.733467
2013-12-24,0.734609
2013-12-23,0.735017
2013-12-22,0.735017
2013-12-21,0.734668
2013-12-20,0.732772
2013-12-19,0.732279
2013-12-18,0.733549
2013-12-17,0.7345
2013-12-16,0.734479
2013-12-15,0.734479
2013-12-14,0.733487
2013-12-13,0.733848
2013-12-12,0.734988
2013-12-11,0.73809
2013-12-10,0.738764
2013-12-09,0.737863
2013-12-08,0.737863
2013-12-07,0.737283
2013-12-06,0.739706
2013-12-05,0.742505
2013-12-04,0.743803
2013-12-03,0.739979
2013-12-02,0.735773
2013-12-01,0.735701
2013-11-30,0.736644
2013-11-29,0.739634
2013-11-28,0.743427
2013-11-27,0.746913
2013-11-26,0.745172
2013-11-25,0.744313
2013-11-24,0.744313
2013-11-23,0.749341
2013-11-22,0.756246
2013-11-21,0.75972
2013-11-20,0.761668
2013-11-19,0.763583
2013-11-18,0.762269
2013-11-17,0.762269
2013-11-16,0.759687
2013-11-15,0.75686
2013-11-14,0.755635
2013-11-13,0.75799
2013-11-12,0.760394
2013-11-11,0.761196
2013-11-10,0.761196
2013-11-09,0.763409
2013-11-08,0.764344
2013-11-07,0.761307
2013-11-06,0.755655
2013-11-05,0.754708
2013-11-04,0.752924
2013-11-03,0.752924
2013-11-02,0.749069
2013-11-01,0.744527
2013-10-31,0.741968
2013-10-30,0.741714
2013-10-29,0.740842
2013-10-28,0.740137
2013-10-27,0.740137
2013-10-26,0.743788
2013-10-25,0.749456
2013-10-24,0.756567
2013-10-23,0.763807
2013-10-22,0.765764
2013-10-21,0.766259
2013-10-20,0.766259
2013-10-19,0.766335
2013-10-18,0.766707
2013-10-17,0.766707
2013-10-16,0.762558
2013-10-15,0.759286
2013-10-14,0.758253
2013-10-13,0.758253
2013-10-12,0.755615
2013-10-11,0.753594
2013-10-10,0.752473
2013-10-09,0.750835
2013-10-08,0.752219
2013-10-07,0.752378
2013-10-06,0.752378
2013-10-05,0.748612
2013-10-04,0.747356
2013-10-03,0.747709
2013-10-02,0.749961
2013-10-01,0.749961
2013-09-30,0.750526
2013-09-29,0.750526
2013-09-28,0.752049
2013-09-27,0.752247
2013-09-26,0.75375
2013-09-25,0.759314
2013-09-24,0.762342
2013-09-23,0.762251
2013-09-22,0.762251
2013-09-21,0.763595
2013-09-20,0.763548
2013-09-19,0.761201
2013-09-18,0.759456
2013-09-17,0.757557
2013-09-16,0.756474
2013-09-15,0.756474
2013-09-14,0.757251
2013-09-13,0.755353
2013-09-12,0.7521
2013-09-11,0.750309
2013-09-10,0.749385
2013-09-09,0.749599
2013-09-08,0.749599
2013-09-07,0.746098
2013-09-06,0.739505
2013-09-05,0.734233
2013-09-04,0.729581
2013-09-03,0.724172
2013-09-02,0.720014
2013-09-01,0.720014
2013-08-31,0.722317
2013-08-30,0.719901
2013-08-29,0.716375
2013-08-28,0.720079
2013-08-27,0.721399
2013-08-26,0.720142
2013-08-25,0.720142
2013-08-24,0.72261
2013-08-23,0.725478
2013-08-22,0.730933
2013-08-21,0.742042
2013-08-20,0.750773
2013-08-19,0.750294
2013-08-18,0.750294
2013-08-17,0.75017
2013-08-16,0.75052
2013-08-15,0.745594
2013-08-14,0.741883
2013-08-13,0.741852
2013-08-12,0.740132
2013-08-11,0.740132
2013-08-10,0.737077
2013-08-09,0.734155
2013-08-08,0.731307
2013-08-07,0.726964
2013-08-06,0.725166
2013-08-05,0.73083
2013-08-04,0.73083
2013-08-03,0.736613
2013-08-02,0.739224
2013-08-01,0.742143
2013-07-31,0.74607
2013-07-30,0.749829
2013-07-29,0.750564
2013-07-28,0.750564
2013-07-27,0.75039
2013-07-26,0.748438
2013-07-25,0.746487
2013-07-24,0.746935
2013-07-23,0.745478
2013-07-22,0.746574
2013-07-21,0.746574
2013-07-20,0.746094
2013-07-19,0.743218
2013-07-18,0.741614
2013-07-17,0.741146
2013-07-16,0.738699
2013-07-15,0.738808
2013-07-14,0.738808
2013-07-13,0.743954
2013-07-12,0.752626
2013-07-11,0.759548
2013-07-10,0.75416
2013-07-09,0.746201
2013-07-08,0.744441
2013-07-07,0.744441
2013-07-06,0.745049
2013-07-05,0.739979
2013-07-04,0.736832
2013-07-03,0.736876
2013-07-02,0.733651
2013-07-01,0.732547
2013-06-30,0.732547
2013-06-29,0.73556
2013-06-28,0.734365
2013-06-27,0.728162
2013-06-26,0.724186
2013-06-25,0.724106
2013-06-24,0.723312
2013-06-23,0.723312
2013-06-22,0.723205
2013-06-21,0.729908
2013-06-20,0.736078
2013-06-19,0.739207
2013-06-18,0.743056
2013-06-17,0.742891
2013-06-16,0.742891
2013-06-15,0.741286
2013-06-14,0.734339
2013-06-13,0.732545
2013-06-12,0.733036
2013-06-11,0.737677
2013-06-10,0.738721
2013-06-09,0.738721
2013-06-08,0.742298
2013-06-07,0.751052
2013-06-06,0.758412
2013-06-05,0.76268
2013-06-04,0.761675
2013-06-03,0.761606
2013-06-02,0.761606
2013-06-01,0.769935
2013-05-31,0.779103
2013-05-30,0.784874
2013-05-29,0.782026
2013-05-28,0.778338
2013-05-27,0.779598
2013-05-26,0.779598
2013-05-25,0.783092
2013-05-24,0.787727
2013-05-23,0.791126
2013-05-22,0.789903
2013-05-21,0.786649
2013-05-20,0.78466
2013-05-19,0.78466
2013-05-18,0.787476
2013-05-17,0.792729
2013-05-16,0.792682
2013-05-15,0.790858
2013-05-14,0.793416
2013-05-13,0.794835
2013-05-12,0.794835
2013-05-11,0.793774
2013-05-10,0.790433
2013-05-09,0.791378
2013-05-08,0.797437
2013-05-07,0.798638
2013-05-06,0.797511
2013-05-05,0.797511
2013-05-04,0.793703
2013-05-03,0.790939
2013-05-02,0.795969
2013-05-01,0.800931
2013-04-30,0.800883
2013-04-29,0.800836
2013-04-28,0.800836
2013-04-27,0.803814
2013-04-26,0.803192
2013-04-25,0.795212
2013-04-24,0.787906
2013-04-23,0.786461
2013-04-22,0.786324
2013-04-21,0.786324
2013-04-20,0.786275
2013-04-19,0.785373
2013-04-18,0.784468
2013-04-17,0.787311
2013-04-16,0.792032
2013-04-15,0.798061
2013-04-14,0.798061
2013-04-13,0.801322
2013-04-12,0.800302
2013-04-11,0.795212
2013-04-10,0.791501
2013-04-09,0.788221
2013-04-08,0.788305
2013-04-07,0.788305
2013-04-06,0.790969
2013-04-05,0.79597
2013-04-04,0.797695
2013-04-03,0.795493
2013-04-02,0.794414
2013-04-01,0.794652
2013-03-31,0.794652
2013-03-30,0.795281
2013-03-29,0.796522
2013-03-28,0.795104
2013-03-27,0.790753
2013-03-26,0.786857
2013-03-25,0.786412
2013-03-24,0.786412
2013-03-23,0.785748
2013-03-22,0.781955
2013-03-21,0.779211
2013-03-20,0.779688
2013-03-19,0.777649
2013-03-18,0.776639
2013-03-17,0.776639
2013-03-16,0.777775
2013-03-15,0.780593
2013-03-14,0.782162
2013-03-13,0.781904
2013-03-12,0.781817
2013-03-11,0.782162
2013-03-10,0.781668
2013-03-09,0.781948
2013-03-08,0.783973
2013-03-07,0.782642
2013-03-06,0.778037
2013-03-05,0.776172
2013-03-04,0.777739
2013-03-03,0.776937
