Date,YAHOO.INDEX_SSEC.4
2013-04-01,2234.4
2013-03-29,2236.62
2013-03-28,2236.3
2013-03-27,2301.26
2013-03-26,2297.67
2013-03-25,2326.72
2013-03-22,2328.28
2013-03-21,2324.24
2013-03-20,2317.38
2013-03-19,2257.43
2013-03-18,2240.02
2013-03-15,2278.4
2013-03-14,2270.28
2013-03-13,2263.97
2013-03-12,2286.6
2013-03-11,2310.59
2013-03-08,2318.61
2013-03-07,2324.29
2013-03-06,2347.18
2013-03-05,2326.31
2013-03-04,2273.4
2013-03-01,2359.51
2013-02-28,2365.59
2013-02-27,2313.22
2013-02-26,2293.34
2013-02-25,2325.82
2013-02-22,2314.16
2013-02-21,2325.95
2013-02-20,2397.18
2013-02-19,2382.91
2013-02-18,2421.56
2013-02-08,2432.4
2013-02-07,2418.53
2013-02-06,2434.48
2013-02-05,2433.13
2013-02-04,2428.15
2013-02-01,2419.02
2013-01-31,2385.42
2013-01-30,2382.48
2013-01-29,2358.98
2013-01-28,2346.5
2013-01-25,2291.3
2013-01-24,2302.6
2013-01-23,2320.91
2013-01-22,2315.14
2013-01-21,2328.22
2013-01-18,2317.07
2013-01-17,2284.91
2013-01-16,2309.5
2013-01-15,2325.68
2013-01-14,2311.74
2013-01-11,2243.0
2013-01-10,2283.66
2013-01-09,2275.34
2013-01-08,2276.07
2013-01-07,2285.36
2013-01-04,2276.99
2012-12-31,2269.13
2012-12-28,2233.25
2012-12-27,2205.9
2012-12-26,2219.13
2012-12-25,2213.61
2012-12-24,2159.05
2012-12-21,2153.31
2012-12-20,2168.35
2012-12-19,2162.24
2012-12-18,2162.46
2012-12-17,2160.34
2012-12-14,2150.62
2012-12-13,2061.48
2012-12-12,2082.73
2012-12-11,2074.7
2012-12-10,2083.77
2012-12-07,2061.79
2012-12-06,2029.24
2012-12-05,2031.91
2012-12-04,1975.14
2012-12-03,1959.77
2012-11-30,1980.12
2012-11-29,1963.49
2012-11-28,1973.52
2012-11-27,1991.17
2012-11-26,2017.46
2012-11-23,2027.38
2012-11-22,2015.61
2012-11-21,2030.32
2012-11-20,2008.92
2012-11-19,2016.98
2012-11-16,2014.72
2012-11-15,2030.29
2012-11-14,2055.42
2012-11-13,2047.89
2012-11-12,2079.27
2012-11-09,2069.07
2012-11-08,2071.51
2012-11-07,2105.73
2012-11-06,2106.0
2012-11-05,2114.03
2012-11-02,2117.05
2012-11-01,2104.43
2012-10-31,2068.88
2012-10-30,2062.35
2012-10-29,2058.94
2012-10-26,2066.21
2012-10-25,2101.58
2012-10-24,2115.99
2012-10-23,2114.45
2012-10-22,2132.76
2012-10-19,2128.3
2012-10-18,2131.69
2012-10-17,2105.62
2012-10-16,2098.81
2012-10-15,2098.7
2012-10-12,2104.93
2012-10-11,2102.87
2012-10-10,2119.94
2012-10-09,2115.23
2012-10-08,2074.42
2012-09-28,2086.17
2012-09-27,2056.32
2012-09-26,2004.17
2012-09-25,2029.29
2012-09-24,2033.19
2012-09-21,2026.69
2012-09-20,2024.84
2012-09-19,2067.83
2012-09-18,2059.54
2012-09-17,2078.5
2012-09-14,2123.85
2012-09-13,2110.38
2012-09-12,2126.55
2012-09-11,2120.55
2012-09-10,2134.89
2012-09-07,2127.76
2012-09-06,2051.92
2012-09-05,2037.68
2012-09-04,2043.65
2012-09-03,2059.15
2012-08-31,2047.52
2012-08-30,2052.58
2012-08-29,2053.24
2012-08-28,2073.15
2012-08-27,2055.71
2012-08-24,2092.1
2012-08-23,2113.07
2012-08-22,2107.71
2012-08-21,2118.27
2012-08-20,2106.96
2012-08-17,2114.89
2012-08-16,2112.2
2012-08-15,2118.95
2012-08-14,2142.52
2012-08-13,2136.08
2012-08-10,2168.81
2012-08-09,2174.1
2012-08-08,2160.99
2012-08-07,2157.62
2012-08-06,2154.92
2012-08-03,2132.8
2012-08-02,2111.18
2012-08-01,2123.36
2012-07-31,2103.64
2012-07-30,2109.91
2012-07-27,2128.76
2012-07-26,2126.0
2012-07-25,2136.15
2012-07-24,2146.59
2012-07-23,2141.4
2012-07-20,2168.64
2012-07-19,2184.84
2012-07-18,2169.1
2012-07-17,2161.19
2012-07-16,2147.96
2012-07-13,2185.9
2012-07-12,2185.49
2012-07-11,2175.38
2012-07-10,2164.44
2012-07-09,2170.81
2012-07-06,2223.58
2012-07-05,2201.35
2012-07-04,2227.31
2012-07-03,2229.19
2012-07-02,2226.11
2012-06-29,2225.43
2012-06-28,2195.84
2012-06-27,2216.93
2012-06-26,2222.07
2012-06-25,2224.11
2012-06-21,2260.88
2012-06-20,2292.88
2012-06-19,2300.79
2012-06-18,2316.05
2012-06-15,2306.85
2012-06-14,2295.95
2012-06-13,2318.92
2012-06-12,2289.79
2012-06-11,2305.86
2012-06-08,2281.45
2012-06-07,2293.13
2012-06-06,2309.55
2012-06-05,2311.92
2012-06-04,2308.55
2012-06-01,2373.44
2012-05-31,2372.23
2012-05-30,2384.67
2012-05-29,2389.64
2012-05-28,2361.37
2012-05-25,2333.55
2012-05-24,2350.97
2012-05-23,2363.44
2012-05-22,2373.31
2012-05-21,2348.3
2012-05-18,2344.52
2012-05-17,2378.89
2012-05-16,2346.19
2012-05-15,2374.84
2012-05-14,2380.73
2012-05-11,2394.98
2012-05-10,2410.23
2012-05-09,2408.59
2012-05-08,2448.88
2012-05-07,2451.95
2012-05-04,2452.01
2012-05-03,2440.08
2012-05-02,2438.44
2012-04-27,2396.32
2012-04-26,2404.7
2012-04-25,2406.81
2012-04-24,2388.83
2012-04-23,2388.59
2012-04-20,2406.86
2012-04-19,2378.63
2012-04-18,2380.85
2012-04-17,2334.99
2012-04-16,2357.03
2012-04-13,2359.16
2012-04-12,2350.86
2012-04-11,2308.93
2012-04-10,2305.86
2012-04-09,2285.78
2012-04-06,2306.55
2012-04-05,2302.24
2012-03-30,2262.79
2012-03-29,2252.16
2012-03-28,2284.88
2012-03-27,2347.18
