Date,CURRFX.AUDCHF.1
2013-11-12,0.863692
2013-11-11,0.865516
2013-11-08,0.86725
2013-11-07,0.86714
2013-11-06,0.865525
2013-11-05,0.863805
2013-11-04,0.859268
2013-11-01,0.85481
2013-10-31,0.852919
2013-10-30,0.854809
2013-10-29,0.856764
2013-10-28,0.856663
2013-10-25,0.860246
2013-10-24,0.866246
2013-10-23,0.871591
2013-10-22,0.87255
2013-10-21,0.871802
2013-10-18,0.870261
2013-10-17,0.870161
2013-10-16,0.866253
2013-10-15,0.861869
2013-10-14,0.861953
2013-10-11,0.858873
2013-10-10,0.855937
2013-10-09,0.853183
2013-10-08,0.853573
2013-10-07,0.85243
2013-10-04,0.846586
2013-10-03,0.847774
2013-10-02,0.84661
2013-10-01,0.843679
2013-09-30,0.847222
2013-09-27,0.853355
2013-09-26,0.855188
2013-09-25,0.857565
2013-09-24,0.857335
2013-09-23,0.858416
2013-09-20,0.86515
2013-09-19,0.865722
2013-09-18,0.864728
2013-09-17,0.86262
2013-09-16,0.860516
2013-09-13,0.864781
2013-09-12,0.867662
2013-09-11,0.864347
2013-09-10,0.861788
2013-09-09,0.860768
2013-09-06,0.858022
2013-09-05,0.851309
2013-09-04,0.841796
2013-09-03,0.833663
2013-09-02,0.828204
2013-08-30,0.826273
2013-08-29,0.823645
2013-08-28,0.829006
2013-08-27,0.832717
2013-08-26,0.831788
2013-08-23,0.83093
2013-08-22,0.832126
2013-08-21,0.841079
2013-08-20,0.84995
2013-08-19,0.851803
2013-08-16,0.852634
2013-08-15,0.850286
2013-08-14,0.847995
2013-08-13,0.848774
2013-08-12,0.843326
2013-08-09,0.832948
2013-08-08,0.830012
2013-08-07,0.829487
2013-08-06,0.82734
2013-08-05,0.829613
2013-08-02,0.834786
2013-08-01,0.840986
2013-07-31,0.851294
2013-07-30,0.859142
2013-07-29,0.859425
2013-07-26,0.860372
2013-07-25,0.865297
2013-07-24,0.866803
2013-07-23,0.86466
2013-07-22,0.864268
2013-07-19,0.866956
2013-07-18,0.868143
2013-07-17,0.866065
2013-07-16,0.85985
2013-07-15,0.863516
2013-07-12,0.880311
2013-07-11,0.888391
2013-07-10,0.882441
2013-07-09,0.875512
2013-07-08,0.871687
2013-07-05,0.866416
2013-07-04,0.866461
2013-07-03,0.869853
2013-07-02,0.866809
2013-07-01,0.868738
2013-06-28,0.875445
2013-06-27,0.86985
2013-06-26,0.864444
2013-06-25,0.862132
2013-06-24,0.860181
2013-06-21,0.863212
2013-06-20,0.873655
2013-06-19,0.878807
2013-06-18,0.884027
2013-06-17,0.879869
2013-06-14,0.876214
2013-06-13,0.876214
2013-06-12,0.878275
2013-06-11,0.885704
2013-06-10,0.890578
2013-06-07,0.898122
2013-06-06,0.911302
2013-06-05,0.920111
2013-06-04,0.919061
2013-06-03,0.918268
2013-05-31,0.927462
2013-05-30,0.932237
2013-05-29,0.932072
2013-05-28,0.927745
2013-05-27,0.933571
2013-05-24,0.944868
2013-05-23,0.94939
2013-05-22,0.94854
2013-05-21,0.947149
2013-05-20,0.948262
2013-05-17,0.953066
2013-05-16,0.95487
2013-05-15,0.953149
2013-05-14,0.95709
2013-05-13,0.958228
2013-05-10,0.956034
2013-05-09,0.956541
2013-05-08,0.959409
2013-05-07,0.963029
2013-05-06,0.960809
2013-05-03,0.955805
2013-05-02,0.962883
2013-05-01,0.968759
2013-04-30,0.969594
2013-04-29,0.971003
2013-04-26,0.973146
2013-04-25,0.967956
2013-04-24,0.961226
2013-04-23,0.959589
2013-04-22,0.960058
2013-04-19,0.95929
2013-04-18,0.958895
2013-04-17,0.96403
2013-04-16,0.971103
2013-04-15,0.977631
2013-04-12,0.981502
2013-04-11,0.978797
2013-04-10,0.974187
2013-04-09,0.970723
2013-04-08,0.976547
2013-04-05,0.988921
2013-04-04,0.991445
2013-04-03,0.98944
2013-04-02,0.988787
2013-04-01,0.990451
2013-03-29,0.993219
2013-03-28,0.994048
2013-03-27,0.990678
2013-03-26,0.984478
2013-03-25,0.983076
2013-03-22,0.983007
2013-03-21,0.98191
2013-03-20,0.981236
2013-03-19,0.9788
2013-03-18,0.980407
2013-03-15,0.983027
2013-03-14,0.977323
2013-03-13,0.974951
2013-03-12,0.97323
2013-03-11,0.972516
2013-03-08,0.969781
2013-03-07,0.966361
2013-03-06,0.960678
2013-03-05,0.959306
2013-03-04,0.959375
2013-03-01,0.95315
2013-02-28,0.952558
2013-02-27,0.955502
2013-02-26,0.957596
2013-02-25,0.956942
2013-02-22,0.952708
2013-02-21,0.953066
2013-02-20,0.952952
2013-02-19,0.950608
2013-02-18,0.950894
2013-02-15,0.950972
2013-02-14,0.946796
2013-02-13,0.943961
2013-02-12,0.945572
2013-02-11,0.944368
2013-02-08,0.940477
2013-02-07,0.942902
2013-02-06,0.946981
2013-02-05,0.946818
2013-02-04,0.946464
2013-02-01,0.952435
2013-01-31,0.961561
2013-01-30,0.965685
2013-01-29,0.969787
2013-01-28,0.969787
2013-01-25,0.97813
2013-01-24,0.980973
2013-01-23,0.98158
2013-01-22,0.981451
2013-01-21,0.981865
2013-01-18,0.98224
2013-01-17,0.98073
2013-01-16,0.972937
2013-01-15,0.964994
2013-01-14,0.966783
2013-01-11,0.97304
2013-01-10,0.970351
2013-01-09,0.968837
2013-01-08,0.969859
2013-01-07,0.968344
2013-01-04,0.962987
2013-01-03,0.953466
2013-01-02,0.949681
2013-01-01,0.948838
2012-12-31,0.947208
2012-12-28,0.947057
2012-12-27,0.948456
2012-12-26,0.94989
2012-12-25,0.951781
2012-12-24,0.953954
2012-12-21,0.957249
2012-12-20,0.961222
2012-12-19,0.966515
2012-12-18,0.968564
2012-12-17,0.972002
2012-12-14,0.97765
2012-12-13,0.980227
2012-12-12,0.979713
2012-12-11,0.980213
2012-12-10,0.977349
2012-12-07,0.971711
2012-12-06,0.969639
2012-12-05,0.967059
2012-12-04,0.965818
2012-12-03,0.968895
2012-11-30,0.971878
2012-11-29,0.973237
2012-11-28,0.971969
2012-11-27,0.970846
2012-11-26,0.971253
2012-11-23,0.973493
2012-11-22,0.976495
2012-11-21,0.978721
2012-11-20,0.978746
2012-11-19,0.977254
2012-11-16,0.980485
2012-11-15,0.98717
2012-11-14,0.988368
2012-11-13,0.986989
2012-11-12,0.985347
2012-11-09,0.984666
2012-11-08,0.98357
2012-11-07,0.980208
2012-11-06,0.974542
2012-11-05,0.970463
2012-11-02,0.966976
2012-11-01,0.966783
2012-10-31,0.968204
2012-10-30,0.969225
2012-10-29,0.968437
2012-10-26,0.965068
2012-10-25,0.960584
2012-10-24,0.956757
2012-10-23,0.957284
2012-10-22,0.958589
2012-10-19,0.956636
2012-10-18,0.954167
2012-10-17,0.955197
2012-10-16,0.955854
2012-10-15,0.958054
2012-10-12,0.962041
2012-10-11,0.959682
2012-10-10,0.954041
2012-10-09,0.948497
2012-10-08,0.950165
2012-10-05,0.957357
2012-10-04,0.96162
2012-10-03,0.969421
2012-10-02,0.974404
2012-10-01,0.97605
2012-09-28,0.975597
2012-09-27,0.9741
2012-09-26,0.975316
2012-09-25,0.975085
2012-09-24,0.973817
2012-09-21,0.970646
2012-09-20,0.970013
2012-09-19,0.971454
2012-09-18,0.975848
2012-09-17,0.979193
2012-09-14,0.981594
2012-09-13,0.980455
2012-09-12,0.979119
2012-09-11,0.979716
2012-09-10,0.979512
2012-09-07,0.977296
2012-09-06,0.976421
