Date,CURRFX.GBPCHF.1
2012-12-05,1.4897
2012-12-04,1.48639
2012-12-03,1.48678
2012-12-02,1.48673
2012-12-01,1.48673
2012-11-30,1.48879
2012-11-29,1.49012
2012-11-28,1.48872
2012-11-27,1.48792
2012-11-26,1.49006
2012-11-25,1.48828
2012-11-24,1.49131
2012-11-23,1.49596
2012-11-22,1.49819
2012-11-21,1.49871
2012-11-20,1.5008
2012-11-19,1.49948
2012-11-18,1.50047
2012-11-17,1.49766
2012-11-16,1.49792
2012-11-15,1.50314
2012-11-14,1.50656
2012-11-13,1.50714
2012-11-12,1.50929
2012-11-11,1.50915
2012-11-10,1.51095
2012-11-09,1.51018
2012-11-08,1.50833
2012-11-07,1.50795
2012-11-06,1.50726
2012-11-05,1.50566
2012-11-04,1.5063
2012-11-03,1.50477
2012-11-02,1.50206
2012-11-01,1.49937
2012-10-31,1.50131
2012-10-30,1.50435
2012-10-29,1.50337
2012-10-28,1.50593
2012-10-27,1.50449
2012-10-26,1.49685
2012-10-25,1.48975
2012-10-24,1.48585
2012-10-23,1.48534
2012-10-22,1.48672
2012-10-21,1.48541
2012-10-20,1.48688
2012-10-19,1.48933
2012-10-18,1.49246
2012-10-17,1.49771
2012-10-16,1.50007
2012-10-15,1.50096
2012-10-14,1.49974
2012-10-13,1.50025
2012-10-12,1.50317
2012-10-11,1.50309
2012-10-10,1.49988
2012-10-09,1.49955
2012-10-08,1.50298
2012-10-07,1.50203
2012-10-06,1.50662
2012-10-05,1.509
2012-10-04,1.51125
2012-10-03,1.51412
2012-10-02,1.51759
2012-10-01,1.51993
2012-09-30,1.51911
2012-09-29,1.51957
2012-09-28,1.52018
2012-09-27,1.51889
2012-09-26,1.51785
2012-09-25,1.51598
2012-09-24,1.51241
2012-09-23,1.51437
2012-09-22,1.51257
2012-09-21,1.50814
2012-09-20,1.50669
2012-09-19,1.50622
2012-09-18,1.50415
2012-09-17,1.50621
2012-09-16,1.50521
2012-09-15,1.50933
2012-09-14,1.51026
2012-09-13,1.51015
2012-09-12,1.51213
2012-09-11,1.51252
2012-09-10,1.5148
2012-09-09,1.51449
2012-09-08,1.51945
2012-09-07,1.51996
2012-09-06,1.51817
2012-09-05,1.51549
2012-09-04,1.51562
2012-09-03,1.51572
2012-09-02,1.51488
2012-09-01,1.51519
2012-08-31,1.51569
2012-08-30,1.51454
2012-08-29,1.51549
2012-08-28,1.51728
2012-08-27,1.5184
2012-08-26,1.51739
2012-08-25,1.51817
2012-08-24,1.52034
2012-08-23,1.52242
2012-08-22,1.52613
2012-08-21,1.52992
2012-08-20,1.52992
2012-08-19,1.52876
2012-08-18,1.52998
2012-08-17,1.53128
2012-08-16,1.52892
2012-08-15,1.52778
2012-08-14,1.5307
2012-08-13,1.52936
2012-08-12,1.53089
2012-08-11,1.52643
2012-08-10,1.52145
2012-08-09,1.51561
2012-08-08,1.51282
2012-08-07,1.51479
2012-08-06,1.52087
2012-08-05,1.52054
2012-08-04,1.52614
2012-08-03,1.5272
2012-08-02,1.53031
2012-08-01,1.53565
2012-07-31,1.5366
2012-07-30,1.53446
2012-07-29,1.53475
2012-07-28,1.53292
2012-07-27,1.53424
2012-07-26,1.53848
2012-07-25,1.54062
2012-07-24,1.54246
2012-07-23,1.53978
2012-07-22,1.54219
2012-07-21,1.53763
2012-07-20,1.53246
2012-07-19,1.53033
2012-07-18,1.52952
2012-07-17,1.52836
2012-07-16,1.52469
2012-07-15,1.52516
2012-07-14,1.52151
2012-07-13,1.52104
2012-07-12,1.51986
2012-07-11,1.51563
2012-07-10,1.51424
2012-07-09,1.50874
2012-07-08,1.5121
2012-07-07,1.50515
2012-07-06,1.49774
