Date,CURRFX.CHFJPY.1
2014-03-10,117.514
2014-03-09,117.514
2014-03-08,116.829
2014-03-07,115.729
2014-03-06,115.208
2014-03-05,115.13
2014-03-04,115.325
2014-03-03,115.474
2014-03-02,115.474
2014-03-01,115.069
2014-02-28,114.955
2014-02-27,115.206
2014-02-26,115.321
2014-02-25,115.394
2014-02-24,115.393
2014-02-23,115.393
2014-02-22,115.134
2014-02-21,114.954
2014-02-20,115.033
2014-02-19,114.603
2014-02-18,114.119
2014-02-17,114.098
2014-02-16,114.098
2014-02-15,114.105
2014-02-14,113.975
2014-02-13,114.044
2014-02-12,114.104
2014-02-11,113.946
2014-02-10,113.777
2014-02-09,113.777
2014-02-08,113.095
2014-02-07,112.389
2014-02-06,112.156
2014-02-05,112.305
2014-02-04,112.552
2014-02-03,112.544
2014-02-02,112.873
2014-02-01,113.594
2014-01-31,114.192
2014-01-30,114.524
2014-01-29,114.49
2014-01-28,114.441
2014-01-27,114.456
2014-01-26,114.57
2014-01-25,114.818
2014-01-24,114.79
2014-01-23,114.582
2014-01-22,114.49
2014-01-21,114.452
2014-01-20,114.783
2014-01-19,114.783
2014-01-18,115.118
2014-01-17,115.209
2014-01-16,115.059
2014-01-15,114.834
2014-01-14,114.958
2014-01-13,115.484
2014-01-12,115.484
2014-01-11,115.435
2014-01-10,115.228
2014-01-09,115.229
2014-01-08,115.306
2014-01-07,115.603
2014-01-06,115.826
2014-01-05,115.856
2014-01-04,116.443
2014-01-03,117.786
2014-01-02,118.332
2014-01-01,118.158
2013-12-31,118.108
2013-12-30,117.877
2013-12-29,117.877
2013-12-28,117.378
2013-12-27,116.658
2013-12-26,116.407
2013-12-25,116.365
2013-12-24,116.173
2013-12-23,116.174
2013-12-22,116.174
2013-12-21,116.216
2013-12-20,116.214
2013-12-19,116.124
2013-12-18,116.022
2013-12-17,116.021
2013-12-16,116.145
2013-12-15,116.145
2013-12-14,116.078
2013-12-13,115.761
2013-12-12,115.797
2013-12-11,115.814
2013-12-10,115.508
2013-12-09,114.904
2013-12-08,114.904
2013-12-07,113.838
2013-12-06,113.329
2013-12-05,113.332
2013-12-04,113.305
2013-12-03,113.131
2013-12-02,113.055
2013-12-01,113.055
2013-11-30,112.933
2013-11-29,112.509
2013-11-28,111.914
2013-11-27,111.609
2013-11-26,111.712
2013-11-25,111.422
2013-11-24,111.422
2013-11-23,110.577
2013-11-22,109.806
2013-11-21,109.641
2013-11-20,109.542
2013-11-19,109.539
2013-11-18,109.504
2013-11-17,109.434
2013-11-16,109.176
2013-11-15,108.749
2013-11-14,108.407
2013-11-13,108.038
2013-11-12,107.576
2013-11-11,107.384
2013-11-10,107.384
2013-11-09,107.434
2013-11-08,107.979
2013-11-07,108.074
2013-11-06,108.085
2013-11-05,108.198
2013-11-04,108.149
2013-11-03,108.149
2013-11-02,108.457
2013-11-01,109.112
2013-10-31,109.196
2013-10-30,109.091
2013-10-29,109.177
2013-10-28,109.057
2013-10-27,109.057
2013-10-26,109.053
2013-10-25,109.159
2013-10-24,109.116
2013-10-23,108.934
2013-10-22,108.545
2013-10-21,108.408
2013-10-20,108.408
2013-10-19,108.399
2013-10-18,108.133
2013-10-17,107.896
2013-10-16,107.978
2013-10-15,108.09
2013-10-14,108.101
2013-10-13,108.101
2013-10-12,107.799
2013-10-11,107.276
2013-10-10,107.15
2013-10-09,107.245
2013-10-08,107.353
2013-10-07,107.593
2013-10-06,107.593
2013-10-05,107.973
2013-10-04,108.093
2013-10-03,108.103
2013-10-02,108.347
2013-10-01,108.293
2013-09-30,108.512
2013-09-29,108.512
2013-09-28,108.569
2013-09-27,108.404
2013-09-26,108.286
2013-09-25,108.518
2013-09-24,108.829
2013-09-23,109.129
2013-09-22,109.129
2013-09-21,108.872
2013-09-20,107.897
2013-09-19,107.036
2013-09-18,106.968
2013-09-17,106.875
2013-09-16,106.915
2013-09-15,106.915
2013-09-14,106.915
2013-09-13,107.103
2013-09-12,107.253
2013-09-11,106.83
2013-09-10,106.13
2013-09-09,105.682
2013-09-08,105.682
2013-09-07,105.893
2013-09-06,106.309
2013-09-05,106.241
2013-09-04,106.241
2013-09-03,105.901
2013-09-02,105.552
2013-09-01,105.552
2013-08-31,105.611
2013-08-30,105.82
2013-08-29,106.021
2013-08-28,106.488
2013-08-27,106.966
2013-08-26,107.092
2013-08-25,107.092
2013-08-24,106.777
2013-08-23,106.281
2013-08-22,105.958
2013-08-21,105.662
2013-08-20,105.447
2013-08-19,105.242
2013-08-18,105.242
2013-08-17,105.083
2013-08-16,104.946
2013-08-15,105.086
2013-08-14,104.875
2013-08-13,104.356
2013-08-12,104.514
2013-08-11,104.514
2013-08-10,104.767
2013-08-09,104.77
2013-08-08,105.257
2013-08-07,105.899
2013-08-06,106.242
2013-08-05,106.427
2013-08-04,106.427
2013-08-03,106.221
2013-08-02,105.823
2013-08-01,105.477
2013-07-31,105.402
2013-07-30,105.546
2013-07-29,105.974
2013-07-28,105.974
2013-07-27,106.422
2013-07-26,106.754
2013-07-25,106.62
2013-07-24,106.405
2013-07-23,106.64
2013-07-22,106.763
2013-07-21,106.763
2013-07-20,106.322
2013-07-19,105.966
2013-07-18,105.6
2013-07-17,105.246
2013-07-16,104.956
2013-07-15,104.748
2013-07-14,104.748
2013-07-13,104.553
2013-07-12,104.13
2013-07-11,103.926
2013-07-10,104.59
2013-07-09,104.898
2013-07-08,104.875
2013-07-07,104.875
2013-07-06,104.85
2013-07-05,105.224
2013-07-04,105.504
2013-07-03,105.414
2013-07-02,105.134
2013-07-01,104.841
2013-06-30,104.841
2013-06-29,104.381
2013-06-28,103.91
2013-06-27,104.101
2013-06-26,104.563
2013-06-25,104.814
2013-06-24,104.837
2013-06-23,104.837
2013-06-22,104.857
2013-06-21,104.258
2013-06-20,103.422
2013-06-19,102.967
2013-06-18,102.412
2013-06-17,102.397
2013-06-16,102.397
2013-06-15,102.84
2013-06-14,103.386
2013-06-13,104.424
2013-06-12,105.019
2013-06-11,104.82
2013-06-10,104.165
2013-06-09,104.165
2013-06-08,104.461
2013-06-07,105.204
2013-06-06,105.378
2013-06-05,105.234
2013-06-04,105.021
2013-06-03,105.297
2013-06-02,105.297
2013-06-01,105.44
2013-05-31,105.171
2013-05-30,104.958
2013-05-29,105.091
2013-05-28,105.117
2013-05-27,105.296
2013-05-26,105.296
2013-05-25,105.166
2013-05-24,105.315
2013-05-23,105.762
2013-05-22,105.874
2013-05-21,105.974
2013-05-20,106.052
2013-05-19,106.052
2013-05-18,105.944
2013-05-17,105.897
2013-05-16,105.973
2013-05-15,106.248
2013-05-14,106.248
2013-05-13,106.191
2013-05-12,106.191
2013-05-11,106.013
2013-05-10,105.596
2013-05-09,105.457
2013-05-08,105.672
2013-05-07,105.898
2013-05-06,105.647
2013-05-05,105.647
2013-05-04,105.152
2013-05-03,104.874
2013-05-02,104.729
2013-05-01,104.351
2013-04-30,104.074
2013-04-29,104.186
2013-04-28,104.186
2013-04-27,104.734
2013-04-26,105.081
2013-04-25,105.286
2013-04-24,105.953
2013-04-23,106.643
2013-04-22,106.42
2013-04-21,106.42
2013-04-20,105.854
2013-04-19,105.509
2013-04-18,105.525
2013-04-17,105.181
2013-04-16,105.676
2013-04-15,106.334
2013-04-14,106.334
2013-04-13,106.796
2013-04-12,106.822
2013-04-11,106.437
2013-04-10,105.959
2013-04-09,105.135
2013-04-08,103.868
2013-04-07,103.868
2013-04-06,102.01
2013-04-05,99.571
2013-04-04,98.4027
2013-04-03,98.5275
2013-04-02,98.9185
2013-04-01,99.198
2013-03-31,99.198
2013-03-30,99.0756
2013-03-29,99.1016
2013-03-28,99.3861
2013-03-27,99.7472
2013-03-26,100.378
2013-03-25,100.368
2013-03-24,100.368
2013-03-23,100.557
2013-03-22,100.935
2013-03-21,100.771
2013-03-20,100.653
2013-03-19,100.878
2013-03-18,101.539
2013-03-17,101.539
2013-03-16,101.37
2013-03-15,101.036
2013-03-14,101.27
2013-03-13,101.39
2013-03-12,101.044
2013-03-11,100.918
2013-03-10,100.918
2013-03-09,100.424
2013-03-08,99.3901
2013-03-07,99.0593
2013-03-06,99.1232
2013-03-05,99.2084
2013-03-04,99.2563
2013-03-03,99.0992
2013-03-02,98.9934
2013-03-01,98.9594
2013-02-28,98.6641
2013-02-27,99.6227
2013-02-26,100.772
2013-02-25,100.401
2013-02-24,100.401
2013-02-23,100.282
2013-02-22,100.742
2013-02-21,101.418
2013-02-20,101.526
2013-02-19,101.615
2013-02-18,101.175
2013-02-17,101.175
2013-02-16,101.027
2013-02-15,101.538
2013-02-14,101.936
2013-02-13,101.913
2013-02-12,101.197
2013-02-11,101.014
2013-02-10,101.16
2013-02-09,101.876
2013-02-08,102.729
2013-02-07,102.58
2013-02-06,102.018
2013-02-05,102.058
2013-02-04,102.204
2013-02-03,101.945
2013-02-02,100.927
2013-02-01,99.6876
2013-01-31,98.7521
2013-01-30,98.0283
2013-01-29,98.0359
2013-01-28,98.0062
2013-01-27,98.0062
2013-01-26,97.1865
2013-01-25,95.7596
2013-01-24,95.4133
2013-01-23,95.8446
2013-01-22,96.2488
2013-01-21,96.4335
2013-01-20,96.3573
2013-01-19,95.9459
2013-01-18,95.267
2013-01-17,95.3577
2013-01-16,96.6741
2013-01-15,97.636
2013-01-14,97.5083
2013-01-13,97.5083
2013-01-12,96.651
2013-01-11,95.2038
2013-01-10,94.6678
2013-01-09,94.8697
2013-01-08,95.1268
2013-01-07,95.1455
2013-01-06,95.1455
2013-01-05,94.7224
2013-01-04,94.8676
2013-01-03,95.0662
2013-01-02,94.5355
2013-01-01,94.1592
2012-12-31,94.0271
2012-12-30,94.1646
2012-12-29,94.272
2012-12-28,93.6611
2012-12-27,92.822
2012-12-26,92.4905
2012-12-25,92.204
2012-12-24,92.0128
2012-12-23,92.0128
2012-12-22,92.099
2012-12-21,92.3491
2012-12-20,92.1773
2012-12-19,91.5444
2012-12-18,91.2689
2012-12-17,91.0221
2012-12-16,90.8803
2012-12-15,90.4998
2012-12-14,89.7385
2012-12-13,88.7357
2012-12-12,88.2268
2012-12-11,88.1765
2012-12-10,88.2573
2012-12-09,88.2573
2012-12-08,88.4486
2012-12-07,88.7252
2012-12-06,88.6035
2012-12-05,88.6681
2012-12-04,88.8787
2012-12-03,88.9056
2012-12-02,88.9056
2012-12-01,88.7649
2012-11-30,88.2342
2012-11-29,88.1309
2012-11-28,88.4524
2012-11-27,88.6053
2012-11-26,88.5799
2012-11-25,88.5799
2012-11-24,88.1815
2012-11-23,87.7595
2012-11-22,86.968
2012-11-21,86.3762
2012-11-20,86.0854
2012-11-19,85.9646
2012-11-18,85.9646
2012-11-17,85.81
2012-11-16,85.1368
2012-11-15,84.1401
2012-11-14,83.7367
2012-11-13,83.7985
2012-11-12,83.8224
2012-11-11,83.8224
2012-11-10,84.0838
2012-11-09,84.5988
2012-11-08,84.9798
2012-11-07,85.1094
2012-11-06,85.3661
2012-11-05,85.6498
2012-11-04,85.6498
2012-11-03,85.8379
2012-11-02,85.7881
2012-11-01,85.5012
2012-10-31,85.1944
2012-10-30,85.1478
2012-10-29,85.2064
2012-10-28,85.2964
2012-10-27,85.6313
2012-10-26,85.7735
2012-10-25,85.6729
2012-10-24,85.7271
2012-10-23,85.7271
2012-10-22,85.5217
2012-10-21,85.5217
2012-10-20,85.6863
2012-10-19,85.6182
2012-10-18,85.1392
2012-10-17,84.5689
2012-10-16,84.1066
2012-10-15,84.0121
2012-10-14,84.0121
2012-10-13,83.7718
2012-10-12,83.3547
2012-10-11,83.3621
2012-10-10,83.7645
2012-10-09,84.2857
2012-10-08,84.6436
2012-10-07,84.5631
2012-10-06,84.2477
2012-10-05,83.7938
2012-10-04,83.4559
2012-10-03,83.2034
2012-10-02,82.9444
2012-10-01,82.9238
2012-09-30,82.9188
2012-09-29,82.8372
2012-09-28,82.7558
2012-09-27,82.9211
2012-09-26,83.2509
2012-09-25,83.5393
2012-09-24,83.8202
2012-09-23,83.8202
2012-09-22,83.9488
2012-09-21,84.3317
2012-09-20,84.8156
2012-09-19,84.7366
2012-09-18,84.621
2012-09-17,84.2391
2012-09-16,84.2391
2012-09-15,83.3692
2012-09-14,82.9034
2012-09-13,82.9044
2012-09-12,82.7479
2012-09-11,82.796
2012-09-10,82.7963
2012-09-09,82.7963
2012-09-08,82.5249
2012-09-07,82.1564
2012-09-06,82.0201
2012-09-05,82.1142
2012-09-04,82.0344
2012-09-03,82.0639
2012-09-02,82.0339
2012-09-01,81.9977
2012-08-31,82.08
2012-08-30,82.0786
2012-08-29,81.9753
2012-08-28,81.9949
2012-08-27,81.9898
2012-08-26,81.9898
2012-08-25,82.0639
2012-08-24,82.1205
2012-08-23,82.1313
2012-08-22,81.8666
2012-08-21,81.6615
2012-08-20,81.6963
2012-08-19,81.6675
2012-08-18,81.4597
2012-08-17,81.0303
2012-08-16,80.7824
2012-08-15,80.5556
2012-08-14,80.2031
2012-08-13,80.1137
2012-08-12,80.168
2012-08-11,80.3907
2012-08-10,80.7044
2012-08-09,80.8823
2012-08-08,80.9168
2012-08-07,80.8395
2012-08-06,80.5262
2012-08-05,80.5262
2012-08-04,79.8441
2012-08-03,79.8191
2012-08-02,79.9715
2012-08-01,79.9709
2012-07-31,80.1845
2012-07-30,80.3619
2012-07-29,80.3619
2012-07-28,79.9344
2012-07-27,79.1992
2012-07-26,78.879
2012-07-25,78.879
2012-07-24,79.1446
2012-07-23,79.4318
2012-07-22,79.6392
2012-07-21,80.1416
2012-07-20,80.5097
2012-07-19,80.713
2012-07-18,80.6508
2012-07-17,80.6006
2012-07-16,80.7663
2012-07-15,80.7038
2012-07-14,80.6676
2012-07-13,80.8844
2012-07-12,81.1422
2012-07-11,81.3746
2012-07-10,81.4862
2012-07-09,81.4875
2012-07-08,81.7046
2012-07-07,82.3731
2012-07-06,83.1384
2012-07-05,83.5455
2012-07-04,83.6157
2012-07-03,83.8266
2012-07-02,83.7842
2012-07-01,83.7842
2012-06-30,82.9324
2012-06-29,82.5318
2012-06-28,82.7411
2012-06-27,82.969
2012-06-26,83.6419
2012-06-25,84.1837
2012-06-24,84.1114
2012-06-23,83.9999
2012-06-22,83.8663
2012-06-21,83.3951
2012-06-20,83.1464
2012-06-19,83.1551
2012-06-18,82.8754
2012-06-17,82.9096
2012-06-16,83.0532
2012-06-15,83.0692
2012-06-14,82.8601
2012-06-13,82.8855
2012-06-12,83.1365
2012-06-11,82.8763
2012-06-10,82.7702
2012-06-09,82.8789
2012-06-08,82.831
2012-06-07,81.9406
2012-06-06,81.3007
2012-06-05,80.8976
2012-06-04,80.754
2012-06-03,80.7038
2012-06-02,80.7992
2012-06-01,81.4685
2012-05-31,82.3916
2012-05-30,82.9533
2012-05-29,83.0736
2012-05-28,83.0724
2012-05-27,83.0708
2012-05-26,83.1077
2012-05-25,83.3528
2012-05-24,84.1093
2012-05-23,84.5512
2012-05-22,84.2391
2012-05-21,84.0037
2012-05-20,84.0037
2012-05-19,84.2118
2012-05-18,84.9079
2012-05-17,85.1982
2012-05-16,85.4443
2012-05-15,85.7696
2012-05-14,85.9753
2012-05-13,85.9753
2012-05-12,85.9965
2012-05-11,86.0227
2012-05-10,86.288
2012-05-09,86.5824
2012-05-08,86.6947
2012-05-07,86.951
2012-05-06,87.1886
2012-05-05,87.6457
2012-05-04,87.9088
2012-05-03,88.0692
2012-05-02,88.162
2012-05-01,88.3647
2012-04-30,88.5635
2012-04-29,88.6676
2012-04-28,88.9744
2012-04-27,89.2885
2012-04-26,89.2247
2012-04-25,88.9412
2012-04-24,89.246
2012-04-23,89.6677
2012-04-22,89.5968
2012-04-21,89.2652
2012-04-20,88.8345
2012-04-19,88.4134
2012-04-18,87.8758
2012-04-17,87.7495
2012-04-16,88.1878
2012-04-15,88.1878
2012-04-14,88.5251
2012-04-13,88.3589
2012-04-12,88.3048
2012-04-11,88.5693
2012-04-10,88.7896
2012-04-09,89.0136
2012-04-08,89.127
2012-04-07,89.4193
2012-04-06,89.9015
2012-04-05,90.5909
2012-04-04,91.1701
2012-04-03,91.669
2012-04-02,91.8383
2012-04-01,91.5562
2012-03-31,91.0667
2012-03-30,91.26
2012-03-29,91.7218
2012-03-28,91.5799
2012-03-27,90.9901
2012-03-26,90.6821
2012-03-25,90.6821
2012-03-24,90.7439
2012-03-23,91.2626
2012-03-22,91.8014
2012-03-21,91.4212
2012-03-20,91.0822
2012-03-19,91.0737
2012-03-18,90.9311
2012-03-17,90.501
2012-03-16,90.1207
2012-03-15,89.9216
2012-03-14,89.7305
2012-03-13,89.5963
2012-03-12,89.7662
2012-03-11,89.7662
2012-03-10,89.5457
2012-03-09,88.7334
2012-03-08,88.3209
2012-03-07,88.8691
2012-03-06,89.3098
2012-03-05,89.4939
2012-03-04,89.5214
2012-03-03,89.6034
2012-03-02,89.7477
2012-03-01,89.7985
2012-02-29,89.8473
2012-02-28,90.3004
2012-02-27,90.6329
2012-02-26,90.1732
2012-02-25,89.0327
2012-02-24,88.1528
2012-02-23,87.6611
2012-02-22,87.2905
2012-02-21,86.8731
2012-02-20,86.5041
2012-02-19,86.3568
2012-02-18,85.7229
2012-02-17,85.0912
2012-02-16,85.162
2012-02-15,84.8487
2012-02-14,84.8487
2012-02-13,84.7865
2012-02-12,84.7865
2012-02-11,84.8593
2012-02-10,84.5665
2012-02-09,84.0649
2012-02-08,83.4208
2012-02-07,83.2247
2012-02-06,83.4155
2012-02-05,83.3353
2012-02-04,83.1516
2012-02-03,83.0575
2012-02-02,83.0808
2012-02-01,83.3773
2012-01-31,83.7131
2012-01-30,83.9463
2012-01-29,83.9003
2012-01-28,84.0405
2012-01-27,84.1887
2012-01-26,83.6761
2012-01-25,83.035
2012-01-24,82.5691
