Date,CURRFX.EURNZD.1
2012-11-09,1.55552
2012-11-08,1.54789
2012-11-07,1.54951
2012-11-06,1.5538
2012-11-05,1.56183
2012-11-02,1.57443
2012-11-01,1.57755
2012-10-31,1.57518
2012-10-30,1.57338
2012-10-29,1.57481
2012-10-26,1.58422
2012-10-25,1.59498
2012-10-24,1.59739
2012-10-23,1.59624
2012-10-22,1.59624
2012-10-19,1.59744
2012-10-18,1.59868
2012-10-17,1.59196
2012-10-16,1.58577
2012-10-15,1.58231
2012-10-12,1.57644
2012-10-11,1.57657
2012-10-10,1.58095
2012-10-09,1.58922
2012-10-08,1.5881
2012-10-05,1.5758
2012-10-04,1.5653
2012-10-03,1.55522
2012-10-02,1.55088
2012-10-01,1.55158
2012-09-28,1.56051
2012-09-27,1.56839
2012-09-26,1.56991
2012-09-25,1.56923
2012-09-24,1.56793
2012-09-21,1.57354
2012-09-20,1.57813
2012-09-19,1.58259
2012-09-18,1.58384
2012-09-17,1.57814
2012-09-14,1.57053
2012-09-13,1.57284
2012-09-12,1.57558
2012-09-11,1.57741
2012-09-10,1.57901
2012-09-07,1.58137
2012-09-06,1.58172
2012-09-05,1.57897
2012-09-04,1.57109
2012-09-03,1.56549
2012-08-31,1.5641
2012-08-30,1.55828
2012-08-29,1.54916
2012-08-28,1.54362
2012-08-27,1.54094
2012-08-24,1.53907
2012-08-23,1.53592
2012-08-22,1.52781
2012-08-21,1.52628
2012-08-20,1.52594
2012-08-17,1.52476
2012-08-16,1.52722
2012-08-15,1.52362
2012-08-14,1.51629
2012-08-13,1.51384
2012-08-10,1.51841
2012-08-09,1.51728
2012-08-08,1.51378
2012-08-07,1.51282
2012-08-06,1.51175
2012-08-03,1.51221
2012-08-02,1.51622
2012-08-01,1.51721
2012-07-31,1.51974
2012-07-30,1.52674
2012-07-27,1.53703
2012-07-26,1.53841
2012-07-25,1.532
2012-07-24,1.52614
2012-07-23,1.52395
2012-07-20,1.53422
2012-07-19,1.53934
2012-07-18,1.53802
2012-07-17,1.53725
2012-07-16,1.54006
2012-07-13,1.54215
2012-07-12,1.54136
2012-07-11,1.54427
2012-07-10,1.54263
2012-07-09,1.54422
2012-07-06,1.55668
2012-07-05,1.56438
2012-07-04,1.56863
2012-07-03,1.57533
2012-07-02,1.57855
2012-06-29,1.5771
2012-06-28,1.58073
2012-06-27,1.58474
2012-06-26,1.58972
2012-06-25,1.58956
2012-06-22,1.59098
2012-06-21,1.59215
2012-06-20,1.59249
2012-06-19,1.60031
2012-06-18,1.6092
2012-06-15,1.6147
2012-06-14,1.61297
2012-06-13,1.61869
2012-06-12,1.6247
2012-06-11,1.62772
2012-06-08,1.63379
2012-06-07,1.64202
2012-06-06,1.64925
2012-06-05,1.64783
2012-06-04,1.64506
2012-06-01,1.64195
2012-05-31,1.64257
2012-05-30,1.64739
2012-05-29,1.65458
2012-05-28,1.66516
2012-05-25,1.67607
2012-05-24,1.68002
2012-05-23,1.67729
2012-05-22,1.68496
2012-05-21,1.67769
2012-05-18,1.66107
2012-05-17,1.65754
2012-05-16,1.65245
2012-05-15,1.65028
2012-05-14,1.64786
2012-05-11,1.64854
2012-05-10,1.64961
2012-05-09,1.644
2012-05-08,1.64115
2012-05-07,1.64073
2012-05-04,1.63061
2012-05-03,1.62315
2012-05-02,1.62012
2012-05-01,1.61258
2012-04-30,1.61542
2012-04-27,1.62283
2012-04-26,1.62301
2012-04-25,1.61937
2012-04-24,1.61599
2012-04-23,1.61154
2012-04-20,1.60517
2012-04-19,1.60103
2012-04-18,1.59855
2012-04-17,1.59049
2012-04-16,1.59273
2012-04-13,1.60038
2012-04-12,1.6025
2012-04-11,1.59956
2012-04-10,1.5971
2012-04-09,1.60133
2012-04-06,1.60986
2012-04-05,1.61652
2012-04-04,1.62041
2012-04-03,1.62574
2012-04-02,1.62976
2012-03-30,1.62937
2012-03-29,1.62601
2012-03-28,1.62234
2012-03-27,1.62234
2012-03-26,1.62503
2012-03-23,1.62628
2012-03-22,1.61683
2012-03-21,1.60563
2012-03-20,1.5973
2012-03-19,1.60062
2012-03-16,1.6028
2012-03-15,1.59995
2012-03-14,1.60086
2012-03-13,1.60215
2012-03-12,1.60146
2012-03-09,1.60786
2012-03-08,1.61118
2012-03-07,1.60942
2012-03-06,1.59658
2012-03-05,1.59217
2012-03-02,1.59478
2012-03-01,1.59826
2012-02-29,1.6031
2012-02-28,1.60725
2012-02-27,1.60523
2012-02-24,1.59569
2012-02-23,1.58768
2012-02-22,1.57946
2012-02-21,1.57547
2012-02-20,1.57558
2012-02-17,1.57093
2012-02-16,1.57422
2012-02-15,1.58469
2012-02-14,1.59101
2012-02-13,1.59402
2012-02-10,1.58796
2012-02-09,1.58191
2012-02-08,1.57511
2012-02-07,1.57344
2012-02-06,1.57556
2012-02-03,1.58034
2012-02-02,1.58771
2012-02-01,1.59843
2012-01-31,1.60383
2012-01-30,1.60262
2012-01-27,1.60423
2012-01-26,1.60744
2012-01-25,1.6046
2012-01-24,1.60175
2012-01-23,1.60438
2012-01-20,1.60098
2012-01-19,1.59261
2012-01-18,1.59455
2012-01-17,1.59532
2012-01-16,1.59822
2012-01-13,1.60642
2012-01-12,1.60642
2012-01-11,1.61729
2012-01-10,1.62693
2012-01-09,1.6336
2012-01-06,1.64454
2012-01-05,1.65162
2012-01-04,1.65811
2012-01-03,1.66426
2012-01-02,1.67184
2011-12-30,1.68272
2011-12-29,1.68737
2011-12-28,1.68907
2011-12-27,1.68641
2011-12-26,1.68769
2011-12-23,1.69525
2011-12-22,1.7032
2011-12-21,1.7118
2011-12-20,1.71277
2011-12-19,1.71945
2011-12-16,1.72933
2011-12-15,1.72491
2011-12-14,1.72597
