Date,CURRFX.NZDJPY.1
2013-02-05,78.4328
2013-02-04,78.4663
2013-02-03,78.1281
2013-02-02,77.1218
2013-02-01,76.1687
2013-01-31,75.9304
2013-01-30,75.7601
2013-01-29,75.8535
2013-01-28,76.0425
2013-01-27,76.0425
2013-01-26,75.6427
2013-01-25,74.9002
2013-01-24,74.6275
2013-01-23,74.8794
2013-01-22,75.1624
2013-01-21,75.3405
2013-01-20,75.3405
2013-01-19,75.0329
2013-01-18,74.5764
2013-01-17,74.4275
2013-01-16,74.8979
2013-01-15,74.9262
2013-01-14,74.5962
2013-01-13,74.6835
2013-01-12,74.5964
2013-01-11,73.8706
2013-01-10,73.2635
2013-01-09,73.1363
2013-01-08,73.2473
2013-01-07,73.3139
2013-01-06,73.0719
2013-01-05,72.5922
2013-01-04,72.5539
2013-01-03,72.1967
2013-01-02,71.3361
2013-01-01,70.7579
2012-12-31,70.4137
2012-12-30,70.5682
2012-12-29,70.6325
2012-12-28,70.1382
2012-12-27,69.7434
2012-12-26,69.6353
2012-12-25,69.4466
2012-12-24,69.4381
2012-12-23,69.4381
2012-12-22,69.8761
2012-12-21,70.4328
2012-12-20,70.7516
2012-12-19,70.8145
2012-12-18,70.8072
2012-12-17,70.6988
2012-12-16,70.636
2012-12-15,70.5125
2012-12-14,70.1256
2012-12-13,69.3356
2012-12-12,68.817
2012-12-11,68.6677
2012-12-10,68.676
2012-12-09,68.6387
2012-12-08,68.5366
2012-12-07,68.1939
2012-12-06,67.6971
2012-12-05,67.514
2012-12-04,67.5786
2012-12-03,67.6885
2012-12-02,67.6885
2012-12-01,67.6984
2012-11-30,67.5158
2012-11-29,67.3741
2012-11-28,67.5794
2012-11-27,67.7359
2012-11-26,67.8639
2012-11-25,67.6943
2012-11-24,67.3481
2012-11-23,67.1155
2012-11-22,66.7412
2012-11-21,66.4418
2012-11-20,66.1856
2012-11-19,65.9334
2012-11-18,65.9334
2012-11-17,65.6419
2012-11-16,65.3463
2012-11-15,65.0245
2012-11-14,64.9215
2012-11-13,64.8164
2012-11-12,64.7354
2012-11-11,64.7354
2012-11-10,64.9361
2012-11-09,65.6088
2012-11-08,66.292
2012-11-07,66.3082
2012-11-06,66.303
2012-11-05,66.3639
2012-11-04,66.382
2012-11-03,66.2246
2012-11-02,65.7681
2012-11-01,65.466
2012-10-31,65.4347
2012-10-30,65.4347
2012-10-29,65.5337
2012-10-28,65.5472
2012-10-27,65.6599
2012-10-26,65.526
2012-10-25,65.0028
2012-10-24,65.0738
2012-10-23,64.9305
2012-10-22,64.7871
2012-10-21,64.7871
2012-10-20,64.9527
2012-10-19,64.8319
2012-10-18,64.4224
2012-10-17,64.2114
2012-10-16,64.113
2012-10-15,64.0665
2012-10-14,64.1059
2012-10-13,64.099
2012-10-12,63.9461
2012-10-11,64.031
2012-10-10,64.1845
2012-10-09,64.2245
2012-10-08,64.3437
2012-10-07,64.4467
2012-10-06,64.5569
2012-10-05,64.4179
2012-10-04,64.5273
2012-10-03,64.7097
2012-10-02,64.6481
2012-10-01,64.6762
2012-09-30,64.6762
2012-09-29,64.5083
2012-09-28,64.1171
2012-09-27,63.9378
2012-09-26,64.1652
2012-09-25,64.438
2012-09-24,64.863
2012-09-23,64.863
2012-09-22,64.843
2012-09-21,64.8493
2012-09-20,65.1208
2012-09-19,65.0157
2012-09-18,64.9864
2012-09-17,64.9837
2012-09-16,64.9364
2012-09-15,64.4764
2012-09-14,63.8764
2012-09-13,63.6659
2012-09-12,63.4463
2012-09-11,63.4835
2012-09-10,63.4809
2012-09-09,63.4809
2012-09-08,63.1221
2012-09-07,62.552
2012-09-06,62.3168
2012-09-05,62.4604
2012-09-04,62.7249
2012-09-03,62.9679
2012-09-02,62.9269
2012-09-01,62.8724
2012-08-31,63.0243
2012-08-30,63.2595
2012-08-29,63.5431
2012-08-28,63.8014
2012-08-27,63.8083
2012-08-26,63.8083
2012-08-25,63.8968
2012-08-24,64.0841
2012-08-23,64.2182
2012-08-22,64.361
2012-08-21,64.2649
2012-08-20,64.1536
2012-08-19,64.1536
2012-08-18,64.1536
2012-08-17,63.8259
2012-08-16,63.5045
2012-08-15,63.5045
2012-08-14,63.5275
2012-08-13,63.6339
2012-08-12,63.6284
2012-08-11,63.6811
2012-08-10,63.8461
2012-08-09,64.0363
2012-08-08,64.2254
2012-08-07,64.2065
2012-08-06,64.0991
2012-08-05,64.0991
2012-08-04,63.6682
2012-08-03,63.4157
2012-08-02,63.3608
2012-08-01,63.3136
2012-07-31,63.3718
2012-07-30,63.456
2012-07-29,63.2817
2012-07-28,62.6696
2012-07-27,61.8737
2012-07-26,61.5378
2012-07-25,61.8408
2012-07-24,62.2959
2012-07-23,62.7638
2012-07-22,62.8434
2012-07-21,63.0085
2012-07-20,63.0329
2012-07-19,62.9782
2012-07-18,62.9863
2012-07-17,62.97
2012-07-16,63.0661
2012-07-15,62.9656
2012-07-14,62.8206
2012-07-13,62.9766
2012-07-12,63.224
2012-07-11,63.2851
2012-07-10,63.4387
2012-07-09,63.5538
2012-07-08,63.6858
2012-07-07,63.9902
2012-07-06,64.1608
2012-07-05,64.1497
2012-07-04,64.0316
2012-07-03,63.9249
2012-07-02,63.7057
2012-07-01,63.7057
2012-06-30,63.1441
2012-06-29,62.8531
2012-06-28,62.8663
2012-06-27,62.884
2012-06-26,63.1837
2012-06-25,63.4933
2012-06-24,63.4933
2012-06-23,63.4254
2012-06-22,63.3297
2012-06-21,62.9057
2012-06-20,62.7186
2012-06-19,62.4018
2012-06-18,62.0429
2012-06-17,62.0121
2012-06-16,61.8919
2012-06-15,61.7827
2012-06-14,61.6955
2012-06-13,61.495
2012-06-12,61.4997
2012-06-11,61.2842
2012-06-10,61.0669
2012-06-09,60.9967
2012-06-08,60.8742
2012-06-07,59.9138
2012-06-06,59.1957
2012-06-05,58.9477
2012-06-04,58.8638
2012-06-03,59.0539
2012-06-02,59.0539
2012-06-01,59.6324
2012-05-31,60.2446
2012-05-30,60.5122
2012-05-29,60.3434
2012-05-28,60.0921
2012-05-27,60.0978
2012-05-26,60.0018
2012-05-25,59.7508
2012-05-24,60.1122
2012-05-23,60.5627
2012-05-22,60.0294
2012-05-21,59.7838
2012-05-20,59.9098
2012-05-19,60.5434
2012-05-18,61.38
2012-05-17,61.7328
2012-05-16,62.0974
2012-05-15,62.4225
2012-05-14,62.6152
2012-05-13,62.6058
2012-05-12,62.6867
2012-05-11,62.6823
2012-05-10,62.8152
2012-05-09,63.2671
2012-05-08,63.4477
2012-05-07,63.5336
2012-05-06,63.6902
2012-05-05,64.1431
2012-05-04,64.7595
2012-05-03,65.1928
2012-05-02,65.3905
2012-05-01,65.8283
2012-04-30,66.0362
2012-04-29,65.9831
2012-04-28,65.9742
2012-04-27,66.1172
2012-04-26,66.0564
2012-04-25,66.005
2012-04-24,66.3533
2012-04-23,66.7627
2012-04-22,66.6543
2012-04-21,66.5061
2012-04-20,66.5334
2012-04-19,66.3873
2012-04-18,66.0805
2012-04-17,66.3279
2012-04-16,66.5963
2012-04-15,66.7529
2012-04-14,66.8579
2012-04-13,66.359
2012-04-12,66.2142
2012-04-11,66.5439
2012-04-10,66.7748
2012-04-09,66.8973
2012-04-08,66.9787
2012-04-07,67.097
2012-04-06,67.2074
2012-04-05,67.4658
2012-04-04,67.7207
2012-04-03,67.9012
2012-04-02,67.8513
2012-04-01,67.6777
2012-03-31,67.3968
2012-03-30,67.5361
2012-03-29,68.0076
2012-03-28,68.0573
2012-03-27,67.6035
2012-03-26,67.3065
2012-03-25,67.3065
2012-03-24,67.1916
2012-03-23,67.6893
2012-03-22,68.4774
2012-03-21,68.6687
2012-03-20,68.8121
2012-03-19,68.7835
2012-03-18,68.7227
2012-03-17,68.3952
2012-03-16,68.0453
2012-03-15,67.9152
2012-03-14,67.5823
2012-03-13,67.4398
2012-03-12,67.7537
2012-03-11,67.6562
2012-03-10,67.2403
2012-03-09,66.5463
2012-03-08,66.0737
2012-03-07,66.5629
2012-03-06,67.4744
2012-03-05,67.8463
2012-03-04,67.9064
2012-03-03,67.9421
2012-03-02,67.8275
2012-03-01,67.711
2012-02-29,67.5417
2012-02-28,67.6935
2012-02-27,67.6956
2012-02-26,67.6956
2012-02-25,67.084
2012-02-24,66.632
2012-02-23,66.6598
2012-02-22,66.7651
2012-02-21,66.6462
2012-02-20,66.3018
2012-02-19,66.1905
2012-02-18,65.7894
2012-02-17,65.3843
2012-02-16,65.3299
2012-02-15,64.7871
2012-02-14,64.4905
2012-02-13,64.2568
2012-02-12,64.2568
2012-02-11,64.4607
2012-02-10,64.4584
2012-02-09,64.2466
2012-02-08,63.9296
2012-02-07,63.8549
2012-02-06,64.0177
2012-02-05,63.8627
2012-02-04,63.5366
2012-02-03,63.3277
2012-02-02,63.0215
2012-02-01,62.862
2012-01-31,62.9565
2012-01-30,63.2439
2012-01-29,63.29
2012-01-28,63.4524
2012-01-27,63.4042
2012-01-26,62.9137
2012-01-25,62.4688
2012-01-24,62.2088
2012-01-23,62.1075
2012-01-22,62.0505
2012-01-21,61.8385
2012-01-20,61.6807
2012-01-19,61.5431
2012-01-18,61.1771
2012-01-17,61.0296
2012-01-16,61.1471
2012-01-15,61.0483
2012-01-14,60.9789
2012-01-13,61.1257
2012-01-12,61.0282
2012-01-11,60.636
2012-01-10,60.1506
2012-01-09,60.0673
2012-01-08,60.1405
2012-01-07,60.258
2012-01-06,60.3421
2012-01-05,60.4092
2012-01-04,60.1563
2012-01-03,59.8445
2012-01-02,59.8424
2012-01-01,59.8424
2011-12-31,59.8808
2011-12-30,59.9399
2011-12-29,60.1895
2011-12-28,60.282
2011-12-27,60.3935
2011-12-26,60.4738
2011-12-25,60.4723
2011-12-24,60.372
