Date,CURRFX.EURJPY.1
2012-12-20,111.405
2012-12-19,110.603
2012-12-18,110.268
2012-12-17,109.659
2012-12-14,108.615
2012-12-13,107.492
2012-12-12,106.687
2012-12-11,106.492
2012-12-10,106.959
2012-12-07,107.499
2012-12-06,107.442
2012-12-05,107.227
2012-12-04,107.203
2012-12-03,106.866
2012-11-30,106.247
2012-11-29,106.095
2012-11-28,106.509
2012-11-27,106.704
2012-11-26,106.612
2012-11-23,105.726
2012-11-22,104.784
2012-11-21,104.062
2012-11-20,103.721
2012-11-19,103.394
2012-11-16,102.5
2012-11-15,101.341
2012-11-14,100.902
2012-11-13,101.34
2012-11-12,101.34
2012-11-09,102.096
2012-11-08,102.617
2012-11-07,102.75
2012-11-06,103.022
2012-11-05,103.4
2012-11-02,103.562
2012-11-01,103.28
2012-10-31,102.983
2012-10-30,102.96
2012-10-29,103.372
2012-10-26,103.76
2012-10-25,103.685
2012-10-24,103.952
2012-10-23,103.679
2012-10-22,103.458
2012-10-19,103.575
2012-10-18,102.997
2012-10-17,102.225
2012-10-16,101.677
2012-10-15,101.336
2012-10-12,100.811
2012-10-11,100.971
2012-10-10,101.473
2012-10-09,102.086
2012-10-08,102.259
2012-10-05,101.503
2012-10-04,100.995
2012-10-03,100.638
2012-10-02,100.263
2012-10-01,100.14
2012-09-28,100.064
2012-09-27,100.278
2012-09-26,100.733
2012-09-25,101.115
2012-09-24,101.517
2012-09-21,102.017
2012-09-20,102.764
2012-09-19,102.889
2012-09-18,102.932
2012-09-17,102.009
2012-09-14,100.318
2012-09-13,100.15
2012-09-12,99.9628
2012-09-11,100.133
2012-09-10,99.8154
2012-09-07,98.9177
2012-09-06,98.5725
2012-09-05,98.6101
2012-09-04,98.515
2012-09-03,98.5493
2012-08-31,98.5765
2012-08-30,98.5691
2012-08-29,98.4555
2012-08-28,98.4699
2012-08-27,98.4659
2012-08-24,98.6282
2012-08-23,98.6412
2012-08-22,98.3327
2012-08-21,98.0816
2012-08-20,97.9045
2012-08-17,97.315
2012-08-16,97.0209
2012-08-15,96.7811
2012-08-14,96.3202
2012-08-13,96.4516
2012-08-10,96.9442
2012-08-09,97.162
2012-08-08,97.2152
2012-08-07,97.1331
2012-08-06,96.6707
2012-08-03,95.8993
2012-08-02,96.0674
2012-08-01,96.0588
2012-07-31,96.3137
2012-07-30,96.2004
2012-07-27,95.1296
2012-07-26,94.7273
2012-07-25,94.7273
2012-07-24,95.0548
2012-07-23,95.8074
2012-07-20,96.687
2012-07-19,96.9418
2012-07-18,96.8646
2012-07-17,96.7954
2012-07-16,97.0037
2012-07-13,97.1293
2012-07-12,97.4554
2012-07-11,97.7242
2012-07-10,97.8665
2012-07-09,98.4835
2012-07-06,99.8727
2012-07-05,100.359
2012-07-04,100.451
2012-07-03,100.712
2012-07-02,100.286
2012-06-29,99.1215
2012-06-28,99.3717
2012-06-27,99.6634
2012-06-26,100.441
2012-06-25,101.031
2012-06-22,100.723
2012-06-21,100.142
2012-06-20,99.8596
2012-06-19,99.859
2012-06-18,99.6529
2012-06-15,99.7715
2012-06-14,99.5054
2012-06-13,99.5635
2012-06-12,99.9134
2012-06-11,99.7856
2012-06-08,99.4982
2012-06-07,98.4091
2012-06-06,97.6276
2012-06-05,97.1475
2012-06-04,97.1152
2012-06-01,97.9035
2012-05-31,98.9831
2012-05-30,99.6886
2012-05-29,99.8405
2012-05-28,99.8349
2012-05-25,100.125
2012-05-24,100.986
2012-05-23,101.554
2012-05-22,101.153
2012-05-21,101.289
2012-05-18,101.975
2012-05-17,102.331
2012-05-16,102.63
2012-05-15,103.007
2012-05-14,103.271
2012-05-11,103.328
2012-05-10,103.636
2012-05-09,104.008
2012-05-08,104.126
2012-05-07,104.871
2012-05-04,105.618
2012-05-03,105.818
2012-05-02,105.919
2012-05-01,106.141
2012-04-30,106.72
2012-04-27,107.299
2012-04-26,107.198
2012-04-25,106.879
2012-04-24,107.236
2012-04-23,107.449
2012-04-20,106.79
2012-04-19,106.273
2012-04-18,105.611
2012-04-17,105.493
2012-04-16,106.038
2012-04-13,106.211
2012-04-12,106.118
2012-04-11,106.449
2012-04-10,106.651
2012-04-09,107.25
2012-04-06,108.204
2012-04-05,109.043
2012-04-04,109.764
2012-04-03,110.391
2012-04-02,110.252
2012-03-30,110.018
2012-03-29,110.604
2012-03-28,110.418
2012-03-27,109.666
2012-03-26,109.375
2012-03-23,110.015
2012-03-22,110.702
2012-03-21,110.283
2012-03-20,109.911
2012-03-19,109.663
2012-03-16,109.07
2012-03-15,108.66
2012-03-14,108.199
2012-03-13,108.029
2012-03-12,107.932
2012-03-09,106.974
2012-03-08,106.452
2012-03-07,107.148
2012-03-06,107.728
2012-03-05,108.014
2012-03-02,108.169
2012-03-01,108.23
2012-02-29,108.259
2012-02-28,108.818
2012-02-27,108.281
2012-02-24,106.323
2012-02-23,105.844
2012-02-22,105.444
2012-02-21,104.975
2012-02-20,103.826
2012-02-17,102.705
2012-02-16,102.838
2012-02-15,102.663
2012-02-14,102.612
2012-02-13,102.471
2012-02-10,102.361
2012-02-09,101.607
2012-02-08,100.701
2012-02-07,100.454
