Date,YAHOO.INDEX_FCHI.4
2013-02-18,3667.04
2013-02-15,3660.37
2013-02-14,3669.6
2013-02-13,3698.53
2013-02-12,3686.58
2013-02-11,3650.58
2013-02-08,3649.5
2013-02-07,3601.05
2013-02-06,3642.9
2013-02-05,3694.7
2013-02-04,3659.91
2013-02-01,3773.53
2013-01-31,3732.6
2013-01-30,3765.52
2013-01-29,3785.82
2013-01-28,3780.89
2013-01-25,3778.16
2013-01-24,3752.17
2013-01-23,3726.17
2013-01-22,3741.01
2013-01-21,3763.03
2013-01-18,3741.58
2013-01-17,3744.11
2013-01-16,3708.49
2013-01-15,3697.35
2013-01-14,3708.25
2013-01-11,3706.02
2013-01-10,3703.12
2013-01-09,3717.45
2013-01-08,3705.88
2013-01-07,3704.64
2013-01-04,3730.02
2013-01-03,3721.17
2013-01-02,3733.93
2012-12-31,3641.07
2012-12-28,3620.25
2012-12-27,3674.26
2012-12-24,3652.61
2012-12-21,3661.4
2012-12-20,3666.73
2012-12-19,3664.59
2012-12-18,3648.63
2012-12-17,3638.1
2012-12-14,3643.28
2012-12-13,3643.13
2012-12-12,3646.66
2012-12-11,3646.15
2012-12-10,3612.1
2012-12-07,3605.61
2012-12-06,3601.65
2012-12-05,3590.5
2012-12-04,3580.48
2012-12-03,3566.59
2012-11-30,3557.28
2012-11-29,3568.88
2012-11-28,3515.19
2012-11-27,3502.13
2012-11-26,3500.94
2012-11-23,3528.8
2012-11-22,3498.22
2012-11-21,3477.36
2012-11-20,3462.06
2012-11-19,3439.58
2012-11-16,3341.52
2012-11-15,3382.4
2012-11-14,3400.02
2012-11-13,3430.6
2012-11-12,3411.65
2012-11-09,3423.57
2012-11-08,3407.68
2012-11-07,3409.59
2012-11-06,3478.66
2012-11-05,3448.5
2012-11-02,3492.46
2012-11-01,3475.4
2012-10-31,3429.27
2012-10-30,3459.44
2012-10-29,3408.89
2012-10-26,3435.09
2012-10-25,3411.53
2012-10-24,3426.49
2012-10-23,3406.5
2012-10-22,3483.25
2012-10-19,3504.56
2012-10-18,3535.18
2012-10-17,3527.5
2012-10-16,3500.94
2012-10-15,3420.28
2012-10-12,3389.08
2012-10-11,3413.72
2012-10-10,3365.87
2012-10-09,3382.78
2012-10-08,3406.53
2012-10-05,3457.04
2012-10-04,3401.2
2012-10-03,3406.02
2012-10-02,3414.23
2012-10-01,3434.98
2012-09-28,3354.82
2012-09-27,3439.32
2012-09-26,3414.84
2012-09-25,3513.81
2012-09-24,3497.22
2012-09-21,3530.72
2012-09-20,3509.92
2012-09-19,3531.82
2012-09-18,3512.69
2012-09-17,3553.69
2012-09-14,3581.58
2012-09-13,3502.09
2012-09-12,3543.79
2012-09-11,3537.3
2012-09-10,3506.05
2012-09-07,3519.05
2012-09-06,3509.88
2012-09-05,3405.79
2012-09-04,3399.04
2012-09-03,3453.71
2012-08-31,3413.07
2012-08-30,3379.11
2012-08-29,3413.89
2012-08-28,3431.55
2012-08-27,3462.83
2012-08-24,3433.21
2012-08-23,3432.56
2012-08-22,3461.65
2012-08-21,3513.28
2012-08-20,3480.58
2012-08-17,3488.38
2012-08-16,3480.49
2012-08-15,3449.2
2012-08-14,3450.27
2012-08-13,3426.41
2012-08-10,3435.62
2012-08-09,3456.71
2012-08-08,3438.26
2012-08-07,3453.28
2012-08-06,3401.56
2012-08-03,3374.19
2012-08-02,3232.46
2012-08-01,3321.56
2012-07-31,3291.66
2012-07-30,3320.71
2012-07-27,3280.19
2012-07-26,3207.12
2012-07-25,3081.74
2012-07-24,3074.68
2012-07-23,3101.53
2012-07-20,3193.89
2012-07-19,3263.64
2012-07-18,3235.4
2012-07-17,3176.97
2012-07-16,3179.9
2012-07-13,3180.81
2012-07-12,3135.18
2012-07-11,3157.25
2012-07-10,3175.41
2012-07-09,3156.8
2012-07-06,3168.79
2012-07-05,3229.36
2012-07-04,3267.75
2012-07-03,3271.2
2012-07-02,3240.2
2012-06-29,3196.65
2012-06-28,3051.68
2012-06-27,3063.12
2012-06-26,3012.71
2012-06-25,3021.64
2012-06-22,3090.9
2012-06-21,3114.22
2012-06-20,3126.52
2012-06-19,3117.92
2012-06-18,3066.19
2012-06-15,3087.62
2012-06-14,3032.45
2012-06-13,3030.04
2012-06-12,3046.91
2012-06-11,3042.76
2012-06-08,3051.69
2012-06-07,3071.16
2012-06-06,3058.44
2012-06-05,2986.1
2012-06-04,2954.49
2012-06-01,2950.47
2012-05-31,3017.01
2012-05-30,3015.58
2012-05-29,3084.7
2012-05-28,3042.97
2012-05-25,3047.94
2012-05-24,3038.25
2012-05-23,3003.27
2012-05-22,3084.09
2012-05-21,3027.15
2012-05-18,3008.0
2012-05-17,3011.99
2012-05-16,3048.67
2012-05-15,3039.27
2012-05-14,3057.99
2012-05-11,3129.77
2012-05-10,3130.17
2012-05-09,3118.65
2012-05-08,3124.8
2012-05-07,3214.22
2012-05-04,3161.97
2012-05-03,3223.36
2012-05-02,3226.33
2012-04-30,3212.8
2012-04-27,3266.27
2012-04-26,3229.32
2012-04-25,3233.46
2012-04-24,3169.32
2012-04-23,3098.37
2012-04-20,3188.58
2012-04-19,3174.02
2012-04-18,3240.29
2012-04-17,3292.51
2012-04-16,3205.28
2012-04-13,3189.09
2012-04-12,3269.79
2012-04-11,3237.69
2012-04-10,3217.6
2012-04-05,3319.81
2012-04-04,3313.47
2012-04-03,3406.78
2012-04-02,3462.91
2012-03-30,3423.81
2012-03-29,3381.12
2012-03-28,3430.15
2012-03-27,3469.59
2012-03-26,3501.98
2012-03-23,3476.18
2012-03-22,3472.46
2012-03-21,3527.37
2012-03-20,3530.83
2012-03-19,3577.88
2012-03-16,3594.83
2012-03-15,3580.21
2012-03-14,3564.51
2012-03-13,3550.16
2012-03-12,3490.06
2012-03-09,3487.48
2012-03-08,3478.36
2012-03-07,3392.33
2012-03-06,3362.56
2012-03-05,3487.54
2012-03-02,3501.17
2012-03-01,3499.73
2012-02-29,3452.45
2012-02-28,3453.99
2012-02-27,3441.45
2012-02-24,3467.03
2012-02-23,3447.31
2012-02-22,3447.37
2012-02-21,3465.24
2012-02-20,3472.54
2012-02-17,3439.62
2012-02-16,3393.25
2012-02-15,3390.35
2012-02-14,3375.64
2012-02-13,3384.55
2012-02-10,3373.14
2012-02-09,3424.71
2012-02-08,3410.0
2012-02-07,3411.54
2012-02-06,3405.27
2012-02-03,3427.92
2012-02-02,3376.66
2012-02-01,3367.46
2012-01-31,3298.55
2012-01-30,3265.64
2012-01-27,3318.76
2012-01-26,3363.23
2012-01-25,3312.48
2012-01-24,3322.65
2012-01-23,3338.42
2012-01-20,3321.5
2012-01-19,3328.94
2012-01-18,3264.93
2012-01-17,3269.99
2012-01-16,3225.0
2012-01-13,3196.49
2012-01-12,3199.98
2012-01-11,3204.83
2012-01-10,3210.79
2012-01-09,3127.69
2012-01-06,3137.36
2012-01-05,3144.91
2012-01-04,3193.65
2012-01-03,3245.4
2012-01-02,3222.3
2011-12-30,3159.81
2011-12-29,3127.56
2011-12-28,3071.08
2011-12-27,3103.11
2011-12-23,3102.09
2011-12-22,3071.8
2011-12-21,3030.47
2011-12-20,3055.39
2011-12-19,2974.2
2011-12-16,2972.3
2011-12-15,2998.73
2011-12-14,2976.17
2011-12-13,3078.72
2011-12-12,3089.59
2011-12-09,3172.35
2011-12-08,3095.49
2011-12-07,3175.98
2011-12-06,3179.63
2011-12-05,3201.28
2011-12-02,3164.95
2011-12-01,3129.95
2011-11-30,3154.62
2011-11-29,3026.76
2011-11-28,3012.93
2011-11-25,2856.97
2011-11-24,2822.25
2011-11-23,2822.43
2011-11-22,2870.68
2011-11-21,2894.94
2011-11-18,2997.01
2011-11-17,3010.29
2011-11-16,3064.9
2011-11-15,3049.13
2011-11-14,3108.95
2011-11-11,3149.38
2011-11-10,3064.84
2011-11-09,3075.16
2011-11-08,3143.3
2011-11-07,3103.6
2011-11-04,3123.55
2011-11-03,3195.47
2011-11-02,3110.59
2011-11-01,3068.33
2011-10-31,3242.84
2011-10-28,3348.63
2011-10-27,3368.62
2011-10-26,3169.62
2011-10-25,3174.29
2011-10-24,3220.46
2011-10-21,3171.34
2011-10-20,3084.07
2011-10-19,3157.34
2011-10-18,3141.1
2011-10-17,3166.06
2011-10-14,3217.89
2011-10-13,3186.94
2011-10-12,3229.76
2011-10-11,3153.52
2011-10-10,3161.47
2011-10-07,3095.56
2011-10-06,3075.37
2011-10-05,2973.9
2011-10-04,2850.55
2011-10-03,2926.83
2011-09-30,2981.96
2011-09-29,3027.65
2011-09-28,2995.62
2011-09-27,3023.38
2011-09-26,2859.34
2011-09-23,2810.11
2011-09-22,2781.68
2011-09-21,2935.82
2011-09-20,2984.05
2011-09-19,2940.0
2011-09-16,3031.08
2011-09-15,3045.62
2011-09-14,2949.14
2011-09-13,2894.93
2011-09-12,2854.81
2011-09-09,2974.59
2011-09-08,3085.83
2011-09-07,3073.18
2011-09-06,2965.64
2011-09-05,2999.54
2011-09-02,3148.53
2011-09-01,3265.83
2011-08-31,3256.76
2011-08-30,3159.74
2011-08-29,3154.2
2011-08-26,3087.64
2011-08-25,3119.0
2011-08-24,3139.55
2011-08-23,3084.37
2011-08-22,3051.36
2011-08-19,3016.99
2011-08-18,3076.04
2011-08-17,3254.34
2011-08-16,3230.9
2011-08-15,3239.06
2011-08-12,3213.88
2011-08-11,3089.66
2011-08-10,3002.99
2011-08-09,3176.19
2011-08-08,3125.19
2011-08-05,3278.56
2011-08-04,3320.35
2011-08-03,3454.94
2011-08-02,3522.79
2011-08-01,3588.05
2011-07-29,3672.77
2011-07-28,3712.66
2011-07-27,3734.07
2011-07-26,3787.88
2011-07-25,3812.97
2011-07-22,3842.7
2011-07-21,3816.75
2011-07-20,3754.6
2011-07-19,3694.95
2011-07-18,3650.71
2011-07-15,3726.59
2011-07-14,3751.23
2011-07-13,3793.27
2011-07-12,3774.12
2011-07-11,3807.51
2011-07-08,3913.55
2011-07-07,3979.96
2011-07-06,3961.34
2011-07-05,3978.83
2011-07-04,4003.11
2011-07-01,4007.35
2011-06-30,3982.21
2011-06-29,3924.23
2011-06-28,3851.89
2011-06-27,3796.55
2011-06-24,3784.8
2011-06-23,3787.79
2011-06-22,3871.37
2011-06-21,3877.07
2011-06-20,3799.66
2011-06-17,3823.74
2011-06-16,3792.31
2011-06-15,3806.85
2011-06-14,3864.58
2011-06-13,3807.61
2011-06-10,3805.09
2011-06-09,3878.65
2011-06-08,3837.98
2011-06-07,3871.92
2011-06-06,3863.4
2011-06-03,3890.68
2011-06-02,3889.87
2011-06-01,3964.81
2011-05-31,4006.94
2011-05-30,3942.53
2011-05-27,3950.98
2011-05-26,3917.22
2011-05-25,3928.99
2011-05-24,3916.88
2011-05-23,3906.98
2011-05-20,3990.85
2011-05-19,4027.74
2011-05-18,3978.0
2011-05-17,3941.58
2011-05-16,3989.82
2011-05-13,4018.85
2011-05-12,4023.29
2011-05-11,4058.08
2011-05-10,4052.51
2011-05-09,4007.26
2011-05-06,4058.01
2011-05-05,4004.87
2011-05-04,4043.13
2011-05-03,4096.84
2011-05-02,4108.77
2011-04-29,4106.92
2011-04-28,4104.9
2011-04-27,4067.72
2011-04-26,4045.29
2011-04-21,4021.88
2011-04-20,4004.62
2011-04-19,3908.58
2011-04-18,3881.24
2011-04-15,3974.48
2011-04-14,3970.39
2011-04-13,4006.23
2011-04-12,3976.6
2011-04-11,4038.7
2011-04-08,4061.91
2011-04-07,4028.3
2011-04-06,4048.16
2011-04-05,4041.74
2011-04-04,4042.92
2011-04-01,4054.76
2011-03-31,3989.18
2011-03-30,4024.44
2011-03-29,3987.8
2011-03-28,3976.95
2011-03-25,3972.38
2011-03-24,3968.84
2011-03-23,3913.73
2011-03-22,3892.71
2011-03-21,3904.45
2011-03-18,3810.22
2011-03-17,3786.21
2011-03-16,3696.56
2011-03-15,3780.85
2011-03-14,3878.04
2011-03-11,3928.68
2011-03-10,3963.99
2011-03-09,3993.81
2011-03-08,4015.91
2011-03-07,3990.41
2011-03-04,4020.21
2011-03-03,4060.76
2011-03-02,4034.32
2011-03-01,4067.15
2011-02-28,4110.35
2011-02-25,4070.38
2011-02-24,4009.64
2011-02-23,4013.12
2011-02-22,4050.27
2011-02-21,4097.41
2011-02-18,4157.14
2011-02-17,4152.31
2011-02-16,4151.26
2011-02-15,4110.34
2011-02-14,4096.62
2011-02-11,4101.31
2011-02-10,4095.14
2011-02-09,4090.74
2011-02-08,4108.27
2011-02-07,4090.8
2011-02-04,4047.21
2011-02-03,4036.59
2011-02-02,4066.53
2011-02-01,4072.62
2011-01-31,4005.5
2011-01-28,4002.32
2011-01-27,4059.57
2011-01-26,4049.07
2011-01-25,4019.62
2011-01-24,4033.21
2011-01-21,4017.45
2011-01-20,3964.84
