Date,CURRFX.USDCHF.1
2013-10-21,0.904037
2013-10-18,0.909637
2013-10-17,0.913163
2013-10-16,0.911551
2013-10-15,0.910374
2013-10-14,0.911486
2013-10-11,0.90999
2013-10-10,0.906689
2013-10-09,0.905395
2013-10-08,0.905395
2013-10-07,0.904767
2013-10-04,0.902414
2013-10-03,0.904793
2013-10-02,0.904793
2013-10-01,0.905416
2013-09-30,0.907535
2013-09-27,0.910765
2013-09-26,0.911464
2013-09-25,0.911289
2013-09-24,0.910813
2013-09-23,0.910688
2013-09-20,0.916431
2013-09-19,0.925348
2013-09-18,0.92627
2013-09-17,0.927018
2013-09-16,0.929855
2013-09-13,0.931642
2013-09-12,0.934587
2013-09-11,0.934587
2013-09-10,0.936622
2013-09-09,0.938412
2013-09-06,0.938522
2013-09-05,0.936262
2013-09-04,0.934695
2013-09-03,0.931838
2013-09-02,0.928759
2013-08-30,0.924315
2013-08-29,0.919955
2013-08-28,0.921391
2013-08-27,0.922257
2013-08-26,0.922752
2013-08-23,0.922267
2013-08-22,0.91979
2013-08-21,0.922906
2013-08-20,0.926154
2013-08-19,0.929139
2013-08-16,0.933685
2013-08-15,0.932716
2013-08-14,0.927759
2013-08-13,0.924067
2013-08-12,0.921874
2013-08-09,0.922327
2013-08-08,0.925654
2013-08-07,0.927984
2013-08-06,0.929556
2013-08-05,0.929766
2013-08-02,0.929978
2013-08-01,0.929476
2013-07-31,0.929985
2013-07-30,0.929013
2013-07-29,0.931239
2013-07-26,0.9358
2013-07-25,0.936313
2013-07-24,0.93734
2013-07-23,0.93939
2013-07-22,0.942069
2013-07-19,0.942469
2013-07-18,0.942178
2013-07-17,0.94635
2013-07-16,0.947765
2013-07-15,0.947463
2013-07-12,0.956566
2013-07-11,0.969205
2013-07-10,0.966705
2013-07-09,0.964508
2013-07-08,0.958848
2013-07-05,0.950406
2013-07-04,0.948888
2013-07-03,0.946856
2013-07-02,0.945322
2013-07-01,0.944525
2013-06-28,0.942552
2013-06-27,0.938331
2013-06-26,0.934953
2013-06-25,0.934953
2013-06-24,0.932737
2013-06-21,0.926516
2013-06-20,0.921156
2013-06-19,0.922224
2013-06-18,0.922683
2013-06-17,0.920933
2013-06-14,0.921908
2013-06-13,0.926573
2013-06-12,0.932485
2013-06-11,0.936451
2013-06-10,0.937049
2013-06-07,0.941591
2013-06-06,0.946942
2013-06-05,0.950711
2013-06-04,0.954551
2013-06-03,0.956515
2013-05-31,0.962802
2013-05-30,0.969583
2013-05-29,0.966664
2013-05-28,0.962118
2013-05-27,0.965661
2013-05-24,0.972797
2013-05-23,0.971408
2013-05-22,0.968775
2013-05-21,0.97037
2013-05-20,0.969967
2013-05-17,0.965948
2013-05-16,0.963963
2013-05-15,0.957556
2013-05-14,0.957488
2013-05-13,0.949784
2013-05-10,0.938015
2013-05-09,0.938602
2013-05-08,0.938423
2013-05-07,0.936239
