Date,BCB.UDJIAD1.1
2013-07-02,14932.41
2013-07-01,14974.96
2013-06-28,14909.6
2013-06-27,15024.49
2013-06-26,14910.14
2013-06-25,14760.31
2013-06-24,14659.56
2013-06-21,14799.4
2013-06-20,14758.32
2013-06-19,15112.19
2013-06-18,15318.23
2013-06-17,15179.85
2013-06-14,15070.18
2013-06-13,15176.08
2013-06-12,14995.23
2013-06-11,15122.02
2013-06-10,15238.59
2013-06-07,15248.12
2013-06-06,15040.62
2013-06-05,14960.59
2013-06-04,15177.54
2013-06-03,15254.03
2013-05-31,15115.57
2013-05-30,15324.53
2013-05-29,15302.8
2013-05-28,15409.39
2013-05-24,15303.1
2013-05-23,15294.5
2013-05-22,15307.17
2013-05-21,15387.58
2013-05-20,15335.28
2013-05-17,15354.4
2013-05-16,15233.22
2013-05-15,15275.69
2013-05-14,15215.25
2013-05-13,15091.68
2013-05-10,15118.49
2013-05-09,15082.62
2013-05-08,15105.12
2013-05-07,15056.2
2013-05-06,14968.89
2013-05-03,14973.96
2013-05-02,14831.58
2013-05-01,14700.95
2013-04-30,14839.8
2013-04-29,14818.75
2013-04-26,14712.55
2013-04-25,14700.8
2013-04-24,14676.3
2013-04-23,14719.46
2013-04-22,14567.17
2013-04-19,14547.51
2013-04-18,14537.14
2013-04-17,14618.59
2013-04-16,14756.78
2013-04-15,14599.2
2013-04-12,14865.06
2013-04-11,14865.14
2013-04-10,14802.24
2013-04-09,14673.46
2013-04-08,14613.48
2013-04-05,14565.25
2013-04-04,14606.11
2013-04-03,14550.35
2013-04-02,14662.01
2013-04-01,14572.85
2013-03-28,14578.54
2013-03-27,14526.16
2013-03-26,14559.65
2013-03-25,14447.75
2013-03-22,14512.03
2013-03-21,14421.49
2013-03-20,14511.73
2013-03-19,14455.82
2013-03-18,14452.06
2013-03-15,14514.11
2013-03-14,14539.14
2013-03-13,14455.28
2013-03-12,14450.06
2013-03-11,14447.29
2013-03-08,14397.07
2013-03-07,14329.49
2013-03-06,14296.24
2013-03-05,14253.77
2013-03-04,14127.82
2013-03-01,14089.66
2013-02-28,14054.49
2013-02-27,14075.37
2013-02-26,13900.13
2013-02-25,13784.17
2013-02-22,14000.57
2013-02-21,13880.62
2013-02-20,13927.54
2013-02-19,14035.67
2013-02-15,13981.76
2013-02-14,13973.39
2013-02-13,13982.91
2013-02-12,14018.7
2013-02-11,13971.24
2013-02-08,13992.97
2013-02-07,13944.05
2013-02-06,13986.52
2013-02-05,13979.3
2013-02-04,13880.08
2013-02-01,14009.79
2013-01-31,13860.58
2013-01-30,13910.42
2013-01-29,13954.42
2013-01-28,13881.93
2013-01-25,13895.98
2013-01-24,13825.33
2013-01-23,13779.33
2013-01-22,13712.21
2013-01-18,13649.7
2013-01-17,13596.02
2013-01-16,13511.23
2013-01-15,13534.89
2013-01-14,13507.32
2013-01-11,13488.43
2013-01-10,13471.22
2013-01-09,13390.51
2013-01-08,13328.85
2013-01-07,13384.29
2013-01-04,13435.21
2013-01-03,13391.36
2013-01-02,13412.55
2012-12-31,13104.14
2012-12-28,12938.11
2012-12-27,13096.31
2012-12-26,13114.59
2012-12-24,13139.08
2012-12-21,13190.84
2012-12-20,13311.72
2012-12-19,13251.97
2012-12-18,13350.96
2012-12-17,13235.39
2012-12-14,13135.01
2012-12-13,13170.72
2012-12-12,13245.45
2012-12-11,13248.44
2012-12-10,13169.88
2012-12-07,13155.13
2012-12-06,13074.04
2012-12-05,13034.49
2012-12-04,12951.78
2012-12-03,12965.6
2012-11-30,13025.58
2012-11-29,13021.82
2012-11-28,12985.11
2012-11-27,12878.13
2012-11-26,12967.37
2012-11-23,13009.68
2012-11-21,12836.89
2012-11-20,12788.51
2012-11-19,12795.96
2012-11-16,12588.31
2012-11-15,12542.38
2012-11-14,12570.95
2012-11-13,12756.18
2012-11-12,12815.08
2012-11-09,12815.39
2012-11-08,12811.32
2012-11-07,12932.73
2012-11-06,13245.68
2012-11-05,13112.44
2012-11-02,13093.16
2012-11-01,13232.62
2012-10-31,13096.46
2012-10-26,13107.21
2012-10-25,13103.68
2012-10-24,13077.34
2012-10-23,13102.53
2012-10-22,13345.89
2012-10-19,13343.51
2012-10-18,13548.94
2012-10-17,13557.0
2012-10-16,13551.78
2012-10-15,13424.23
2012-10-12,13328.85
2012-10-11,13326.39
2012-10-10,13344.97
2012-10-09,13473.53
2012-10-08,13583.65
2012-10-05,13610.15
2012-10-04,13575.36
2012-10-03,13494.61
2012-10-02,13482.36
2012-10-01,13515.11
2012-09-28,13437.13
2012-09-27,13485.97
2012-09-26,13413.51
2012-09-25,13457.55
2012-09-24,13558.92
2012-09-21,13579.47
2012-09-20,13596.93
2012-09-19,13577.96
2012-09-18,13564.64
2012-09-17,13553.1
2012-09-14,13593.37
2012-09-13,13539.86
2012-09-12,13333.35
2012-09-11,13323.36
2012-09-10,13254.29
2012-09-07,13306.64
2012-09-06,13292.0
2012-09-05,13047.48
2012-09-04,13035.94
2012-08-31,13090.84
2012-08-30,13000.71
2012-08-29,13107.48
2012-08-28,13102.99
2012-08-27,13124.67
2012-08-24,13157.97
2012-08-23,13057.46
2012-08-22,13172.76
2012-08-21,13203.58
2012-08-20,13271.64
2012-08-17,13275.2
2012-08-16,13250.11
2012-08-15,13164.78
2012-08-14,13172.14
