Date,CURRFX.USDJPY.1
2012-08-24,78.7773
2012-08-23,79.2486
2012-08-22,79.4231
2012-08-21,79.5179
2012-08-20,79.4287
2012-08-17,79.0744
2012-08-16,78.7447
2012-08-15,78.4723
2012-08-14,78.282
2012-08-13,78.3681
2012-08-10,78.5001
2012-08-09,78.4517
2012-08-08,78.4005
2012-08-07,78.4038
2012-08-06,78.4131
2012-08-03,78.2765
2012-08-02,78.1677
2012-08-01,78.2265
2012-07-31,78.3467
2012-07-30,78.3339
2012-07-27,78.1776
2012-07-26,78.2098
2012-07-25,78.255
2012-07-24,78.3629
2012-07-23,78.5436
2012-07-20,78.7561
2012-07-19,78.9837
2012-07-18,78.9938
2012-07-17,79.0711
2012-07-16,79.2787
2012-07-13,79.4161
2012-07-12,79.4282
2012-07-11,79.5165
2012-07-10,79.6353
2012-07-09,79.7265
2012-07-06,79.8315
2012-07-05,79.7762
2012-07-04,79.7052
2012-07-03,79.7027
2012-07-02,79.6574
2012-06-29,79.4956
2012-06-28,79.5626
2012-06-27,79.7057
2012-06-26,80.169
2012-06-25,80.2261
2012-06-22,79.5768
2012-06-21,79.0614
2012-06-20,79.0246
2012-06-19,78.9544
2012-06-18,78.9508
2012-06-15,79.426
2012-06-14,79.5041
2012-06-13,79.4812
2012-06-12,79.5084
2012-06-11,79.4741
2012-06-08,79.2854
2012-06-07,78.7831
2012-06-06,78.3463
2012-06-05,78.1226
2012-06-04,78.287
2012-06-01,78.8945
2012-05-31,79.3492
2012-05-30,79.4889
2012-05-29,79.5306
2012-05-28,79.602
2012-05-25,79.5084
2012-05-24,79.602
2012-05-23,79.52
2012-05-22,79.1643
2012-05-21,79.4261
2012-05-18,80.1506
2012-05-17,80.204
2012-05-16,79.9653
2012-05-15,79.8744
2012-05-14,79.8744
2012-05-11,79.7543
2012-05-10,79.7865
2012-05-09,79.8686
2012-05-08,80.0014
2012-05-07,80.0014
2012-05-04,80.2448
2012-05-03,80.1152
2012-05-02,79.989
2012-05-01,80.1687
2012-04-30,80.6025
2012-04-27,81.1724
2012-04-26,81.2721
2012-04-25,81.1688
2012-04-24,81.367
2012-04-23,81.5391
2012-04-20,81.4068
2012-04-19,81.0239
2012-04-18,80.6249
2012-04-17,80.7685
2012-04-16,80.9235
2012-04-13,80.8943
2012-04-12,80.971
2012-04-11,81.309
2012-04-10,81.5024
2012-04-09,81.8582
2012-04-06,82.3836
2012-04-05,82.4379
2012-04-04,82.3357
2012-04-03,82.7534
2012-04-02,82.7296
2012-03-30,82.6485
2012-03-29,82.9474
2012-03-28,82.8704
2012-03-27,82.5931
2012-03-26,82.6065
2012-03-23,83.2851
2012-03-22,83.6483
2012-03-21,83.4747
2012-03-20,83.3785
2012-03-19,83.5242
2012-03-16,83.5553
2012-03-15,83.0423
2012-03-14,82.4282
2012-03-13,82.3537
2012-03-12,82.0925
2012-03-09,81.19
2012-03-08,80.9611
2012-03-07,81.2717
2012-03-06,81.5899
2012-03-05,81.5556
2012-03-02,80.9242
2012-03-01,80.5622
2012-02-29,80.6182
2012-02-28,80.9646
2012-02-27,80.822
2012-02-24,80.1413
2012-02-23,79.952
2012-02-22,79.6576
2012-02-21,79.5578
2012-02-20,79.243
2012-02-17,78.5714
2012-02-16,78.2663
2012-02-15,77.8505
2012-02-14,77.4737
2012-02-13,77.4737
2012-02-10,77.1394
2012-02-09,76.8645
2012-02-08,76.689
2012-02-07,76.6124
2012-02-06,76.4318
2012-02-03,76.1546
2012-02-02,76.2235
2012-02-01,76.4161
2012-01-31,76.6366
2012-01-30,77.0558
2012-01-27,77.7257
2012-01-26,77.7016
2012-01-25,77.1804
2012-01-24,77.002
2012-01-23,76.9659
2012-01-20,76.8337
2012-01-19,76.7888
2012-01-18,76.7888
2012-01-17,76.8769
2012-01-16,76.9278
2012-01-13,76.8735
2012-01-12,76.8846
2012-01-11,76.8588
2012-01-10,76.9135
2012-01-09,76.9228
2012-01-06,76.8163
2012-01-05,76.7352
2012-01-04,76.8504
2012-01-03,76.934
2012-01-02,77.2429
2011-12-30,77.7975
2011-12-29,77.8431
2011-12-28,77.9311
2011-12-27,78.0186
2011-12-26,78.0937
2011-12-23,78.0183
2011-12-22,77.8881
2011-12-21,77.9162
2011-12-20,77.8645
2011-12-19,77.8575
2011-12-16,77.9851
2011-12-15,77.9571
2011-12-14,77.8266
2011-12-13,77.6968
2011-12-12,77.5992
2011-12-09,77.6285
2011-12-08,77.7282
2011-12-07,77.8266
2011-12-06,77.9582
2011-12-05,77.8656
2011-12-02,77.726
2011-12-01,77.8748
2011-11-30,77.8786
2011-11-29,77.7415
2011-11-28,77.4987
2011-11-25,77.1337
2011-11-24,77.0897
2011-11-23,76.9509
2011-11-22,76.8773
2011-11-21,76.9331
2011-11-18,77.0038
2011-11-17,77.0219
2011-11-16,77.0546
2011-11-15,77.1019
2011-11-14,77.3413
2011-11-11,77.6926
2011-11-10,77.7832
2011-11-09,78.0064
2011-11-08,78.1462
2011-11-07,78.1604
2011-11-04,78.0743
2011-11-03,78.1695
2011-11-02,78.1091
2011-11-01,77.0785
2011-10-31,75.8499
2011-10-28,75.9819
2011-10-27,76.0391
2011-10-26,76.1086
2011-10-25,76.2054
2011-10-24,76.4804
2011-10-21,76.8062
2011-10-20,76.7813
2011-10-19,76.9158
2011-10-18,77.1336
2011-10-17,77.1163
2011-10-14,76.9581
2011-10-13,76.8265
2011-10-12,76.6911
2011-10-11,76.7364
2011-10-10,76.7544
2011-10-07,76.7251
2011-10-06,76.7423
2011-10-05,76.7896
2011-10-04,76.9567
2011-10-03,76.8911
2011-09-30,76.5897
2011-09-29,76.5175
2011-09-28,76.458
2011-09-27,76.4704
2011-09-26,76.5331
2011-09-23,76.4537
2011-09-22,76.4421
2011-09-21,76.6148
2011-09-20,76.773
2011-09-19,76.7699
2011-09-16,76.7469
2011-09-15,76.8883
2011-09-14,77.0906
2011-09-13,77.352
2011-09-12,77.4902
2011-09-09,77.3545
2011-09-08,77.264
2011-09-07,77.0334
2011-09-06,76.8344
2011-09-05,76.8428
2011-09-02,76.7956
2011-09-01,76.6715
2011-08-31,76.7727
2011-08-30,76.7385
2011-08-29,76.8837
2011-08-26,76.9943
2011-08-25,76.7274
2011-08-24,76.7274
2011-08-23,76.6947
2011-08-22,76.5778
2011-08-19,76.598
2011-08-18,76.6787
2011-08-17,76.8077
2011-08-16,76.7783
2011-08-15,76.7289
2011-08-12,76.7289
2011-08-11,76.9388
2011-08-10,77.4853
2011-08-09,78.0254
2011-08-08,78.505
2011-08-05,78.2408
2011-08-04,77.1825
2011-08-03,77.2923
2011-08-02,77.1087
2011-08-01,77.1783
2011-07-29,77.8396
2011-07-28,77.9495
2011-07-27,78.1703
2011-07-26,78.3823
2011-07-25,78.5817
2011-07-22,78.8102
2011-07-21,78.9972
2011-07-20,79.048
2011-07-19,79.0851
2011-07-18,79.0625
2011-07-15,79.0662
2011-07-14,79.4714
2011-07-13,80.0894
2011-07-12,80.5915
2011-07-11,80.7878
2011-07-08,81.0135
2011-07-07,80.9724
2011-07-06,80.9284
2011-07-05,80.7846
2011-07-04,80.7243
2011-07-01,80.7064
2011-06-30,80.9405
2011-06-29,80.8355
2011-06-28,80.6511
2011-06-27,80.4759
2011-06-24,80.4126
2011-06-23,80.2055
2011-06-22,80.1916
2011-06-21,80.1525
2011-06-20,80.3383
2011-06-17,80.7341
2011-06-16,80.532
2011-06-15,80.3372
2011-06-14,80.3382
2011-06-13,80.24
2011-06-10,80.038
2011-06-09,80.0258
2011-06-08,80.1973
2011-06-07,80.2368
2011-06-06,80.5239
2011-06-03,81.0192
2011-06-02,81.2268
2011-06-01,81.1274
2011-05-31,80.8349
2011-05-30,81.1492
2011-05-27,81.8063
2011-05-26,81.9703
2011-05-25,81.8787
2011-05-24,81.7737
2011-05-23,81.7214
2011-05-20,81.5895
2011-05-19,81.1421
2011-05-18,81.1421
2011-05-17,80.8321
2011-05-16,80.867
2011-05-13,80.9669
2011-05-12,80.7979
2011-05-11,80.5779
2011-05-10,80.6173
2011-05-09,80.4979
2011-05-06,80.4829
2011-05-05,80.9134
2011-05-04,81.121
2011-05-03,81.2779
2011-05-02,81.3904
2011-04-29,81.8135
2011-04-28,81.8668
2011-04-27,81.84
2011-04-26,81.9753
2011-04-25,81.9551
2011-04-22,82.299
2011-04-21,82.6084
2011-04-20,82.617
2011-04-19,82.9302
2011-04-18,83.2422
2011-04-15,83.6181
2011-04-14,83.9762
2011-04-13,84.3134
2011-04-12,84.7584
2011-04-11,84.9456
2011-04-08,85.2047
2011-04-07,84.9202
2011-04-06,84.2896
2011-04-05,83.6526
2011-04-04,83.6526
2011-04-01,82.879
2011-03-31,82.5521
2011-03-30,81.8767
2011-03-29,81.5606
2011-03-28,81.2084
2011-03-25,80.9292
2011-03-24,80.9496
2011-03-23,81.0138
2011-03-22,80.8713
2011-03-21,79.9816
2011-03-18,79.5165
2011-03-17,80.8905
2011-03-16,81.5329
2011-03-15,82.2581
2011-03-14,82.2581
2011-03-11,82.8376
2011-03-10,82.6573
2011-03-09,82.3608
2011-03-08,82.2413
2011-03-07,82.1959
2011-03-04,81.9518
2011-03-03,81.925
2011-03-02,81.9136
2011-03-01,81.7293
2011-02-28,81.8038
2011-02-25,82.2645
2011-02-24,82.8249
2011-02-23,83.0888
2011-02-22,83.1506
2011-02-21,83.2951
2011-02-18,83.5911
2011-02-17,83.6661
2011-02-16,83.4597
2011-02-15,83.3541
2011-02-14,83.1671
2011-02-11,82.6375
2011-02-10,82.3329
2011-02-09,82.2376
2011-02-08,82.2645
2011-02-07,81.9896
2011-02-04,81.5935
2011-02-03,81.6041
2011-02-02,81.8844
2011-02-01,82.0976
2011-01-31,82.2878
2011-01-28,82.4193
2011-01-27,82.2789
2011-01-26,82.5166
2011-01-25,82.6502
2011-01-24,82.5072
2011-01-21,82.331
2011-01-20,82.3609
2011-01-19,82.6681
2011-01-18,82.8161
2011-01-17,82.8919
2011-01-14,83.0445
2011-01-13,83.145
2011-01-12,83.0555
2011-01-11,83.0875
2011-01-10,83.1836
2011-01-07,82.9053
2011-01-06,82.2706
2011-01-05,81.7776
2011-01-04,81.3237
2011-01-03,81.3384
2010-12-31,81.7535
2010-12-30,82.2268
2010-12-29,82.5459
2010-12-28,82.8612
2010-12-27,82.9918
2010-12-24,83.3502
2010-12-23,83.6777
2010-12-22,83.764
2010-12-21,83.9017
2010-12-20,84.0649
2010-12-17,84.0993
2010-12-16,83.7337
2010-12-15,83.5904
2010-12-14,83.9188
2010-12-13,83.9239
2010-12-10,83.876
2010-12-09,83.4454
2010-12-08,82.7736
2010-12-07,82.6931
2010-12-06,83.1329
2010-12-03,83.972
2010-12-02,83.8697
2010-12-01,84.0111
2010-11-30,84.0987
2010-11-29,83.8448
2010-11-26,83.4484
2010-11-25,83.2839
2010-11-24,83.3455
2010-11-23,83.4749
2010-11-22,83.452
2010-11-19,83.3336
2010-11-18,83.2861
2010-11-17,83.0401
2010-11-16,82.6893
2010-11-15,82.4364
2010-11-12,82.1824
2010-11-11,81.6293
2010-11-10,81.074
2010-11-09,81.2228
2010-11-08,81.1234
