Date,CURRFX.AUDUSD.1
2013-11-18,0.935482
2013-11-15,0.932087
2013-11-14,0.931368
2013-11-13,0.93442
2013-11-12,0.937639
2013-11-11,0.942082
2013-11-08,0.949481
2013-11-07,0.950928
2013-11-06,0.949447
2013-11-05,0.947111
2013-11-04,0.945612
2013-11-01,0.948671
2013-10-31,0.949661
2013-10-30,0.954255
2013-10-29,0.959028
2013-10-28,0.960066
2013-10-25,0.963762
2013-10-24,0.966412
2013-10-23,0.967046
2013-10-22,0.966941
2013-10-21,0.964516
2013-10-18,0.956776
2013-10-17,0.95288
2013-10-16,0.950178
2013-10-15,0.94674
2013-10-14,0.945737
2013-10-11,0.94387
2013-10-10,0.944076
2013-10-09,0.943558
2013-10-08,0.942761
2013-10-07,0.941614
2013-10-04,0.93811
2013-10-03,0.937174
2013-10-02,0.935566
2013-10-01,0.931822
2013-09-30,0.933528
2013-09-27,0.936912
2013-09-26,0.938317
2013-09-25,0.941065
2013-09-24,0.941279
2013-09-23,0.942561
2013-09-20,0.944498
2013-09-19,0.935482
2013-09-18,0.933597
2013-09-17,0.930573
2013-09-16,0.925527
2013-09-13,0.928378
2013-09-12,0.929231
2013-09-11,0.925021
2013-09-10,0.920095
2013-09-09,0.917261
2013-09-06,0.914017
2013-09-05,0.908978
2013-09-04,0.900789
2013-09-03,0.894767
2013-09-02,0.891757
2013-08-30,0.894179
2013-08-29,0.895185
2013-08-28,0.899683
2013-08-27,0.902913
2013-08-26,0.901502
2013-08-23,0.900866
2013-08-22,0.904722
2013-08-21,0.911479
2013-08-20,0.917772
2013-08-19,0.916955
2013-08-16,0.91327
2013-08-15,0.91157
2013-08-14,0.914004
2013-08-13,0.918584
2013-08-12,0.91557
2013-08-09,0.902937
2013-08-08,0.89669
2013-08-07,0.89373
2013-08-06,0.890084
2013-08-05,0.892157
2013-08-02,0.897699
2013-08-01,0.90468
2013-07-31,0.914973
2013-07-30,0.924907
2013-07-29,0.922846
2013-07-26,0.919519
2013-07-25,0.924188
2013-07-24,0.924758
2013-07-23,0.920286
2013-07-22,0.917479
2013-07-19,0.919805
2013-07-18,0.9213
2013-07-17,0.915016
2013-07-16,0.907191
2013-07-15,0.911231
2013-07-12,0.919864
2013-07-11,0.916514
2013-07-10,0.912718
2013-07-09,0.90765
2013-07-08,0.908895
2013-07-05,0.911462
2013-07-04,0.912898
2013-07-03,0.918677
2013-07-02,0.917001
2013-07-01,0.919928
2013-06-28,0.92898
2013-06-27,0.926825
2013-06-26,0.924316
2013-06-25,0.922142
2013-06-24,0.922183
2013-06-21,0.931674
2013-06-20,0.948438
2013-06-19,0.95338
2013-06-18,0.958185
2013-06-17,0.955502
2013-06-14,0.95136
2013-06-13,0.945573
2013-06-12,0.941668
2013-06-11,0.946008
2013-06-10,0.950424
2013-06-07,0.954365
2013-06-06,0.962434
2013-06-05,0.967935
2013-06-04,0.962878
2013-06-03,0.960221
2013-05-31,0.963154
2013-05-30,0.961504
2013-05-29,0.964296
2013-05-28,0.964345
2013-05-27,0.966476
2013-05-24,0.971374
2013-05-23,0.977314
2013-05-22,0.979114
2013-05-21,0.976223
2013-05-20,0.978037
2013-05-17,0.986595
2013-05-16,0.990831
2013-05-15,0.995577
2013-05-14,0.999491
2013-05-13,1.00877
2013-05-10,1.01925
2013-05-09,1.01904
2013-05-08,1.02246
2013-05-07,1.02872
2013-05-06,1.02925
2013-05-03,1.02833
2013-05-02,1.03429
2013-05-01,1.03423
2013-04-30,1.03064
2013-04-29,1.02867
2013-04-26,1.02901
2013-04-25,1.0259
2013-04-24,1.02584
2013-04-23,1.0275
2013-04-22,1.02888
2013-04-19,1.03222
2013-04-18,1.03506
2013-04-17,1.03826
2013-04-16,1.04542
2013-04-15,1.05221
2013-04-12,1.05343
2013-04-11,1.04929
2013-04-10,1.04276
2013-04-09,1.03854
2013-04-08,1.04036
2013-04-05,1.04469
2013-04-04,1.04613
2013-04-03,1.04379
2013-04-02,1.04145
2013-04-01,1.04219
2013-03-29,1.04376
2013-03-28,1.04625
2013-03-27,1.04668
2013-03-26,1.04531
2013-03-25,1.0429
2013-03-22,1.03945
2013-03-21,1.03778
2013-03-20,1.03778
2013-03-19,1.03879
2013-03-18,1.03902
2013-03-15,1.03396
2013-03-14,1.03068
2013-03-13,1.02735
2013-03-12,1.02348
2013-03-11,1.02434
2013-03-08,1.02603
2013-03-07,1.02525
2013-03-06,1.02011
2013-03-05,1.01756
2013-03-04,1.02232
2013-03-01,1.02377
2013-02-28,1.0228
2013-02-27,1.02685
2013-02-26,1.0302
2013-02-25,1.02927
2013-02-22,1.02741
2013-02-21,1.03292
2013-02-20,1.03196
2013-02-19,1.02995
2013-02-18,1.03218
2013-02-15,1.03466
2013-02-14,1.03111
2013-02-13,1.02759
2013-02-12,1.03024
2013-02-11,1.03171
2013-02-08,1.03225
2013-02-07,1.03644
2013-02-06,1.04168
2013-02-05,1.0419
2013-02-04,1.04116
2013-02-01,1.04278
2013-01-31,1.04322
2013-01-30,1.04322
2013-01-29,1.04141
2013-01-28,1.04533
2013-01-25,1.05198
2013-01-24,1.05495
2013-01-23,1.05351
2013-01-22,1.05136
2013-01-21,1.05192
2013-01-18,1.05427
2013-01-17,1.05562
2013-01-16,1.05542
2013-01-15,1.05491
2013-01-14,1.05445
2013-01-11,1.0539
2013-01-10,1.05019
2013-01-09,1.04902
2013-01-08,1.0484
2013-01-07,1.04881
2013-01-04,1.04871
2013-01-03,1.0437
2013-01-02,1.03834
2013-01-01,1.038
2012-12-31,1.03716
2012-12-28,1.03678
2012-12-27,1.03755
2012-12-26,1.03755
2012-12-25,1.03955
2012-12-24,1.04328
2012-12-21,1.04918
2012-12-20,1.05199
2012-12-19,1.05395
2012-12-18,1.05506
2012-12-17,1.05579
2012-12-14,1.05433
2012-12-13,1.05248
2012-12-12,1.04906
2012-12-11,1.04862
2012-12-10,1.04833
2012-12-07,1.04728
2012-12-06,1.04636
2012-12-05,1.04412
2012-12-04,1.04216
2012-12-03,1.04377
2012-11-30,1.04549
2012-11-29,1.04599
2012-11-28,1.04645
2012-11-27,1.04559
2012-11-26,1.0428
2012-11-23,1.03745
2012-11-22,1.03766
2012-11-21,1.03902
2012-11-20,1.0366
2012-11-19,1.03426
2012-11-16,1.03782
2012-11-15,1.04241
2012-11-14,1.04194
2012-11-13,1.04074
2012-11-12,1.03959
2012-11-09,1.04221
2012-11-08,1.0428
2012-11-07,1.03927
2012-11-06,1.03489
2012-11-05,1.03533
2012-11-02,1.03798
2012-11-01,1.03707
2012-10-31,1.03549
2012-10-30,1.03583
2012-10-29,1.03705
2012-10-26,1.03477
2012-10-25,1.03074
2012-10-24,1.0302
2012-10-23,1.03226
2012-10-22,1.03495
2012-10-19,1.03632
2012-10-18,1.0308
2012-10-17,1.02553
2012-10-16,1.02344
2012-10-15,1.02452
2012-10-12,1.02501
2012-10-11,1.0221
2012-10-10,1.02006
2012-10-09,1.01812
2012-10-08,1.01998
2012-10-05,1.02256
2012-10-04,1.02585
2012-10-03,1.03345
2012-10-02,1.03679
2012-10-01,1.03889
2012-09-28,1.03894
2012-09-27,1.03872
2012-09-26,1.04238
2012-09-25,1.0433
2012-09-24,1.04441
2012-09-21,1.04351
2012-09-20,1.0454
2012-09-19,1.04742
2012-09-18,1.05286
2012-09-17,1.05214
2012-09-14,1.04687
2012-09-13,1.04339
2012-09-12,1.03705
2012-09-11,1.03661
2012-09-10,1.03271
2012-09-07,1.02246
2012-09-06,1.02152
2012-09-05,1.02493
2012-09-04,1.02819
2012-09-03,1.03215
2012-08-31,1.03397
2012-08-30,1.03681
2012-08-29,1.03784
2012-08-28,1.03978
2012-08-27,1.04381
2012-08-24,1.04758
2012-08-23,1.04669
2012-08-22,1.04701
2012-08-21,1.04363
2012-08-20,1.04486
2012-08-17,1.04925
2012-08-16,1.04961
2012-08-15,1.05232
2012-08-14,1.05542
2012-08-13,1.05764
2012-08-10,1.05699
2012-08-09,1.05614
2012-08-08,1.05701
2012-08-07,1.05665
2012-08-06,1.05358
2012-08-03,1.04851
2012-08-02,1.05065
2012-08-01,1.05004
2012-07-31,1.0481
2012-07-30,1.04385
2012-07-27,1.03205
2012-07-26,1.02639
2012-07-25,1.028
2012-07-24,1.03286
2012-07-23,1.03866
2012-07-20,1.0374
2012-07-19,1.0306
2012-07-18,1.02624
2012-07-17,1.02286
2012-07-16,1.02045
2012-07-13,1.0188
2012-07-12,1.02175
2012-07-11,1.01972
2012-07-10,1.0197
2012-07-09,1.02344
2012-07-06,1.02784
2012-07-05,1.02773
2012-07-04,1.02568
2012-07-03,1.02418
2012-07-02,1.01725
2012-06-29,1.00681
2012-06-28,1.00545
2012-06-27,1.00283
2012-06-26,1.00316
2012-06-25,1.00926
2012-06-22,1.01588
2012-06-21,1.01736
2012-06-20,1.01336
2012-06-19,1.00968
2012-06-18,1.00354
2012-06-15,0.996079
2012-06-14,0.994056
2012-06-13,0.992206
2012-06-12,0.99468
2012-06-11,0.993743
2012-06-08,0.990574
2012-06-07,0.980915
2012-06-06,0.972253
2012-06-05,0.969301
2012-06-04,0.970998
2012-06-01,0.974046
2012-05-31,0.979932
2012-05-30,0.984679
2012-05-29,0.981641
2012-05-28,0.976014
2012-05-25,0.975623
2012-05-24,0.980262
2012-05-23,0.987512
2012-05-22,0.984898
2012-05-21,0.987474
2012-05-18,0.992785
2012-05-17,0.994332
2012-05-16,0.998292
2012-05-15,1.00095
2012-05-14,1.00578
2012-05-11,1.00869
2012-05-10,1.01019
2012-05-09,1.01594
2012-05-08,1.01748
2012-05-07,1.02245
2012-05-04,1.0302
2012-05-03,1.03395
2012-05-02,1.03888
2012-05-01,1.04504
2012-04-30,1.04339
2012-04-27,1.03574
2012-04-26,1.03151
2012-04-25,1.03028
2012-04-24,1.03467
2012-04-23,1.03727
2012-04-20,1.03629
2012-04-19,1.03737
2012-04-18,1.03565
2012-04-17,1.03569
2012-04-16,1.0379
2012-04-13,1.03511
2012-04-12,1.02892
2012-04-11,1.02941
2012-04-10,1.02987
2012-04-09,1.02977
2012-04-06,1.02848
2012-04-05,1.03214
2012-04-04,1.03971
2012-04-03,1.03949
2012-04-02,1.03628
2012-03-30,1.03813
2012-03-29,1.04474
2012-03-28,1.05014
2012-03-27,1.0478
2012-03-26,1.04433
2012-03-23,1.04279
2012-03-22,1.04985
2012-03-21,1.05594
2012-03-20,1.05944
2012-03-19,1.05489
2012-03-16,1.04909
2012-03-15,1.05099
2012-03-14,1.05277
2012-03-13,1.05414
2012-03-12,1.0588
2012-03-09,1.05926
2012-03-08,1.05752
2012-03-07,1.06419
2012-03-06,1.07105
2012-03-05,1.07439
2012-03-02,1.07771
2012-03-01,1.07863
2012-02-29,1.07381
2012-02-28,1.06979
2012-02-27,1.0683
2012-02-24,1.06586
2012-02-23,1.06675
2012-02-22,1.073
2012-02-21,1.07546
2012-02-20,1.07161
2012-02-17,1.07094
2012-02-16,1.07143
2012-02-15,1.07096
2012-02-14,1.07109
2012-02-13,1.07197
2012-02-10,1.07997
2012-02-09,1.07949
2012-02-08,1.07559
2012-02-07,1.07414
2012-02-06,1.07486
2012-02-03,1.0694
2012-02-02,1.06469
2012-02-01,1.0611
2012-01-31,1.0611
2012-01-30,1.06463
2012-01-27,1.05836
2012-01-26,1.04996
2012-01-25,1.04968
2012-01-24,1.04992
2012-01-23,1.0455
2012-01-20,1.03999
2012-01-19,1.03881
2012-01-18,1.03493
2012-01-17,1.0308
2012-01-16,1.03204
2012-01-13,1.03095
2012-01-12,1.02983
2012-01-11,1.02628
2012-01-10,1.02105
2012-01-09,1.0252
2012-01-06,1.03186
2012-01-05,1.03368
2012-01-04,1.02824
2012-01-03,1.02171
2012-01-02,1.01643
2011-12-30,1.0114
2011-12-29,1.0152
2011-12-28,1.01582
2011-12-27,1.01563
2011-12-26,1.01348
2011-12-23,1.01118
2011-12-22,1.00676
2011-12-21,0.996598
2011-12-20,0.995525
2011-12-19,0.995752
2011-12-16,0.993968
2011-12-15,1.00219
2011-12-14,1.01048
2011-12-13,1.01678
2011-12-12,1.0232
2011-12-09,1.02591
2011-12-08,1.025
2011-12-07,1.02357
2011-12-06,1.02399
2011-12-05,1.02214
2011-12-02,1.01775
2011-12-01,1.0046
2011-11-30,0.993685
2011-11-29,0.982289
2011-11-28,0.97235
2011-11-25,0.97389
2011-11-24,0.979432
