Date,CURRFX.CADJPY.1
2013-06-13,94.9207
2013-06-12,96.0127
2013-06-11,96.2631
2013-06-10,95.215
2013-06-09,95.215
2013-06-08,94.8984
2013-06-07,95.8875
2013-06-06,96.5532
2013-06-05,96.8722
2013-06-04,96.8178
2013-06-03,97.1256
2013-06-02,97.1256
2013-06-01,97.6234
2013-05-31,97.7623
2013-05-30,98.0592
2013-05-29,98.1979
2013-05-28,97.9538
2013-05-27,98.2185
2013-05-26,98.2185
2013-05-25,98.5007
2013-05-24,99.1345
2013-05-23,99.8629
2013-05-22,99.8824
2013-05-21,100.056
2013-05-20,100.309
2013-05-19,100.309
2013-05-18,100.299
2013-05-17,100.51
2013-05-16,100.465
2013-05-15,100.554
2013-05-14,100.645
2013-05-13,100.499
2013-05-12,100.499
2013-05-11,99.7482
2013-05-10,98.7118
2013-05-09,98.4919
2013-05-08,98.4954
2013-05-07,98.3806
2013-05-06,97.9323
2013-05-05,97.9323
2013-05-04,97.1725
2013-05-03,96.7302
2013-05-02,96.6775
2013-05-01,96.5913
2013-04-30,96.4335
2013-04-29,96.5587
2013-04-28,96.5587
2013-04-27,96.9174
2013-04-26,97.0594
2013-04-25,96.7637
2013-04-24,96.7178
2013-04-23,97.0485
2013-04-22,96.7699
2013-04-21,96.7699
2013-04-20,96.1759
2013-04-19,95.6621
2013-04-18,95.4984
2013-04-17,95.6164
2013-04-16,96.4692
2013-04-15,97.4762
2013-04-14,97.4762
2013-04-13,98.2152
2013-04-12,98.1869
2013-04-11,97.7349
2013-04-10,97.3287
2013-04-09,96.5935
2013-04-08,95.6314
2013-04-07,95.6314
2013-04-06,94.5916
2013-04-05,92.9141
2013-04-04,91.9182
2013-04-03,91.9338
2013-04-02,92.3228
2013-04-01,92.6177
2013-03-31,92.6177
2013-03-30,92.6177
2013-03-29,92.7723
2013-03-28,92.7781
2013-03-27,92.5145
2013-03-26,92.4894
2013-03-25,92.3962
2013-03-24,92.3962
2013-03-23,92.7824
2013-03-22,93.121
2013-03-21,92.9809
2013-03-20,92.9862
2013-03-19,93.0483
2013-03-18,93.626
2013-03-17,93.626
2013-03-16,93.8138
2013-03-15,93.5796
2013-03-14,93.5375
2013-03-13,93.6664
2013-03-12,93.4768
2013-03-11,93.1397
