Date,CURRFX.NZDCAD.1
2013-04-18,0.866811
2013-04-17,0.866041
2013-04-16,0.867495
2013-04-15,0.870538
2013-04-14,0.870538
2013-04-13,0.871393
2013-04-12,0.870982
2013-04-11,0.86594
2013-04-10,0.861462
2013-04-09,0.858311
2013-04-08,0.85643
2013-04-07,0.85643
2013-04-06,0.853259
2013-04-05,0.852764
2013-04-04,0.853918
2013-04-03,0.852444
2013-04-02,0.851255
2013-04-01,0.851361
2013-03-31,0.851361
2013-03-30,0.850563
2013-03-29,0.850857
2013-03-28,0.851752
2013-03-27,0.852757
2013-03-26,0.854035
2013-03-25,0.854248
2013-03-24,0.854248
2013-03-23,0.851703
2013-03-22,0.847638
2013-03-21,0.843911
2013-03-20,0.843911
2013-03-19,0.843153
2013-03-18,0.842167
2013-03-17,0.842167
2013-03-16,0.840373
2013-03-15,0.842885
2013-03-14,0.846893
2013-03-13,0.846362
2013-03-12,0.845186
2013-03-11,0.8471
2013-03-10,0.8471
2013-03-09,0.851239
2013-03-08,0.854264
2013-03-07,0.85343
2013-03-06,0.849179
2013-03-05,0.846654
2013-03-04,0.84819
2013-03-03,0.84819
2013-03-02,0.848714
2013-03-01,0.848714
2013-02-28,0.848314
2013-02-27,0.854278
2013-02-26,0.857259
2013-02-25,0.855127
2013-02-24,0.855127
2013-02-23,0.851963
2013-02-22,0.850478
2013-02-21,0.852772
2013-02-20,0.853503
2013-02-19,0.850997
2013-02-18,0.850977
2013-02-17,0.850977
2013-02-16,0.850549
2013-02-15,0.84666
2013-02-14,0.842598
2013-02-13,0.840598
2013-02-12,0.838449
2013-02-11,0.836554
2013-02-10,0.836554
2013-02-09,0.834053
2013-02-08,0.835434
2013-02-07,0.840808
2013-02-06,0.842438
2013-02-05,0.843215
2013-02-04,0.842464
2013-02-03,0.841864
2013-02-02,0.840083
2013-02-01,0.837812
2013-01-31,0.838072
2013-01-30,0.840121
2013-01-29,0.840562
2013-01-28,0.842137
2013-01-27,0.841832
2013-01-26,0.841419
2013-01-25,0.83989
2013-01-24,0.835569
2013-01-23,0.832314
2013-01-22,0.829975
2013-01-21,0.829109
2013-01-20,0.829109
2013-01-19,0.827463
2013-01-18,0.828265
2013-01-17,0.827661
2013-01-16,0.827355
2013-01-15,0.825582
2013-01-14,0.824881
2013-01-13,0.824881
2013-01-12,0.828232
2013-01-11,0.829223
2013-01-10,0.826387
2013-01-09,0.823614
2013-01-08,0.821594
2013-01-07,0.819401
2013-01-06,0.819401
2013-01-05,0.818185
2013-01-04,0.821953
2013-01-03,0.822998
2013-01-02,0.821026
2013-01-01,0.818601
2012-12-31,0.817122
2012-12-30,0.817122
2012-12-29,0.815944
2012-12-28,0.814062
2012-12-27,0.814357
2012-12-26,0.815653
2012-12-25,0.817039
2012-12-24,0.818387
2012-12-23,0.818387
2012-12-22,0.821966
2012-12-21,0.825841
2012-12-20,0.828031
2012-12-19,0.830751
2012-12-18,0.833167
2012-12-17,0.832782
2012-12-16,0.832782
2012-12-15,0.830538
2012-12-14,0.829815
2012-12-13,0.827371
2012-12-12,0.824466
2012-12-11,0.822985
2012-12-10,0.822835
2012-12-09,0.823561
2012-12-08,0.824277
2012-12-07,0.82186
2012-12-06,0.818525
2012-12-05,0.817092
2012-12-04,0.815243
2012-12-03,0.815681
2012-12-02,0.815681
2012-12-01,0.816303
2012-11-30,0.81723
2012-11-29,0.816488
2012-11-28,0.816771
2012-11-27,0.817674
2012-11-26,0.816963
2012-11-25,0.816963
2012-11-24,0.81451
2012-11-23,0.81239
2012-11-22,0.813159
2012-11-21,0.814722
2012-11-20,0.814203
2012-11-19,0.812443
2012-11-18,0.812443
2012-11-17,0.811524
2012-11-16,0.814113
2012-11-15,0.817015
2012-11-14,0.817624
2012-11-13,0.815782
2012-11-12,0.815435
2012-11-11,0.815435
2012-11-10,0.815385
2012-11-09,0.81728
2012-11-08,0.821572
2012-11-07,0.822133
2012-11-06,0.821538
2012-11-05,0.821636
2012-11-04,0.822364
2012-11-03,0.823428
2012-11-02,0.822542
2012-11-01,0.821236
2012-10-31,0.820806
2012-10-30,0.820144
2012-10-29,0.820361
2012-10-28,0.819172
2012-10-27,0.816878
2012-10-26,0.813098
2012-10-25,0.808251
2012-10-24,0.81045
2012-10-23,0.811562
2012-10-22,0.810561
2012-10-21,0.809882
2012-10-20,0.807068
2012-10-19,0.804973
2012-10-18,0.804063
2012-10-17,0.800555
2012-10-16,0.799692
2012-10-15,0.800786
2012-10-14,0.800786
2012-10-13,0.801265
2012-10-12,0.800721
2012-10-11,0.800232
2012-10-10,0.800516
2012-10-09,0.800116
2012-10-08,0.800377
2012-10-07,0.802359
2012-10-06,0.80665
2012-10-05,0.809057
2012-10-04,0.812064
2012-10-03,0.814878
2012-10-02,0.815617
2012-10-01,0.816737
2012-09-30,0.816561
2012-09-29,0.815279
2012-09-28,0.810768
2012-09-27,0.80657
2012-09-26,0.806452
2012-09-25,0.80738
2012-09-24,0.809744
2012-09-23,0.809744
2012-09-22,0.809028
2012-09-21,0.807144
2012-09-20,0.80633
2012-09-19,0.805501
2012-09-18,0.805188
2012-09-17,0.805738
2012-09-16,0.805686
2012-09-15,0.804365
2012-09-14,0.800835
2012-09-13,0.795982
2012-09-12,0.792435
2012-09-11,0.79341
2012-09-10,0.795037
2012-09-09,0.793138
2012-09-08,0.789193
2012-09-07,0.786867
2012-09-06,0.78476
2012-09-05,0.785931
2012-09-04,0.789522
2012-09-03,0.792374
2012-09-02,0.792646
2012-09-01,0.793082
2012-08-31,0.793657
2012-08-30,0.795484
2012-08-29,0.799849
2012-08-28,0.803593
2012-08-27,0.805252
2012-08-26,0.805252
2012-08-25,0.806958
2012-08-24,0.806382
2012-08-23,0.802077
2012-08-22,0.800553
2012-08-21,0.799342
2012-08-20,0.798825
2012-08-19,0.798825
2012-08-18,0.798825
2012-08-17,0.798825
2012-08-16,0.800069
2012-08-15,0.802944
2012-08-14,0.804687
2012-08-13,0.805838
2012-08-12,0.805541
2012-08-11,0.805923
2012-08-10,0.80912
2012-08-09,0.813986
2012-08-08,0.818748
2012-08-07,0.81974
2012-08-06,0.820063
2012-08-05,0.818989
2012-08-04,0.815872
2012-08-03,0.813491
2012-08-02,0.812323
2012-08-01,0.811392
2012-07-31,0.811736
2012-07-30,0.811727
2012-07-29,0.811208
2012-07-28,0.808681
2012-07-27,0.803684
2012-07-26,0.802019
2012-07-25,0.80456
2012-07-24,0.806809
2012-07-23,0.809525
2012-07-22,0.809525
2012-07-21,0.809011
2012-07-20,0.808314
2012-07-19,0.807706
2012-07-18,0.808913
2012-07-17,0.808012
2012-07-16,0.80746
2012-07-15,0.806833
2012-07-14,0.806698
2012-07-13,0.809648
2012-07-12,0.812243
2012-07-11,0.811636
2012-07-10,0.812315
2012-07-09,0.813599
2012-07-08,0.813599
2012-07-07,0.813938
2012-07-06,0.814214
2012-07-05,0.815076
2012-07-04,0.816196
2012-07-03,0.815963
2012-07-02,0.815198
2012-07-01,0.815198
2012-06-30,0.814993
2012-06-29,0.811872
2012-06-28,0.810583
2012-06-27,0.810679
2012-06-26,0.809532
2012-06-25,0.810061
2012-06-24,0.810155
2012-06-23,0.811603
2012-06-22,0.812523
2012-06-21,0.811129
