Date,CURRFX.EURCAD.1
2013-09-23,1.38968
2013-09-20,1.38071
2013-09-19,1.37644
2013-09-18,1.37655
2013-09-17,1.37655
2013-09-16,1.37513
2013-09-13,1.37304
2013-09-12,1.37324
2013-09-11,1.37281
2013-09-10,1.37164
2013-09-09,1.37586
2013-09-06,1.3835
2013-09-05,1.38706
2013-09-04,1.38985
2013-09-03,1.3919
2013-09-02,1.3939
2013-08-30,1.39736
2013-08-29,1.40297
2013-08-28,1.4056
2013-08-27,1.40551
2013-08-26,1.40334
2013-08-23,1.39938
2013-08-22,1.39358
2013-08-21,1.38372
2013-08-20,1.37801
2013-08-19,1.37528
2013-08-16,1.37136
2013-08-15,1.37136
2013-08-14,1.37116
2013-08-13,1.37161
2013-08-12,1.37821
2013-08-09,1.38696
2013-08-08,1.38145
2013-08-07,1.37718
2013-08-06,1.37902
2013-08-05,1.37456
2013-08-02,1.36586
2013-08-01,1.36516
2013-07-31,1.36332
2013-07-30,1.36379
2013-07-29,1.36326
2013-07-26,1.36097
2013-07-25,1.36139
2013-07-24,1.36231
2013-07-23,1.36289
2013-07-22,1.36317
2013-07-19,1.36467
2013-07-18,1.36529
2013-07-17,1.36214
2013-07-16,1.35835
2013-07-15,1.35856
2013-07-12,1.35472
2013-07-11,1.35036
2013-07-10,1.35551
2013-07-09,1.35737
2013-07-08,1.35982
2013-07-05,1.36504
2013-07-04,1.36904
2013-07-03,1.3712
2013-07-02,1.3697
2013-07-01,1.36631
2013-06-28,1.36458
2013-06-27,1.37163
2013-06-26,1.37682
2013-06-25,1.37497
2013-06-24,1.37011
2013-06-21,1.36708
2013-06-20,1.36599
2013-06-19,1.36083
2013-06-18,1.35671
2013-06-17,1.35806
2013-06-14,1.35817
2013-06-13,1.35576
2013-06-12,1.35174
2013-06-11,1.34772
2013-06-10,1.35112
2013-06-07,1.35533
2013-06-06,1.35152
2013-06-05,1.34786
2013-06-04,1.34748
2013-06-03,1.34638
2013-05-31,1.34163
2013-05-30,1.33844
2013-05-29,1.33614
2013-05-28,1.33528
2013-05-27,1.33413
2013-05-24,1.33197
2013-05-23,1.32724
2013-05-22,1.32189
2013-05-21,1.32051
2013-05-20,1.31633
2013-05-17,1.31163
2013-05-16,1.31421
2013-05-15,1.31357
2013-05-14,1.31211
2013-05-13,1.31415
2013-05-10,1.3174
2013-05-09,1.31743
2013-05-08,1.31823
2013-05-07,1.32109
2013-05-06,1.32269
2013-05-03,1.32545
2013-05-02,1.32652
2013-05-01,1.3253
2013-04-30,1.32576
2013-04-29,1.32755
2013-04-26,1.3335
2013-04-25,1.3355
2013-04-24,1.33793
2013-04-23,1.33965
2013-04-22,1.33942
2013-04-19,1.341
2013-04-18,1.34299
2013-04-17,1.33738
2013-04-16,1.33166
2013-04-15,1.32761
2013-04-12,1.32632
2013-04-11,1.32773
2013-04-10,1.3253
2013-04-09,1.32283
2013-04-08,1.31493
2013-04-05,1.30231
2013-04-04,1.30175
2013-04-03,1.30382
2013-04-02,1.30382
2013-04-01,1.303
2013-03-29,1.30168
2013-03-28,1.30608
2013-03-27,1.31608
2013-03-26,1.32626
2013-03-25,1.32708
2013-03-22,1.32429
2013-03-21,1.3244
2013-03-20,1.32357
2013-03-19,1.32659
2013-03-18,1.33196
2013-03-15,1.33215
2013-03-14,1.33604
2013-03-13,1.33721
2013-03-12,1.33696
2013-03-11,1.33953
2013-03-08,1.34219
2013-03-07,1.3397
2013-03-06,1.33864
2013-03-05,1.338
2013-03-04,1.33966
2013-03-01,1.34382
2013-02-28,1.34166
2013-02-27,1.34512
2013-02-26,1.35048
2013-02-25,1.34759
2013-02-22,1.35091
2013-02-21,1.35459
2013-02-20,1.34881
2013-02-19,1.34505
2013-02-18,1.34319
2013-02-15,1.34378
2013-02-14,1.34889
2013-02-13,1.34759
2013-02-12,1.34327
2013-02-11,1.34132
2013-02-08,1.34677
2013-02-07,1.35022
2013-02-06,1.35207
2013-02-05,1.35708
2013-02-04,1.35904
2013-02-01,1.35731
2013-01-31,1.35424
2013-01-30,1.35396
2013-01-29,1.35537
2013-01-28,1.34722
2013-01-25,1.3303
2013-01-24,1.32308
2013-01-23,1.32213
2013-01-22,1.32124
2013-01-21,1.31853
2013-01-18,1.31261
2013-01-17,1.31152
2013-01-16,1.31499
2013-01-15,1.31521
2013-01-14,1.30598
2013-01-11,1.29238
2013-01-10,1.29117
2013-01-09,1.29148
2013-01-08,1.28956
2013-01-07,1.29183
2013-01-04,1.29923
2013-01-03,1.30943
2013-01-02,1.31335
2013-01-01,1.31526
2012-12-31,1.31655
2012-12-28,1.31298
2012-12-27,1.30854
2012-12-26,1.30824
2012-12-25,1.30996
2012-12-24,1.30925
2012-12-21,1.30776
2012-12-20,1.30342
2012-12-19,1.29763
2012-12-18,1.29754
2012-12-17,1.29331
2012-12-14,1.28558
2012-12-13,1.28229
2012-12-12,1.27805
2012-12-11,1.27631
2012-12-10,1.28332
2012-12-07,1.29522
2012-12-06,1.29918
2012-12-05,1.29768
2012-12-04,1.29346
2012-12-03,1.28944
2012-11-30,1.28579
2012-11-29,1.28564
2012-11-28,1.28738
2012-11-27,1.28793
2012-11-26,1.28586
2012-11-23,1.27973
2012-11-22,1.27628
2012-11-21,1.27594
2012-11-20,1.27596
2012-11-19,1.27684
2012-11-16,1.27706
2012-11-15,1.27324
2012-11-14,1.27081
2012-11-13,1.27198
2012-11-12,1.2726
2012-11-09,1.27129
2012-11-08,1.2716
2012-11-07,1.27385
2012-11-06,1.27638
2012-11-05,1.28399
2012-11-02,1.29494
2012-11-01,1.29547
2012-10-31,1.29293
2012-10-30,1.29037
2012-10-29,1.28951
2012-10-26,1.28781
2012-10-25,1.28887
2012-10-24,1.2946
2012-10-23,1.29577
2012-10-22,1.29009
2012-10-19,1.28586
2012-10-18,1.2855
2012-10-17,1.274
2012-10-16,1.26805
2012-10-15,1.26722
2012-10-12,1.26234
2012-10-11,1.26166
2012-10-10,1.26577
2012-10-09,1.27189
2012-10-08,1.27588
2012-10-05,1.27477
2012-10-04,1.27116
2012-10-03,1.26718
2012-10-02,1.26495
2012-10-01,1.26523
2012-09-28,1.26555
2012-09-27,1.26508
2012-09-26,1.26605
2012-09-25,1.26683
2012-09-24,1.26813
2012-09-21,1.2701
2012-09-20,1.27249
2012-09-19,1.27482
2012-09-18,1.27528
2012-09-17,1.26946
2012-09-14,1.25764
2012-09-13,1.25181
2012-09-12,1.24858
2012-09-11,1.25157
2012-09-10,1.25135
2012-09-07,1.2442
2012-09-06,1.24128
2012-09-05,1.24087
2012-09-04,1.24046
2012-09-03,1.24098
2012-08-31,1.24128
2012-08-30,1.2398
2012-08-29,1.23922
2012-08-28,1.24028
2012-08-27,1.24226
2012-08-24,1.24115
2012-08-23,1.23192
2012-08-22,1.22287
2012-08-21,1.21997
2012-08-20,1.21893
2012-08-17,1.21784
2012-08-16,1.22178
2012-08-15,1.22343
2012-08-14,1.22002
2012-08-13,1.22102
2012-08-10,1.22824
2012-08-09,1.23526
2012-08-08,1.23942
2012-08-07,1.24002
2012-08-06,1.23601
2012-08-03,1.23023
2012-08-02,1.23156
2012-08-01,1.23103
2012-07-31,1.23351
2012-07-30,1.23582
2012-07-27,1.23517
2012-07-26,1.23385
2012-07-25,1.23261
2012-07-24,1.23129
2012-07-23,1.23421
2012-07-20,1.24021
2012-07-19,1.24343
2012-07-18,1.2441
2012-07-17,1.24203
2012-07-16,1.24394
2012-07-13,1.24863
2012-07-12,1.25184
2012-07-11,1.25336
2012-07-10,1.25312
2012-07-09,1.25679
2012-07-06,1.26739
2012-07-05,1.27518
2012-07-04,1.28035
2012-07-03,1.28553
2012-07-02,1.28496
2012-06-29,1.28034
2012-06-28,1.28124
2012-06-27,1.28473
2012-06-26,1.28685
2012-06-25,1.2898
2012-06-22,1.29263
2012-06-21,1.29138
2012-06-20,1.29131
2012-06-19,1.2932
2012-06-18,1.28993
2012-06-15,1.28993
2012-06-14,1.28632
2012-06-13,1.28676
2012-06-12,1.28831
2012-06-11,1.28894
2012-06-08,1.29117
2012-06-07,1.29327
2012-06-06,1.29569
2012-06-05,1.29451
2012-06-04,1.28639
2012-06-01,1.27615
2012-05-31,1.27921
2012-05-30,1.28448
2012-05-29,1.28861
2012-05-28,1.28967
2012-05-25,1.29084
2012-05-24,1.29567
2012-05-23,1.30118
2012-05-22,1.3044
2012-05-21,1.29928
2012-05-18,1.28746
2012-05-17,1.28441
2012-05-16,1.28636
2012-05-15,1.29063
2012-05-14,1.29378
2012-05-11,1.29733
2012-05-10,1.29848
2012-05-09,1.29713
