Date,CURRFX.EURCHF.1
2012-12-24,1.20758
2012-12-21,1.20795
2012-12-20,1.20826
2012-12-19,1.20811
2012-12-18,1.20823
2012-12-17,1.20885
2012-12-14,1.21066
2012-12-13,1.21113
2012-12-12,1.20905
2012-12-11,1.20759
2012-12-10,1.20901
2012-12-07,1.21159
2012-12-06,1.21255
2012-12-05,1.2094
2012-12-04,1.20628
2012-12-03,1.20481
2012-11-30,1.20382
2012-11-29,1.20388
2012-11-28,1.20416
2012-11-27,1.20414
2012-11-26,1.20435
2012-11-23,1.20456
2012-11-22,1.20454
2012-11-21,1.20472
2012-11-20,1.20486
2012-11-19,1.20443
2012-11-16,1.20384
2012-11-15,1.20422
2012-11-14,1.20505
2012-11-13,1.20572
2012-11-12,1.20598
2012-11-09,1.20659
2012-11-08,1.20723
2012-11-07,1.20723
2012-11-06,1.20695
2012-11-05,1.20716
2012-11-02,1.20735
2012-11-01,1.20807
2012-10-31,1.20869
2012-10-30,1.20918
2012-10-29,1.20957
2012-10-26,1.20986
2012-10-25,1.21021
2012-10-24,1.21013
2012-10-23,1.20926
2012-10-22,1.2089
2012-10-19,1.20965
2012-10-18,1.20965
2012-10-17,1.20886
2012-10-16,1.20895
2012-10-15,1.20897
2012-10-12,1.20942
2012-10-11,1.21108
2012-10-10,1.21131
2012-10-09,1.21116
2012-10-08,1.21152
2012-10-05,1.21116
2012-10-04,1.21012
2012-10-03,1.20955
2012-10-02,1.20884
2012-10-01,1.20868
2012-09-28,1.20946
2012-09-27,1.20946
2012-09-26,1.21002
2012-09-25,1.21064
2012-09-24,1.21063
2012-09-21,1.20991
2012-09-20,1.21171
2012-09-19,1.21419
2012-09-18,1.21636
2012-09-17,1.21463
2012-09-14,1.21021
2012-09-13,1.20793
2012-09-12,1.20811
2012-09-11,1.20959
2012-09-10,1.20829
2012-09-07,1.2038
2012-09-06,1.20168
2012-09-05,1.20096
2012-09-04,1.20094
2012-09-03,1.20094
2012-08-31,1.20096
2012-08-30,1.20096
2012-08-29,1.20096
2012-08-28,1.20096
2012-08-27,1.20094
2012-08-24,1.20104
2012-08-23,1.20104
2012-08-22,1.20104
2012-08-21,1.20106
2012-08-20,1.20106
2012-08-17,1.20104
2012-08-16,1.20106
2012-08-15,1.20106
2012-08-14,1.20108
2012-08-13,1.20108
2012-08-10,1.20124
2012-08-09,1.20134
2012-08-08,1.20144
2012-08-07,1.20157
2012-08-06,1.20166
2012-08-03,1.20149
2012-08-02,1.20122
2012-08-01,1.20122
2012-07-31,1.20106
2012-07-30,1.20106
2012-07-27,1.20106
2012-07-26,1.20104
2012-07-25,1.20104
2012-07-24,1.20104
2012-07-23,1.20104
2012-07-20,1.20104
2012-07-19,1.20106
2012-07-18,1.20106
2012-07-17,1.20096
2012-07-16,1.20094
2012-07-13,1.20094
2012-07-12,1.20104
2012-07-11,1.20104
2012-07-10,1.20114
2012-07-09,1.20114
2012-07-06,1.20124
2012-07-05,1.20124
2012-07-04,1.20134
2012-07-03,1.20136
2012-07-02,1.20122
2012-06-29,1.20106
2012-06-28,1.20106
2012-06-27,1.20096
2012-06-26,1.20096
2012-06-25,1.20098
2012-06-22,1.20106
2012-06-21,1.20108
2012-06-20,1.20108
2012-06-19,1.20116
2012-06-18,1.20116
2012-06-15,1.20106
2012-06-14,1.20106
2012-06-13,1.20108
2012-06-12,1.20116
2012-06-11,1.20116
2012-06-08,1.20102
2012-06-07,1.20098
2012-06-06,1.20106
2012-06-05,1.20112
2012-06-04,1.20122
2012-06-01,1.20129
2012-05-31,1.20129
2012-05-30,1.20178
2012-05-29,1.20175
2012-05-28,1.20131
2012-05-25,1.20132
2012-05-24,1.20104
2012-05-23,1.20114
2012-05-22,1.20116
2012-05-21,1.20114
2012-05-18,1.20114
2012-05-17,1.20114
2012-05-16,1.20114
2012-05-15,1.20114
2012-05-14,1.20116
2012-05-11,1.20116
2012-05-10,1.20118
2012-05-09,1.20126
2012-05-08,1.20124
2012-05-07,1.20138
2012-05-04,1.20157
2012-05-03,1.20158
2012-05-02,1.20148
2012-05-01,1.20148
2012-04-30,1.20148
2012-04-27,1.20164
2012-04-26,1.20174
2012-04-25,1.20172
2012-04-24,1.20172
2012-04-23,1.20178
2012-04-20,1.20206
2012-04-19,1.20193
2012-04-18,1.20199
2012-04-17,1.20242
2012-04-16,1.20253
2012-04-13,1.20204
2012-04-12,1.20168
2012-04-11,1.20186
2012-04-10,1.20134
2012-04-09,1.20164
2012-04-06,1.20327
2012-04-05,1.20392
2012-04-04,1.20398
2012-04-03,1.20423
2012-04-02,1.20457
2012-03-30,1.20544
2012-03-29,1.20582
2012-03-28,1.20575
2012-03-27,1.20523
2012-03-26,1.20529
2012-03-23,1.20576
2012-03-22,1.20611
2012-03-21,1.20641
2012-03-20,1.20653
2012-03-19,1.20806
2012-03-16,1.21029
2012-03-15,1.20841
2012-03-14,1.20586
2012-03-13,1.20565
2012-03-12,1.20565
2012-03-09,1.20548
2012-03-08,1.20548
2012-03-07,1.20576
2012-03-06,1.20621
2012-03-05,1.20617
2012-03-02,1.20536
2012-03-01,1.20526
2012-02-29,1.20513
2012-02-28,1.20504
2012-02-27,1.20529
2012-02-24,1.20623
2012-02-23,1.20731
2012-02-22,1.20788
2012-02-21,1.20862
2012-02-20,1.20813
2012-02-17,1.20714
2012-02-16,1.20763
2012-02-15,1.20848
2012-02-14,1.20938
2012-02-13,1.20989
2012-02-10,1.21037
2012-02-09,1.20906
2012-02-08,1.20721
2012-02-07,1.20707
2012-02-06,1.2069
2012-02-03,1.20495
2012-02-02,1.2047
2012-02-01,1.20524
2012-01-31,1.20599
2012-01-30,1.20693
2012-01-27,1.208
2012-01-26,1.20824
