Date,YAHOO.INDEX_AORD.4
2013-06-19,4841.8
2013-06-18,4794.6
2013-06-17,4805.0
2013-06-14,4775.5
2013-06-13,4684.9
2013-06-12,4716.1
2013-06-11,4748.9
2013-06-07,4729.3
2013-06-06,4771.8
2013-06-05,4825.2
2013-06-04,4886.7
2013-06-03,4873.7
2013-05-31,4914.0
2013-05-30,4917.1
2013-05-29,4959.2
2013-05-28,4950.6
2013-05-27,4938.6
2013-05-24,4964.3
2013-05-23,5040.8
2013-05-22,5142.1
2013-05-21,5156.2
2013-05-20,5185.4
2013-05-17,5159.8
2013-05-16,5144.2
2013-05-15,5173.3
2013-05-14,5202.5
2013-05-13,5194.8
2013-05-10,5191.1
2013-05-09,5180.6
2013-05-08,5177.9
2013-05-07,5122.7
2013-05-06,5133.8
2013-05-03,5105.4
2013-05-02,5104.1
2013-05-01,5144.0
2013-04-30,5168.6
2013-04-29,5108.3
2013-04-26,5082.7
2013-04-24,5084.2
2013-04-23,5002.6
2013-04-22,4955.4
2013-04-19,4923.0
2013-04-18,4911.3
2013-04-17,4993.6
2013-04-16,4944.1
2013-04-15,4966.8
2013-04-12,5016.0
2013-04-11,5010.3
2013-04-10,4973.7
2013-04-09,4980.2
2013-04-08,4912.7
2013-04-05,4899.2
2013-04-04,4919.3
2013-04-03,4966.4
2013-04-02,4995.5
2013-03-28,4979.9
2013-03-27,5007.0
2013-03-26,4964.7
2013-03-25,5001.5
2013-03-22,4980.8
2013-03-21,4976.8
2013-03-20,4982.6
2013-03-19,5004.4
2013-03-18,5027.4
2013-03-15,5129.3
2013-03-14,5043.8
2013-03-13,5104.4
2013-03-12,5128.6
2013-03-11,5160.0
2013-03-08,5137.5
2013-03-07,5123.1
2013-03-06,5130.9
2013-03-05,5088.1
2013-03-04,5028.5
2013-03-01,5100.9
2013-02-28,5120.4
2013-02-27,5053.1
2013-02-26,5021.8
2013-02-25,5072.7
2013-02-22,5036.7
2013-02-21,4998.6
2013-02-20,5114.4
2013-02-19,5101.0
2013-02-18,5082.9
2013-02-15,5054.6
2013-02-14,5057.2
2013-02-13,5024.5
2013-02-12,4981.5
2013-02-11,4980.3
2013-02-08,4989.4
2013-02-07,4955.8
2013-02-06,4940.5
2013-02-05,4902.6
2013-02-04,4929.1
2013-02-01,4941.9
2013-01-31,4901.0
2013-01-30,4919.1
2013-01-29,4910.8
2013-01-25,4858.9
2013-01-24,4833.8
2013-01-23,4812.1
2013-01-22,4802.9
2013-01-21,4802.2
