Date,CURRFX.GBPUSD.1
2012-08-22,1.57314
2012-08-21,1.56986
2012-08-20,1.56911
2012-08-17,1.56911
2012-08-16,1.56829
2012-08-15,1.56869
2012-08-14,1.5684
2012-08-13,1.56726
2012-08-10,1.56419
2012-08-09,1.56252
2012-08-08,1.56141
2012-08-07,1.56198
2012-08-06,1.56035
2012-08-03,1.55743
2012-08-02,1.56559
2012-08-01,1.57
2012-07-31,1.57242
2012-07-30,1.56861
2012-07-27,1.55439
2012-07-26,1.55049
2012-07-25,1.55293
2012-07-24,1.55774
2012-07-23,1.56455
2012-07-20,1.56655
2012-07-19,1.56382
2012-07-18,1.56162
2012-07-17,1.55805
2012-07-16,1.55367
2012-07-13,1.54901
2012-07-12,1.55257
2012-07-11,1.5509
2012-07-10,1.54941
2012-07-09,1.55183
2012-07-06,1.55955
2012-07-05,1.56613
2012-07-04,1.56861
2012-07-03,1.56879
2012-07-02,1.56484
2012-06-29,1.55709
2012-06-28,1.56048
2012-06-27,1.55906
2012-06-26,1.55755
2012-06-25,1.56181
2012-06-22,1.56911
2012-06-21,1.57128
2012-06-20,1.56889
2012-06-19,1.56953
2012-06-18,1.5642
2012-06-15,1.55338
2012-06-14,1.55415
2012-06-13,1.5523
2012-06-12,1.55107
2012-06-11,1.54887
2012-06-08,1.54856
2012-06-07,1.54168
2012-06-06,1.53724
2012-06-05,1.5369
2012-06-04,1.54031
2012-06-01,1.55078
2012-05-31,1.56124
2012-05-30,1.56761
2012-05-29,1.56822
2012-05-28,1.56728
2012-05-25,1.57003
2012-05-24,1.57557
2012-05-23,1.58051
2012-05-22,1.58173
2012-05-21,1.58411
2012-05-18,1.5901
2012-05-17,1.59912
2012-05-16,1.60676
2012-05-15,1.60747
2012-05-14,1.60976
2012-05-11,1.61386
2012-05-10,1.61417
2012-05-09,1.6158
2012-05-08,1.61516
2012-05-07,1.61632
2012-05-04,1.61934
2012-05-03,1.62129
2012-05-02,1.62369
2012-05-01,1.62627
2012-04-30,1.62313
2012-04-27,1.61638
2012-04-26,1.61352
2012-04-25,1.61259
2012-04-24,1.61165
2012-04-23,1.6093
2012-04-20,1.60114
2012-04-19,1.59487
2012-04-18,1.58909
2012-04-17,1.58493
2012-04-16,1.58829
2012-04-13,1.59214
2012-04-12,1.58863
2012-04-11,1.58762
2012-04-10,1.58743
2012-04-09,1.58695
2012-04-06,1.58724
2012-04-05,1.59289
2012-04-04,1.60072
2012-04-03,1.60168
2012-04-02,1.59722
2012-03-30,1.59097
2012-03-29,1.59371
2012-03-28,1.59393
2012-03-27,1.58836
2012-03-26,1.58582
2012-03-23,1.58492
2012-03-22,1.58672
2012-03-21,1.58651
2012-03-20,1.58527
2012-03-19,1.57805
2012-03-16,1.56783
2012-03-15,1.56822
2012-03-14,1.56615
2012-03-13,1.56621
2012-03-12,1.57123
2012-03-09,1.57586
2012-03-08,1.57596
2012-03-07,1.58166
2012-03-06,1.58356
2012-03-05,1.58743
2012-03-02,1.59324
2012-03-01,1.58981
2012-02-29,1.5853
2012-02-28,1.58645
2012-02-27,1.58029
2012-02-24,1.57061
2012-02-23,1.57679
2012-02-22,1.58377
2012-02-21,1.58503
2012-02-20,1.57852
2012-02-17,1.57029
2012-02-16,1.57057
2012-02-15,1.57412
2012-02-14,1.57769
2012-02-13,1.5784
2012-02-10,1.5849
2012-02-09,1.58605
2012-02-08,1.58145
2012-02-07,1.57959
2012-02-06,1.58187
2012-02-03,1.58145
2012-02-02,1.57718
2012-02-01,1.57276
2012-01-31,1.57077
2012-01-30,1.57083
2012-01-27,1.56512
2012-01-26,1.55907
2012-01-25,1.55666
2012-01-24,1.55628
2012-01-23,1.55259
2012-01-20,1.54168
2012-01-19,1.53634
2012-01-18,1.5338
2012-01-17,1.53118
2012-01-16,1.53201
2012-01-13,1.53614
2012-01-12,1.54401
2012-01-11,1.54559
2012-01-10,1.54283
2012-01-09,1.54745
2012-01-06,1.55854
2012-01-05,1.5611
2012-01-04,1.55494
2012-01-03,1.55176
2012-01-02,1.54986
2011-12-30,1.54975
2011-12-29,1.56244
2011-12-28,1.56348
2011-12-27,1.5607
2011-12-26,1.5621
2011-12-23,1.56808
2011-12-22,1.56486
2011-12-21,1.55554
2011-12-20,1.55218
2011-12-19,1.55202
2011-12-16,1.54825
2011-12-15,1.55173
2011-12-14,1.55929
2011-12-13,1.56352
2011-12-12,1.56769
2011-12-09,1.56699
2011-12-08,1.563
2011-12-07,1.56269
2011-12-06,1.56213
2011-12-05,1.56343
2011-12-02,1.56737
2011-12-01,1.56039
2011-11-30,1.55447
2011-11-29,1.5492
2011-11-28,1.54755
2011-11-25,1.55473
2011-11-24,1.56051
2011-11-23,1.56682
2011-11-22,1.57418
2011-11-21,1.57817
2011-11-18,1.57594
2011-11-17,1.58146
2011-11-16,1.59188
2011-11-15,1.60222
2011-11-14,1.60137
2011-11-11,1.59626
2011-11-10,1.60424
2011-11-09,1.60525
2011-11-08,1.60301
2011-11-07,1.60021
2011-11-04,1.5964
2011-11-03,1.59865
2011-11-02,1.60231
2011-11-01,1.60867
2011-10-31,1.60897
2011-10-28,1.60124
2011-10-27,1.59914
2011-10-26,1.59816
2011-10-25,1.59548
2011-10-24,1.58734
2011-10-21,1.57579
2011-10-20,1.57542
2011-10-19,1.57576
2011-10-18,1.58019
2011-10-17,1.57889
2011-10-14,1.57088
2011-10-13,1.56516
2011-10-12,1.55985
2011-10-11,1.55985
2011-10-10,1.55074
2011-10-07,1.54319
2011-10-06,1.54359
2011-10-05,1.5456
2011-10-04,1.55414
2011-10-03,1.55983
2011-09-30,1.56285
2011-09-29,1.56193
2011-09-28,1.55584
2011-09-27,1.54811
2011-09-26,1.54472
2011-09-23,1.55184
2011-09-22,1.56807
2011-09-21,1.57002
2011-09-20,1.57351
2011-09-19,1.57874
2011-09-16,1.57823
2011-09-15,1.57914
2011-09-14,1.58312
2011-09-13,1.58539
2011-09-12,1.59172
2011-09-09,1.59764
2011-09-08,1.60033
2011-09-07,1.60844
2011-09-06,1.61677
2011-09-05,1.62138
2011-09-02,1.62451
2011-09-01,1.6315
2011-08-31,1.63646
2011-08-30,1.63789
2011-08-29,1.63598
2011-08-26,1.63911
2011-08-25,1.64738
2011-08-24,1.64922
2011-08-23,1.6475
2011-08-22,1.64806
2011-08-19,1.64975
2011-08-18,1.64461
2011-08-17,1.63664
2011-08-16,1.63063
2011-08-15,1.62371
2011-08-12,1.61993
2011-08-11,1.6265
2011-08-10,1.63368
2011-08-09,1.63799
2011-08-08,1.63799
2011-08-05,1.63493
2011-08-04,1.63252
2011-08-03,1.63275
2011-08-02,1.63997
2011-08-01,1.63923
2011-07-29,1.63537
2011-07-28,1.63787
2011-07-27,1.63358
2011-07-26,1.62984
2011-07-25,1.62678
2011-07-22,1.61769
2011-07-21,1.6119
2011-07-20,1.60942
2011-07-19,1.61015
2011-07-18,1.61361
2011-07-15,1.60794
2011-07-14,1.59486
2011-07-13,1.59135
2011-07-12,1.6001
2011-07-11,1.6027
2011-07-08,1.60022
2011-07-07,1.60458
2011-07-06,1.60779
2011-07-05,1.60805
2011-07-04,1.60665
2011-07-01,1.6044
2011-06-30,1.60036
2011-06-29,1.59717
2011-06-28,1.59794
2011-06-27,1.59794
2011-06-24,1.60712
2011-06-23,1.6187
2011-06-22,1.61995
2011-06-21,1.61771
2011-06-20,1.61773
2011-06-17,1.62047
2011-06-16,1.6335
2011-06-15,1.63476
2011-06-14,1.62579
2011-06-13,1.62907
2011-06-10,1.64016
2011-06-09,1.64016
2011-06-08,1.64029
2011-06-07,1.64134
2011-06-06,1.6394
2011-06-03,1.63782
2011-06-02,1.64508
2011-06-01,1.64862
2011-05-31,1.64875
2011-05-30,1.64423
2011-05-27,1.62819
2011-05-26,1.61843
2011-05-25,1.61476
2011-05-24,1.61863
2011-05-23,1.621
2011-05-20,1.61884
2011-05-19,1.62121
2011-05-18,1.62137
2011-05-17,1.61974
2011-05-16,1.62455
2011-05-13,1.63486
2011-05-12,1.6386
2011-05-11,1.63692
2011-05-10,1.64099
2011-05-09,1.64099
2011-05-06,1.64842
2011-05-05,1.65215
2011-05-04,1.66019
2011-05-03,1.66939
2011-05-02,1.66933
2011-04-29,1.66153
2011-04-28,1.65107
2011-04-27,1.64899
2011-04-26,1.65096
2011-04-25,1.65039
2011-04-22,1.6445
2011-04-21,1.63351
2011-04-20,1.62796
2011-04-19,1.62948
2011-04-18,1.63235
2011-04-15,1.62992
2011-04-14,1.62766
2011-04-13,1.63166
2011-04-12,1.63703
2011-04-11,1.63549
2011-04-08,1.63144
2011-04-07,1.62697
2011-04-06,1.6172
2011-04-05,1.61263
2011-04-04,1.61012
2011-04-01,1.60646
2011-03-31,1.60179
2011-03-30,1.59976
2011-03-29,1.60149
2011-03-28,1.60975
2011-03-25,1.62389
2011-03-24,1.63255
2011-03-23,1.63119
2011-03-22,1.62464
2011-03-21,1.61773
2011-03-18,1.60708
2011-03-17,1.60747
2011-03-16,1.60981
2011-03-15,1.60959
2011-03-14,1.61061
2011-03-11,1.61569
2011-03-10,1.61794
2011-03-09,1.62095
2011-03-08,1.62615
2011-03-07,1.62803
2011-03-04,1.62905
2011-03-03,1.62784
2011-03-02,1.62356
2011-03-01,1.615
2011-02-28,1.61413
2011-02-25,1.61923
2011-02-24,1.61863
2011-02-23,1.61921
2011-02-22,1.62405
2011-02-21,1.62057
2011-02-18,1.61183
2011-02-17,1.6099
2011-02-16,1.60618
2011-02-15,1.60189
2011-02-14,1.60363
2011-02-11,1.60817
2011-02-10,1.60892
2011-02-09,1.61136
2011-02-08,1.6116
2011-02-07,1.61392
2011-02-04,1.6181
2011-02-03,1.61378
2011-02-02,1.60157
2011-02-01,1.5885
2011-01-31,1.58798
2011-01-28,1.58912
2011-01-27,1.58604
2011-01-26,1.59234
2011-01-25,1.59828
2011-01-24,1.59772
2011-01-21,1.59626
2011-01-20,1.59791
2011-01-19,1.59293
2011-01-18,1.58746
2011-01-17,1.58359
2011-01-14,1.57333
2011-01-13,1.56238
2011-01-12,1.5561
2011-01-11,1.55427
2011-01-10,1.5527
2011-01-07,1.55206
2011-01-06,1.55488
2011-01-05,1.55341
2011-01-04,1.55524
2011-01-03,1.55531
2010-12-31,1.54483
2010-12-30,1.54195
2010-12-29,1.54292
2010-12-28,1.54266
2010-12-27,1.54262
2010-12-24,1.54209
2010-12-23,1.54678
2010-12-22,1.55128
2010-12-21,1.55272
2010-12-20,1.55526
2010-12-17,1.56231
2010-12-16,1.57488
2010-12-15,1.58231
2010-12-14,1.57989
2010-12-13,1.5797
2010-12-10,1.57761
2010-12-09,1.57587
2010-12-08,1.57465
2010-12-07,1.57406
2010-12-06,1.57082
2010-12-03,1.55967
2010-12-02,1.55747
2010-12-01,1.55637
2010-11-30,1.55873
2010-11-29,1.56546
2010-11-26,1.57751
2010-11-25,1.58352
2010-11-24,1.59357
2010-11-23,1.5988
2010-11-22,1.59717
2010-11-19,1.5934
2010-11-18,1.59334
2010-11-17,1.60358
2010-11-16,1.61035
2010-11-15,1.61218
2010-11-12,1.60946
2010-11-11,1.60648
2010-11-10,1.61254
2010-11-09,1.6159
2010-11-08,1.61829
2010-11-05,1.61382
2010-11-04,1.60558
2010-11-03,1.60406
2010-11-02,1.6046
2010-11-01,1.59773
2010-10-29,1.58487
2010-10-28,1.58098
2010-10-27,1.57946
2010-10-26,1.57174
2010-10-25,1.57068
2010-10-22,1.57646
2010-10-21,1.57754
2010-10-20,1.58233
2010-10-19,1.59346
2010-10-18,1.59959
2010-10-15,1.59489
2010-10-14,1.58478
2010-10-13,1.58643
2010-10-12,1.59342
2010-10-11,1.59407
2010-10-08,1.59034
2010-10-07,1.5885
2010-10-06,1.58522
2010-10-05,1.58195
2010-10-04,1.581
2010-10-01,1.58022
2010-09-30,1.58088
2010-09-29,1.58207
2010-09-28,1.58308
2010-09-27,1.57697
2010-09-24,1.56742
2010-09-23,1.56241
2010-09-22,1.55725
