Date,CURRFX.EURUSD.1
2012-11-26,1.29307
2012-11-23,1.28383
2012-11-22,1.27902
2012-11-21,1.27902
2012-11-20,1.2762
2012-11-19,1.27468
2012-11-16,1.27441
2012-11-15,1.27173
2012-11-14,1.27041
2012-11-13,1.27159
2012-11-12,1.27272
2012-11-09,1.27715
2012-11-08,1.28023
2012-11-07,1.28008
2012-11-06,1.28174
2012-11-05,1.28829
2012-11-02,1.29611
2012-11-01,1.29604
2012-10-31,1.29285
2012-10-30,1.29234
2012-10-29,1.29528
2012-10-26,1.29734
2012-10-25,1.2986
2012-10-24,1.30307
2012-10-23,1.30392
2012-10-22,1.30516
2012-10-19,1.31038
2012-10-18,1.30707
2012-10-17,1.29785
2012-10-16,1.29441
2012-10-15,1.29292
2012-10-12,1.28852
2012-10-11,1.28997
2012-10-10,1.29547
2012-10-09,1.3002
2012-10-08,1.30073
2012-10-05,1.29376
2012-10-04,1.29095
2012-10-03,1.28951
2012-10-02,1.28626
2012-10-01,1.28654
2012-09-28,1.28783
2012-09-27,1.28948
2012-09-26,1.29324
2012-09-25,1.2951
2012-09-24,1.29814
2012-09-21,1.30061
2012-09-20,1.30585
2012-09-19,1.30929
2012-09-18,1.31222
2012-09-17,1.30534
2012-09-14,1.29066
2012-09-13,1.28505
2012-09-12,1.27968
2012-09-11,1.27975
2012-09-10,1.27412
2012-09-07,1.25941
2012-09-06,1.25726
2012-09-05,1.25865
2012-09-04,1.25774
2012-09-03,1.25599
2012-08-31,1.25391
2012-08-30,1.25407
2012-08-29,1.25211
2012-08-28,1.25136
2012-08-27,1.25268
2012-08-24,1.25215
2012-08-23,1.24461
2012-08-22,1.23795
2012-08-21,1.23356
2012-08-20,1.23248
2012-08-17,1.23073
2012-08-16,1.23199
2012-08-15,1.23326
2012-08-14,1.23043
2012-08-13,1.23064
2012-08-10,1.23492
2012-08-09,1.23852
2012-08-08,1.24012
2012-08-07,1.23891
2012-08-06,1.23235
2012-08-03,1.22511
2012-08-02,1.22904
