Date,CURRFX.GBPCAD.1
2013-08-27,1.63582
2013-08-26,1.6355
2013-08-23,1.63651
2013-08-22,1.6306
2013-08-21,1.62126
2013-08-20,1.61588
2013-08-19,1.61196
2013-08-16,1.60392
2013-08-15,1.59891
2013-08-14,1.59541
2013-08-13,1.60098
2013-08-12,1.60098
2013-08-09,1.60846
2013-08-08,1.59837
2013-08-07,1.59158
2013-08-06,1.5902
2013-08-05,1.57852
2013-08-02,1.56412
2013-08-01,1.56893
2013-07-31,1.57546
2013-07-30,1.57976
2013-07-29,1.58009
2013-07-26,1.57941
2013-07-25,1.58269
2013-07-24,1.58519
2013-07-23,1.58418
2013-07-22,1.58265
2013-07-19,1.58035
2013-07-18,1.57548
2013-07-17,1.57241
2013-07-16,1.57057
2013-07-15,1.57095
2013-07-12,1.56967
2013-07-11,1.56852
2013-07-10,1.57313
2013-07-09,1.57523
2013-07-08,1.58265
2013-07-05,1.5988
2013-07-04,1.6013
2013-07-03,1.59903
2013-07-02,1.59995
2013-07-01,1.60001
2013-06-28,1.60485
2013-06-27,1.61613
2013-06-26,1.61962
2013-06-25,1.6153
2013-06-24,1.60656
2013-06-21,1.5968
2013-06-20,1.59686
2013-06-19,1.59746
2013-06-18,1.59746
2013-06-17,1.59744
2013-06-14,1.59691
2013-06-13,1.59367
2013-06-12,1.58793
2013-06-11,1.58527
2013-06-10,1.59027
2013-06-07,1.59344
2013-06-06,1.58458
2013-06-05,1.57863
2013-06-04,1.57743
2013-06-03,1.57364
2013-05-31,1.56719
2013-05-30,1.56448
2013-05-29,1.56215
2013-05-28,1.56135
2013-05-27,1.56034
2013-05-24,1.55843
2013-05-23,1.55802
2013-05-22,1.56119
2013-05-21,1.56138
2013-05-20,1.55628
2013-05-17,1.55076
2013-05-16,1.54962
2013-05-15,1.54912
2013-05-14,1.55154
2013-05-13,1.55392
2013-05-10,1.55746
2013-05-09,1.55902
2013-05-08,1.56431
2013-05-07,1.56873
2013-05-06,1.56877
2013-05-03,1.56713
2013-05-02,1.56654
2013-05-01,1.5692
2013-04-30,1.57343
2013-04-29,1.57283
2013-04-26,1.56977
2013-04-25,1.56608
2013-04-24,1.56568
2013-04-23,1.56382
2013-04-22,1.56428
2013-04-19,1.56587
2013-04-18,1.56677
2013-04-17,1.56472
2013-04-16,1.55935
2013-04-15,1.55517
2013-04-12,1.55554
2013-04-11,1.55524
2013-04-10,1.55558
2013-04-09,1.55882
2013-04-08,1.55115
2013-04-05,1.53463
2013-04-04,1.5363
2013-04-03,1.54319
2013-04-02,1.54419
2013-04-01,1.54419
2013-03-29,1.53984
2013-03-28,1.54224
2013-03-27,1.54968
2013-03-26,1.55602
2013-03-25,1.55575
2013-03-22,1.55112
2013-03-21,1.54912
2013-03-20,1.54608
2013-03-19,1.54369
2013-03-18,1.53929
2013-03-15,1.53522
2013-03-14,1.53133
2013-03-13,1.5302
2013-03-12,1.53349
2013-03-11,1.53962
2013-03-08,1.54964
2013-03-07,1.55303
2013-03-06,1.55195
2013-03-05,1.54682
2013-03-04,1.54791
2013-03-01,1.55391
2013-02-28,1.55338
2013-02-27,1.55368
2013-02-26,1.54933
2013-02-25,1.54986
2013-02-22,1.55334
2013-02-21,1.55988
2013-02-20,1.5628
2013-02-19,1.56091
2013-02-18,1.5585
2013-02-15,1.55838
2013-02-14,1.56818
2013-02-13,1.57581
2013-02-12,1.58272
2013-02-11,1.57546
2013-02-08,1.56175
2013-02-07,1.56419
2013-02-06,1.56914
2013-02-05,1.56642
2013-02-04,1.57165
2013-02-01,1.58251
2013-01-31,1.58258
2013-01-30,1.58258
2013-01-29,1.5874
2013-01-28,1.58666
2013-01-25,1.57988
2013-01-24,1.57406
2013-01-23,1.57355
2013-01-22,1.57388
2013-01-21,1.57543
2013-01-18,1.57874
2013-01-17,1.58077
2013-01-16,1.58342
2013-01-15,1.58668
2013-01-14,1.58678
2013-01-11,1.58362
2013-01-10,1.58459
2013-01-09,1.58616
2013-01-08,1.58575
2013-01-07,1.59025
2013-01-04,1.60167
2013-01-03,1.6114
2013-01-02,1.61403
2013-01-01,1.61078
