Date,CURRFX.EURGBP.1
2013-12-18,0.844323
2013-12-17,0.843547
2013-12-16,0.842666
2013-12-13,0.840598
2013-12-12,0.838155
2013-12-11,0.837145
2013-12-10,0.838055
2013-12-09,0.836017
2013-12-06,0.83117
2013-12-05,0.828724
2013-12-04,0.827816
2013-12-03,0.828867
2013-12-02,0.831191
2013-11-29,0.833854
2013-11-28,0.836409
2013-11-27,0.836629
2013-11-26,0.835439
2013-11-25,0.835079
2013-11-22,0.835776
2013-11-21,0.838499
2013-11-20,0.83858
2013-11-19,0.837649
2013-11-18,0.838017
2013-11-15,0.84047
2013-11-14,0.842314
2013-11-13,0.839445
2013-11-12,0.835747
2013-11-11,0.836074
2013-11-08,0.838936
2013-11-07,0.841083
2013-11-06,0.844411
2013-11-05,0.846739
2013-11-04,0.849104
2013-11-01,0.854167
2013-10-31,0.85641
2013-10-30,0.855045
2013-10-29,0.853591
2013-10-28,0.853347
2013-10-25,0.851824
2013-10-24,0.849776
2013-10-23,0.847412
2013-10-22,0.846407
2013-10-21,0.846848
2013-10-18,0.84691
2013-10-17,0.846622
2013-10-16,0.84781
2013-10-15,0.848836
2013-10-14,0.848382
2013-10-11,0.846954
2013-10-10,0.845074
2013-10-09,0.844296
2013-10-08,0.84567
2013-10-07,0.843988
2013-10-04,0.838299
2013-10-03,0.835531
2013-10-02,0.835232
2013-10-01,0.836599
2013-09-30,0.839178
2013-09-27,0.841529
2013-09-26,0.842248
2013-09-25,0.842679
2013-09-24,0.843763
2013-09-23,0.843473
2013-09-20,0.839884
2013-09-19,0.838579
2013-09-18,0.838865
2013-09-17,0.83789
2013-09-16,0.838904
2013-09-13,0.841632
2013-09-12,0.842825
2013-09-11,0.843468
2013-09-10,0.842878
2013-09-09,0.843377
2013-09-06,0.844312
2013-09-05,0.845932
2013-09-04,0.847907
2013-09-03,0.850675
2013-09-02,0.854097
2013-08-30,0.858015
2013-08-29,0.860642
2013-08-28,0.859623
2013-08-27,0.859087
2013-08-26,0.85796
2013-08-23,0.85518
2013-08-22,0.854562
2013-08-21,0.85367
2013-08-20,0.852775
2013-08-19,0.853274
2013-08-16,0.855006
2013-08-15,0.857671
2013-08-14,0.859508
2013-08-13,0.860021
2013-08-12,0.860752
2013-08-09,0.862314
2013-08-08,0.864441
2013-08-07,0.86527
2013-08-06,0.86711
2013-08-05,0.870304
2013-08-02,0.873185
2013-08-01,0.870256
2013-07-31,0.865446
2013-07-30,0.863289
2013-07-29,0.862735
2013-07-26,0.861667
2013-07-25,0.860246
2013-07-24,0.859409
2013-07-23,0.86028
2013-07-22,0.8613
2013-07-19,0.863484
2013-07-18,0.866557
2013-07-17,0.866207
2013-07-16,0.864872
2013-07-15,0.864808
2013-07-12,0.86302
2013-07-11,0.860949
2013-07-10,0.861726
2013-07-09,0.861673
2013-07-08,0.858998
2013-07-05,0.853847
2013-07-04,0.855128
2013-07-03,0.857519
2013-07-02,0.856069
2013-07-01,0.853941
2013-06-28,0.850514
2013-06-27,0.848642
2013-06-26,0.850146
2013-06-25,0.851205
2013-06-24,0.85287
2013-06-21,0.856112
2013-06-20,0.85544
2013-06-19,0.851933
2013-06-18,0.849271
2013-06-17,0.850136
2013-06-14,0.850497
2013-06-13,0.850747
2013-06-12,0.851337
2013-06-11,0.850138
2013-06-10,0.850691
2013-06-07,0.850691
2013-06-06,0.852831
2013-06-05,0.853821
2013-06-04,0.854264
2013-06-03,0.855672
2013-05-31,0.856125
2013-05-30,0.855544
2013-05-29,0.85534
2013-05-28,0.85529
2013-05-27,0.854818
2013-05-24,0.854818
2013-05-23,0.851864
2013-05-22,0.846787
2013-05-21,0.845759
2013-05-20,0.8458
2013-05-17,0.845782
2013-05-16,0.848119
2013-05-15,0.84802
2013-05-14,0.84593
2013-05-13,0.84593
2013-05-10,0.84593
2013-05-09,0.845157
2013-05-08,0.8427
2013-05-07,0.842137
2013-05-06,0.843193
2013-05-03,0.845893
2013-05-02,0.846883
2013-05-01,0.84461
2013-04-30,0.842581
2013-04-29,0.844024
2013-04-26,0.849428
2013-04-25,0.852741
2013-04-24,0.854558
2013-04-23,0.856651
2013-04-22,0.856226
2013-04-19,0.85638
2013-04-18,0.857187
2013-04-17,0.854783
2013-04-16,0.853892
2013-04-15,0.85368
2013-04-12,0.852712
2013-04-11,0.853723
2013-04-10,0.851997
2013-04-09,0.848663
2013-04-08,0.847772
2013-04-05,0.848626
2013-04-04,0.847449
2013-04-03,0.844654
2013-04-02,0.843024
2013-04-01,0.843917
2013-03-29,0.845379
2013-03-28,0.847039
2013-03-27,0.849453
2013-03-26,0.852352
2013-03-25,0.853078
2013-03-22,0.85375
2013-03-21,0.854906
2013-03-20,0.856091
2013-03-19,0.859157
2013-03-18,0.86537
2013-03-15,0.867712
2013-03-14,0.872497
2013-03-13,0.873814
2013-03-12,0.871884
2013-03-11,0.870029
2013-03-08,0.86623
2013-03-07,0.862698
2013-03-06,0.862593
2013-03-05,0.864952
2013-03-04,0.865403
2013-03-01,0.864771
2013-02-28,0.863717
2013-02-27,0.865856
2013-02-26,0.871802
2013-02-25,0.869552
2013-02-22,0.869681
2013-02-21,0.868344
2013-02-20,0.863188
2013-02-19,0.861768
2013-02-18,0.861796
2013-02-15,0.8625
2013-02-14,0.860303
2013-02-13,0.855231
2013-02-12,0.848639
2013-02-11,0.851366
2013-02-08,0.862219
2013-02-07,0.863397
2013-02-06,0.861821
2013-02-05,0.866338
2013-02-04,0.864952
2013-02-01,0.857639
2013-01-31,0.857079
2013-01-30,0.855577
2013-01-29,0.853813
2013-01-28,0.848822
2013-01-25,0.842085
2013-01-24,0.840638
2013-01-23,0.840317
2013-01-22,0.839556
2013-01-21,0.836767
2013-01-18,0.831518
2013-01-17,0.829749
2013-01-16,0.830488
2013-01-15,0.828983
2013-01-14,0.823171
2013-01-11,0.816128
2013-01-10,0.814761
2013-01-09,0.814166
2013-01-08,0.812321
2013-01-07,0.812321
2013-01-04,0.811446
2013-01-03,0.813706
2013-01-02,0.813706
2013-01-01,0.816523
2012-12-31,0.81889
2012-12-28,0.819735
2012-12-27,0.817904
2012-12-26,0.817034
2012-12-25,0.816012
2012-12-24,0.814802
2012-12-21,0.814051
2012-12-20,0.813926
2012-12-19,0.812973
2012-12-18,0.813394
2012-12-17,0.812593
2012-12-14,0.809481
2012-12-13,0.807066
2012-12-12,0.805461
2012-12-11,0.805214
2012-12-10,0.807697
2012-12-07,0.811415
2012-12-06,0.812623
2012-12-05,0.811545
2012-12-04,0.811545
2012-12-03,0.810466
2012-11-30,0.808603
2012-11-29,0.807974
2012-11-28,0.808895
2012-11-27,0.809237
2012-11-26,0.808062
2012-11-23,0.805208
2012-11-22,0.803986
2012-11-21,0.803854
2012-11-20,0.802801
2012-11-19,0.803209
2012-11-16,0.80367
2012-11-15,0.800986
2012-11-14,0.799895
2012-11-13,0.800097
2012-11-12,0.799047
2012-11-09,0.799029
2012-11-08,0.800638
2012-11-07,0.800627
2012-11-06,0.80075
2012-11-05,0.801753
2012-11-02,0.803868
2012-11-01,0.805738
2012-10-31,0.805114
2012-10-30,0.803847
2012-10-29,0.804779
2012-10-26,0.808334
2012-10-25,0.812298
2012-10-24,0.814192
2012-10-23,0.814192
2012-10-22,0.813154
2012-10-19,0.812262
2012-10-18,0.810613
2012-10-17,0.807119
2012-10-16,0.805838
2012-10-15,0.805381
2012-10-12,0.80576
2012-10-11,0.80576
2012-10-10,0.807638
2012-10-09,0.807735
2012-10-08,0.806242
2012-10-05,0.802669
2012-10-04,0.800763
2012-10-03,0.798877
2012-10-02,0.796698
