Date,CURRFX.EURAUD.1
2013-05-17,1.3064
2013-05-16,1.305
2013-05-15,1.30394
2013-05-14,1.29876
2013-05-13,1.2929
2013-05-10,1.28804
2013-05-09,1.2865
2013-05-08,1.28046
2013-05-07,1.2744
2013-05-06,1.27503
2013-05-03,1.27935
2013-05-02,1.27202
2013-05-01,1.26701
2013-04-30,1.26701
2013-04-29,1.26696
2013-04-26,1.26562
2013-04-25,1.26808
2013-04-24,1.27055
2013-04-23,1.27051
2013-04-22,1.2686
2013-04-19,1.26739
2013-04-18,1.26751
2013-04-17,1.26065
2013-04-16,1.25221
2013-04-15,1.24524
2013-04-12,1.24212
2013-04-11,1.24572
2013-04-10,1.24991
2013-04-09,1.2516
2013-04-08,1.24402
2013-04-05,1.2291
2013-04-04,1.22651
2013-04-03,1.22948
2013-04-02,1.23071
2013-04-01,1.22932
2013-03-29,1.22688
2013-03-28,1.2266
2013-03-27,1.23265
2013-03-26,1.24111
2013-03-25,1.24313
2013-03-22,1.24287
2013-03-21,1.24454
2013-03-20,1.24612
2013-03-19,1.24973
2013-03-18,1.25437
2013-03-15,1.25516
2013-03-14,1.2626
2013-03-13,1.26724
2013-03-12,1.27079
2013-03-11,1.27018
2013-03-08,1.27018
2013-03-07,1.27129
2013-03-06,1.27669
2013-03-05,1.27865
2013-03-04,1.27731
2013-03-01,1.28035
2013-02-28,1.27858
2013-02-27,1.27777
2013-02-26,1.28143
2013-02-25,1.28318
2013-02-22,1.29305
2013-02-21,1.29483
2013-02-20,1.29407
2013-02-19,1.29642
2013-02-18,1.29538
2013-02-15,1.29642
2013-02-14,1.30364
2013-02-13,1.30432
2013-02-12,1.29836
2013-02-11,1.29998
2013-02-08,1.30942
2013-02-07,1.30622
2013-02-06,1.30104
2013-02-05,1.30638
2013-02-04,1.30742
2013-02-01,1.29957
2013-01-31,1.29227
2013-01-30,1.28973
2013-01-29,1.29215
2013-01-28,1.28285
2013-01-25,1.26689
2013-01-24,1.26253
2013-01-23,1.2643
2013-01-22,1.26672
2013-01-21,1.26651
2013-01-18,1.26276
2013-01-17,1.26124
2013-01-16,1.26574
2013-01-15,1.26653
2013-01-14,1.25781
2013-01-11,1.24299
2013-01-10,1.24575
2013-01-09,1.24784
2013-01-08,1.2462
2013-01-07,1.24856
2013-01-04,1.25564
2013-01-03,1.26698
2013-01-02,1.27119
2013-01-01,1.27247
2012-12-31,1.27535
2012-12-28,1.27563
2012-12-27,1.27294
2012-12-26,1.2712
2012-12-25,1.2689
2012-12-24,1.26584
2012-12-21,1.26192
2012-12-20,1.25717
2012-12-19,1.25018
2012-12-18,1.24752
