Date,CURRFX.AUDJPY.1
2012-12-31,89.0117
2012-12-28,88.6343
2012-12-27,88.0293
2012-12-26,87.8508
2012-12-25,87.748
2012-12-24,87.8647
2012-12-21,88.4037
2012-12-20,88.5954
2012-12-19,88.4788
2012-12-18,88.3884
2012-12-17,88.1813
2012-12-14,87.7473
2012-12-13,87.0
2012-12-12,86.4389
2012-12-11,86.4239
2012-12-10,86.4406
2012-12-07,86.2088
2012-12-06,85.9174
2012-12-05,85.8379
2012-12-04,85.8379
2012-12-03,85.9492
2012-11-30,85.7616
2012-11-29,85.7541
2012-11-28,85.9718
2012-11-27,86.0256
2012-11-26,85.9821
2012-11-23,85.4339
2012-11-22,84.9109
2012-11-21,84.523
2012-11-20,84.2496
2012-11-19,83.8962
2012-11-16,83.4871
2012-11-15,83.0634
2012-11-14,82.7654
2012-11-13,82.7042
2012-11-12,82.7827
2012-11-09,83.2948
2012-11-08,83.5807
2012-11-07,83.4221
2012-11-06,83.1877
2012-11-05,83.119
2012-11-02,82.9502
2012-11-01,82.6415
2012-10-31,82.4865
2012-10-30,82.5302
2012-10-29,82.7622
2012-10-26,82.7572
2012-10-25,82.2847
2012-10-24,82.185
2012-10-23,82.0788
2012-10-22,82.0314
2012-10-19,81.9069
2012-10-18,81.2355
2012-10-17,80.7732
2012-10-16,80.3908
2012-10-15,80.183
2012-10-12,80.183
2012-10-11,80.0004
2012-10-10,79.9103
2012-10-09,79.9306
2012-10-08,80.1729
2012-10-05,80.2172
2012-10-04,80.2506
2012-10-03,80.6424
2012-10-02,80.8219
2012-10-01,80.8591
2012-09-28,80.7367
2012-09-27,80.7797
2012-09-26,81.1886
2012-09-25,81.4401
2012-09-24,81.6805
2012-09-21,81.8593
2012-09-20,82.271
2012-09-19,82.3075
2012-09-18,82.5782
2012-09-17,82.1391
2012-09-14,81.3746
2012-09-13,81.2798
2012-09-12,81.0156
2012-09-11,81.1195
2012-09-10,80.9513
2012-09-07,80.2791
2012-09-06,80.0913
2012-09-05,80.3019
2012-09-04,80.5273
2012-09-03,80.9949
2012-08-31,81.2878
2012-08-30,81.4964
2012-08-29,81.6111
2012-08-28,81.8282
2012-08-27,82.0629
2012-08-24,82.5177
2012-08-23,82.9372
2012-08-22,83.153
2012-08-21,82.9801
2012-08-20,82.9942
2012-08-17,82.9768
2012-08-16,82.6522
2012-08-15,82.5815
2012-08-14,82.624
2012-08-13,82.8791
2012-08-10,82.9829
2012-08-09,82.8608
2012-08-08,82.8688
2012-08-07,82.8457
2012-08-06,82.593
2012-08-03,82.0772
2012-08-02,82.132
2012-08-01,82.1436
2012-07-31,82.118
2012-07-30,81.7611
2012-07-27,80.6808
2012-07-26,80.267
2012-07-25,80.4486
2012-07-24,80.9157
2012-07-23,81.5806
2012-07-20,81.698
2012-07-19,81.4003
2012-07-18,81.0642
2012-07-17,80.8768
2012-07-16,80.8813
2012-07-13,80.9025
2012-07-12,81.1634
2012-07-11,81.0833
2012-07-10,81.1936
2012-07-09,81.598
2012-07-06,82.0538
2012-07-05,81.9829
2012-07-04,81.7546
2012-07-03,81.6364
2012-07-02,81.0604
2012-06-29,80.0432
2012-06-28,80.0039
2012-06-27,79.9345
2012-06-26,80.41
2012-06-25,80.9443
2012-06-22,80.8357
2012-06-21,80.427
2012-06-20,80.0745
2012-06-19,79.7113
2012-06-18,79.2454
2012-06-15,79.1157
2012-06-14,79.0303
2012-06-13,78.8796
2012-06-12,79.0729
2012-06-11,78.9489
2012-06-08,78.5454
2012-06-07,77.3061
2012-06-06,76.1626
2012-06-05,75.7284
2012-06-04,76.0104
2012-06-01,76.8492
2012-05-31,77.7679
2012-05-30,78.2661
2012-05-29,78.0888
2012-05-28,77.6905
2012-05-25,77.5759
2012-05-24,78.06
2012-05-23,78.533
2012-05-22,77.9847
2012-05-21,78.4199
2012-05-18,79.5738
2012-05-17,79.7555
2012-05-16,79.8229
2012-05-15,80.0277
2012-05-14,80.351
2012-05-11,80.4359
2012-05-10,80.6149
2012-05-09,81.1434
2012-05-08,81.2554
2012-05-07,81.7963
2012-05-04,82.6645
2012-05-03,82.7951
2012-05-02,83.0737
2012-05-01,83.7555
2012-04-30,84.0559
2012-04-27,84.062
2012-04-26,83.8264
2012-04-25,83.6287
2012-04-24,84.121
2012-04-23,84.5069
2012-04-20,84.3538
2012-04-19,84.044
2012-04-18,83.5066
2012-04-17,83.6435
2012-04-16,83.9742
2012-04-13,83.6905
2012-04-12,83.3241
2012-04-11,83.6929
2012-04-10,83.9463
2012-04-09,84.3024
2012-04-06,84.7273
2012-04-05,85.0566
2012-04-04,85.6312
2012-04-03,85.9662
2012-04-02,85.6699
2012-03-30,85.8119
2012-03-29,86.6724
2012-03-28,87.0275
2012-03-27,86.5313
2012-03-26,86.2508
2012-03-23,86.8557
2012-03-22,87.8214
2012-03-21,88.1369
2012-03-20,88.3237
2012-03-19,88.1137
2012-03-16,87.6654
2012-03-15,87.2912
2012-03-14,86.7854
2012-03-13,86.804
2012-03-12,86.9165
2012-03-09,85.9836
2012-03-08,85.629
2012-03-07,86.5039
2012-03-06,87.3884
2012-03-05,87.6102
2012-03-02,87.2162
2012-03-01,86.9089
2012-02-29,86.5769
2012-02-28,86.6291
2012-02-27,86.3326
2012-02-24,85.4231
2012-02-23,85.2865
2012-02-22,85.4524
2012-02-21,85.5269
2012-02-20,84.8476
2012-02-17,84.1362
2012-02-16,83.8398
2012-02-15,83.3729
2012-02-14,83.155
2012-02-13,83.0581
2012-02-10,83.3075
2012-02-09,82.9909
2012-02-08,82.4641
2012-02-07,82.2817
2012-02-06,82.1412
2012-02-03,81.4457
2012-02-02,81.1572
2012-02-01,81.0804
2012-01-31,81.3008
2012-01-30,82.0219
2012-01-27,82.2754
2012-01-26,81.5596
2012-01-25,81.0184
2012-01-24,80.8388
2012-01-23,80.4659
2012-01-20,79.9067
2012-01-19,79.7449
2012-01-18,79.4695
2012-01-17,79.2441
2012-01-16,79.394
2012-01-13,79.2538
2012-01-12,79.1784
2012-01-11,78.8862
